Application;Creator;Software license;
Ashampoo Burning Studio;Ashampoo Software;Freemium;
Alcohol 120%;Alcohol Soft;Shareware;
CDBurnerXP;Stefan Haglund, Fredrik Haglund;Freeware [1];
cdrtools;Jörg Schilling;Open-source (CDDL parts are GPL);
DeepBurner;Astonsoft;Freemium;
ExpressBurn;NCH Software;Freemium;
ImgBurn;LIGHTNING UK!;Freeware [2];
InfraRecorder;Christian Kindahl;Open-source (GPL);
K3b;Sebastian Trüg, Christian Kvasny;Open-source (GPL);
Nero Burning ROM;Ahead Software;Shareware;
UltraISO;EZB Systems;Shareware;
X-CD-Roast;T. Niederreiter;Open-source (GPL);
Application;Creator;Software license;
