Name;ZIP support;FTP support;SFTP support;Version Control browsing;Patch creation;Patch application;Patch preview;Unicode support;XML-aware;
Beyond Compare;Yes;Yes;Yes;SVN;Yes;Yes;Yes;Yes;;
Compare++;;;;SVN, CVS, Git, Microsoft TFS, Perforce, VSS using command line;;;;Yes;;
diff;No;No;;No;Yes;Yes with patch;Yes with patch;No;No;
diff3;No;No;;;;;;;No;
Eclipse (compare);;;;Yes CVS, Subversion, Git, Mercurial, Baazar;;;;Yes;;
Ediff;Yes;Yes;;RCS, CVS, SVN, Mercurial, git (anything supported by Emacs' VC-mode)[32];Yes;Yes;Yes;;;
ExamDiff Pro;Yes[33];Yes[34];;;normal diff only;;;Yes;;
Far Manager (compare);No;No;;No;No;No;No;Yes;No;
fc;No;No;;;No;;;;;
FileMerge (aka opendiff);No;supported by OS;;;No;;;No;No;
Guiffy SureMerge;Yes;;;;Yes;Yes;Yes;Yes[35];;
IntelliJ IDEA (compare);Yes;;;Yes;Yes;Yes;Yes;Yes;;
jEdit JDiff plugin;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;
Kompare;;;;;Yes;;;;;
Lazarus Diff;;;;;;;;;;
Meld;;;;CVS, Subversion, Git, Mercurial, Baazar;Yes;;;Yes;;
Notepad++ (compare);No;Yes[36];;Git, Subversion (compare against base);No;No;No;Yes;No;
Perforce P4Merge;;;;No;;;;Yes;;
Pretty Diff;No;No;No;No;No;No;No;Yes;Yes;
Tkdiff;No;No;;CVS, RCS, Subversion;No;No;No;No;No;
Total Commander (compare);Yes;Yes;Yes;No;No;No;No;Yes;No;
vimdiff;Yes;Yes;;;Yes;;;Yes;;
WinDiff;No;No;;;No;;;No;;
WinMerge;Yes;No;;Mercurial,[37] Subversion,[38] Visual Source Safe, Rational ClearCase[39];Yes;;;Yes;;
UCC;Yes;No;;;;;;Yes;;
Name;ZIP support;FTP support;SFTP support;Version Control browsing;Patch creation;Patch application;Patch preview;Unicode support;XML-aware;
