Model;Launch;Code name;Fab (nm);Bus interface;Core config1;Clock speed;Fillrate;Memory;Supported API version;Processing power (GFLOPS)2;TDP (Watts);Notes;
Core (MHz);Shader (MHz);Memory (MT/s);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
GeForce 610M [115];December 2011;GF119 (N13M-GE);40;PCIe 2.0 ×16;48:8:4;900;1800;1800;3.6;7.2;1024 2048;14.4;DDR3;64;12;4.5;142.08;12;OEM. Rebadged GT 520MX;
GeForce GT 620M [116];April 2012;GF117 (N13M-GS);28;PCIe 2.0 ×16;96:16:4;625;1250;1800;2.5;10;1024 2048;14.4 28.8;DDR3;64 128;12;4.5;240;15;OEM. Die-Shrink GF108;
GeForce GT 625M;October 2012;GF117 (N13M-GS);28;PCIe 2.0 ×16;96:16:4;625;1250;1800;2.5;10;1024 2048;14.4;DDR3;64;12;4.5;240;15;OEM. Die-Shrink GF108;
GeForce GT 630M[116][117][118];April 2012;GF108 (N13P-GL) GF117;40 28;PCIe 2.0 ×16;96:16:4;660 800;1320 1600;1800 4000;2.6 3.2;10.7 12.8;1024 2048;28.8 32.0;DDR3 GDDR5;128 64;12;4.5;258.0 307.2;33;GF108: OEM. Rebadged GT 540M GF117: OEM Die-Shrink GF108;
GeForce GT 635M[116][119][120];April 2012;GF106 (N12E-GE2) GF116;40;PCIe 2.0 ×16;144:24:24;675;1350;1800;16.2;16.2;2048 1536;28.8 43.2;DDR3;128 192;12;4.5;289.2 388.8;35;GF106: OEM. Rebadged GT 555M GF116: 94% of desktop GT640[original research?];
GeForce GT 640M LE[116];March 22, 2012;GF108 GK107 (N13P-LP);40 28;PCIe 2.0 ×16 PCIe 3.0 ×16;96:16:4 384:32:16 (2 SMX);762 500;1524 500;3130 1800;3 8;12.2 16;1024 2048;50.2 28.8;GDDR5 DDR3;128;12;4.5;292.6 384;32 20;GF108: 94% of desktop GT630[original research?] GK107: 47% of desktop GTX650[original research?];
GeForce GT 640M[116][121];March 22, 2012;GK107 (N13P-GS);28;PCIe 3.0 ×16;384:32:16 (2 SMX);625;625;1800 4000;10;20;1024 2048;28.8 64.0;DDR3 GDDR5;128;12;4.5;480;32;59% of desktop GTX650[original research?];
GeForce GT 645M;October 2012;GK107 (N13P-GS);28;PCIe 3.0 ×16;384:32:16 (2 SMX);710;710;1800 4000;11.36;22.72;1024 2048;28.8 64.0;DDR3 GDDR5;128;12;4.5;545;32;67% of desktop GTX650[original research?];
GeForce GT 650M[116][122][123];March 22, 2012;GK107 (N13P-GT);28;PCIe 3.0 ×16;384:32:16 (2 SMX);835 745 900*;835 745 900*;1800 4000 5000*;13.4 11.9 14.4*;26.7 23.8 28.8*;1024 2048 4096;28.8 64.0 80.0*;DDR3 GDDR5;128;11.2;4.5;641.3 572.2 691.2*;45;79% of desktop GTX650[original research?];
GeForce GTX 660M[116][123][124][125];March 22, 2012;GK107 (N13E-GE);28;PCIe 3.0 ×16;384:32:16 (2 SMX);950;950;5000;13.4;26.7;2048;80.0;GDDR5;128;11.2;4.5;730;50;79% of desktop GTX650[original research?];
GeForce GTX 670M[116];April 2012;GF114 (N13E-GS1-LP);40;PCIe 2.0 ×16;336:56:24;620;1240;3000;14.35;33.5;1536 3072;72.0;GDDR5;192;12;4.5;833;75;73% of desktop GTX 560[original research?];
GeForce GTX 670MX;October 2012;GK104 (N13E-GR);28;PCIe 3.0 ×16;960:80:24 (5 SMX);615;615;2800;14.4;48.0;1536 3072;67.2;GDDR5;192;12;4.5;1181;75;61% of desktop GTX 660[original research?];
GeForce GTX 675M[116];April 2012;GF114 (N13E-GS1);40;PCIe 2.0 ×16;384:64:32;632;1265;3000;19.8;39.7;2048;96.0;GDDR5;256;12;4.5;972;100;75% of desktop GTX 560Ti[original research?];
GeForce GTX 675MX;October 2012;GK104 (N13E-GSR);28;PCIe 3.0 ×16;960:80:24 (5 SMX);667;667;3600;19.2;48.0;4096;115.2;GDDR5;256;12;4.5;1281;100;61% of desktop GTX 660[original research?];
GeForce GTX 680M;June 4, 2012;GK104 (N13E-GTX);28;PCIe 3.0 ×16;1344:112:32 (7 SMX);719;719;3600;23;80.6;4096;115.2;GDDR5;256;12;4.5;1933;100;78% of desktop GTX 670[original research?];
GeForce GTX 680MX;October 23, 2012;GK104;28;PCIe 3.0 ×16;1536:128:32 (8 SMX);719;719;5000;23;92.2;4096;160;GDDR5;256;12;4.5;2209;122;72% of desktop GTX 680[original research?];
Model;Launch;Code name;Fab (nm);Bus interface;Core config1;Clock speed;Fillrate;Memory;Supported API version;Processing power (GFLOPS)2;TDP (Watts);Notes;
Core (MHz);Shader (MHz);Memory (MT/s);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
