Name;Network[1];Anonymous P2P;Link system compatibility;Price;Platform;License;Programming language;Free Spyware-Adware;Latest release version;Extra information;
Acquisition;Gnutella, BitTorrent;No;magnet;Nagware or US$17.99;macOS;GPL;Objective-C, Java;Yes;2010, 2.2 (v223) (November 19, 2010; 8 years ago (2010-11-19)) [±];Alternative to LimeWire for Mac users; uses Cocoa GUI;
aMule;eDonkey, Kad;No;eD2k, magnet;Free;GNU, macOS, Windows;GPL;C++;Yes;2011, 2.3.2 (September 16, 2016; 2 years ago (2016-09-16)[2]) [±];;
Ares Galaxy;Ares, BitTorrent;No;arlnk;Free;Windows;GPL;Object Pascal (Delphi);Yes;2014, 2.4.6 (August 22, 2017; 15 months ago (2017-08-22)) [±][3];;
BearShare (pre v6.0);Gnutella;No;ed2k, magnet;Free or US$3.29 monthly;Windows;Proprietary;C++;No;2013, 10.0.0.131462 (January 29, 2013; 5 years ago (2013-01-29)) [±];Since version 6: clone of the commercial iMesh software; does not connect to Gnutella and restricts downloads to media formats;
BitComet;BitTorrent, eDonkey, Kad;[4] HTTP/FTP download;No;ed2k,[4] magnet;Free;Windows;Proprietary;C++;Yes;2015, 1.51 (June 12, 2018; 5 months ago (2018-06-12)) [±][5];Exploits SuperSeeding and thus is often banned by trackers and peers. Compatible with e2DK links through an eMule plugin which gives access to eDonkey and Kad networks and cross-network sharing abilities with BitTorrent network.;
Cabos;Gnutella;No;magnet;Free;macOS, Windows;GPL;Java, REALbasic;Yes;2010, 0.8.2 (February 9, 2010; 8 years ago (2010-02-09)) [±];;
DC++;Direct Connect;No;magnet;Free;Windows;GPL;C++;Yes;2017, 0.866 May 20, 2017; 18 months ago (2017-05-20);Many modifications exist, for example: LinuxDC++, EiskaltDC++, FlylinkDC++, etc.;
eDonkey2000;eDonkey, Overnet;No;ed2k;Free or US$19.95;GNU, macOS, Windows;Proprietary;C++;Yes;2005;Discontinued;
eMule;eDonkey, Kad;No;ed2k;Free;Windows;GPL;C++;Yes;2010, 0.50a (April 7, 2010; 8 years ago (2010-04-07)[6]) [±];Supports protocol obfuscation;
Filetopia;Filetopia;No (except when using a bouncer);No;Free;Windows;Proprietary;Java;No;2015;;
Flashget;BitTorrent, eDonkey; HTTP/FTP download;No;?;?;Windows;Proprietary;?;?;2012;;
Free Download Manager;BitTorrent; HTTP/FTP download;No;metalink;Free;Windows;GPL;C++;Yes;2015, 5.1.37 (build 7274) (September 28, 2018; 2 months ago (2018-09-28)) [±][7];;
Freenet's FProxy;Freenet;Yes;No;Free;GNU, macOS, Windows;GPL;Java;Yes;2017, 0.7.5 (Build 1480) (January 20, 2018; 10 months ago (2018-01-20)) [±][8];;
Frost;Freenet;Yes;No;Free;GNU, macOS, Windows;GPL;Java;Yes;2011;;
FrostWire;BitTorrent;No;magnet;Free;GNU, macOS, Windows;GPL;Java;Yes;2015, 6.7.1 (build 268) (July 24, 2018; 4 months ago (2018-07-24)) [±];Fork of LimeWire, with no copyrighted-material blocker planned.;
GetRight;BitTorrent; HTTP/FTP download;No;?;?;Windows;?;?;?;2011;;
giFT;OpenFT and, with plugins, Ares, Gnutella, FastTrack;No;No;Free;GNU, macOS, Windows;GPL;C;Yes;2004, 0.11.8.1 (2004-11-27) [±];;
GnucDNA / Gnucleus;Gnutella, Gnutella2;No;No;Free;Windows;GPL;C++;Yes;2005, 2.2.0.0 (June 17, 2005; 13 years ago (2005-06-17)) [±];;
GNUnet / gnunet-fs;GNUnet;Yes;ECRS;Free;GNU, FreeBSD, macOS, Windows;GNU AGPLv3 or later[9] (Free software);C;Yes;2014, 0.10.1 (April 8, 2014; 4 years ago (2014-04-08)[10]) [±];Latest preview release: 0.11.0pre66 / June 6, 2018; 6 months ago (2018-06-06)[11];
gtk-gnutella;Gnutella;No;magnet;Free;GNU, Windows;GPL;C;Yes;2018, 1.1.13 (October 22, 2017; 13 months ago (2017-10-22)) [±];;
iMesh (pre v6.0);FastTrack, Gnutella, Gnutella2;No;No;Free;Windows;Proprietary;C++;Yes;2008;;
I2Phex;I2P (protocol Gnutella);Yes;magnet;Free;GNU, macOS, Windows;GPL;Java;Yes;2011;Need I2P to run.;
I2PSnark[12];I2P (protocol BitTorrent);Yes;magnet;Free;GNU, macOS, Windows;GPL;Java;Yes;2014;Integrated into I2P distribution.;
iMule;I2P (protocol Kad network);Yes;ed2k, magnet;Free;GNU, macOS, Windows;GPL;C++;Yes;2013, 2.3.3.3 (June 1, 2016 (2016-06-01)) [±];needs I2P to run;
Jumpshare;Jumpshare;No;No;Free or US$9.99/month;Windows, macOS;Proprietary;Various;Yes;2015;Real-time file sharing with built-in utilities for screenshots, screencasts, notes, and voice clips;
Kazaa;FastTrack;No;No;Free;Windows;Proprietary;C++;adware & spyware;2006;Illegal in Australia.;
Kazaa Lite;FastTrack;No;No;Free;Windows;Proprietary;?;Yes;2007;Adware-disabled version of Kazaa (fake versions in circulation);
KCeasy;Ares, Gnutella, FastTrack, OpenFT;No;No;Free;Windows;GPL;C++, Object Pascal (Delphi);Yes;2008;Uses integrated giFT file sharing daemon as back-end.;
KGet;BitTorrent; HTTP/FTP download;No;?;Free;part of KDE on Windows;GPL;C++;?;2012;?;
