English;Danish;Norwegian;
afraid;bange, (arch., dial.:) ræd;redd, but also bange (archaic, mostly used in standard expressions like "bange anelser");
afterwards;bagefter, derefter;etterpå, efterpå (conservative), deretter/derefter;
angry;vred;sint, vred (literary)[31];
autumn;efterår, (poet.:) høst;høst, etterår/efterår (archaic);
be correct, hold true;passe, stemme;stemme;
boy;dreng, (colloquial:) gut;gutt, dreng (archaic or used in a more narrow sense);
black;sort;svart, sort;
breakfast;morgenmad;frokost;
breathe;ånde;puste, ånde;
cinema;biograf, kino (old-fashioned);kino, biograf (older cinemas);
cold;kold;kald, kold;
to comb (verb);rede;gre(ie), kjemme;
decade;årti, tiår, dekade;tiår, årti, dekade;
easy;nem, let;lett, nem;
evening;aften, (poet.:) kvæld;kveld, aften;
difficult;svær, vanskelig;vanskelig;
fact;kendsgerning, faktum;faktum, kjennsgjerning;
fast, quick(ly);hurtig, rask;fort (adv), rask (adj), hurtig;
forward;frem(over);frem(over), fram(over);
floor (storey);etage, sal;etasje;
frog;frø;frosk;
fun;sjov;moro, gøy;
future;fremtid;fremtid, framtid;
hesitate;tøve, nøle;nøle;
girl;pige;jente, pike;
good;god(t);bra, god(t);
healthy;rask, sund, frisk;frisk, sunn;
hydrogen;brint,[32] hydrogen;hydrogen, vannstoff (archaic);
... , isn't it?/didn't he? etc.;... , ikke/vel? ikke sandt?, ikke også?;... , ikke sant?;
jealous;jaloux, skinsyg, misundelig;sjalu, misunnelig;
last year;sidste år, i fjor;i fjor;
like (vb. enjoy);kunne lide;like;
lunch;frokost;lunsj (alt. lønsj or lunch), formiddagsmat;
maybe;måske, muligvis, kanske (old-fashioned);kanskje, muligvis, måskje (archaic);
moustache;overskæg;bart, overskjegg;
oxygen;ilt,[32] oxygen;oksygen, surstoff;
potato;kartoffel;potet, kartoffel (outdated)[33];
rubbish (nonsense);sludder, vrøvl, vås, nonsens;sludder, vrøvl, nonsens, tull, tøys, vås;
satisfied/pleased;tilfreds, fornøjet;fornøyd, tilfreds;
sheep;får;sau, smale (archaic/dialectal), får (archaic/dialectal, used in expressions/ fixed phrases );
short (person);lille, lav;kort, lav;
sometimes;somme tider, iblandt, (colloquial:) nogle gange, af og til, indimellem,;iblant, av og til, innimellom;
spring(time);forår, (poet.:) vår;vår, forår (archaic);
still (yet);stadigvæk, fremdeles (archaic), fortsat;fremdeles, fortsatt;
team;hold;lag;
there, thither (about direction);derhen;der hen, derhen (riksmål),[34] dit, dithen;
toad;tudse;padde;
ugly;grim, (ethically:) styg;stygg, grim;
usual;sædvanlig, vanlig (archaic);vanlig, sedvanlig;
[earth]worm;orm;[meite]makk, [mete]mark, orm (Ambiguous, could mean both worm and snake, cf. wyrm.);
wrong;forkert, gal(t);gal(t), feil;
