Implementation;brainpoolP256r1 (26)[152];brainpoolP384r1 (27)[152];brainpoolP512r1 (28)[152];X25519 [153];Curve448 Ed448-Goldilocks [154];M221 Curve2213 [155];E222 [155];Curve1174 [155];E382 [155];M383 [155];Curve383187 [155];Curve41417 Curve3617 [155];M511 Curve511187 [155];E521 [155];
BearSSL[150];No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;
Botan;Yes[156];Yes[156];Yes[156];Yes[126];No;No;No;No;No;No;No;No;No;No;
BoringSSL;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;
CryptoComply;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;
GnuTLS;No;No;No;Yes[157];No;No;No;No;No;No;No;No;No;No;
JSSE;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
LibreSSL;Yes[43];Yes[43];Yes[43];Yes[158];No;No;No;No;No;No;No;No;No;No;
MatrixSSL;Yes;Yes;Yes;TLS 1.3 only[159];No;No;No;No;No;No;No;No;No;No;
mbed TLS;Yes[160];Yes[160];Yes[160];Primitive only[161];Primitive only[162];No;No;No;No;No;No;No;No;No;
NSS;No[163];No[163];No[163];Yes[164];No;No;No;No;No;No;No;No;No;No;
OpenSSL;Yes[54];Yes[54];Yes[54];Yes[165][166];Yes[167][168];No;No;No;No;No;No;No;No;No;
RomSTL;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
RSA BSAFE;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
rustls;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;
SChannel Vista/2008, 7/2008R2, 8/2012, 8.1/2012R2, 10;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
Secure Transport;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
wolfSSL;Yes;Yes;Yes;Yes[169];No;No;No;No;No;No;No;No;No;No;
Erlang/OTP SSL application;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;
Implementation;brainpoolP256r1 (26);brainpoolP384r1 (27);brainpoolP512r1 (28);Curve25519;Curve448 Ed448-Goldilocks;M221 Curve2213;E222;Curve1174;E382;M383;Curve383187;Curve41417 Curve3617;M511 Curve511187;E521 [155];
