F2FS;255 bytes;Any byte except NUL, /[e];No limit defined[f];3.94 TiB;16 TiB;?;
MFS;255 bytes;Any byte except :;No path (flat filesystem);256 MiB;256 MiB;?;
HFS;31 bytes;Any byte except :;Unlimited;2 GiB;2 TiB;?;
HPFS;255 bytes;Any byte except NUL[l];No limit defined[f];2 GiB;2 TiB[m];?;
NTFS;255 characters;In Win32 namespace: any UTF-16 code unit (case-insensitive) except /\:*"?<>| as well as NUL In POSIX namespace: any UTF-16 code unit (case-sensitive) except / as well as NUL[12];32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[f];16 EiB[n];16 EiB[n];?;
ReFS;255 UTF-16 characters[13];Any Unicode except NUL, /[13];32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[13];16 EiB[13];3.76 ZiB[14];?;
HFS Plus;255 UTF-16 characters[o];Any valid Unicode[e][p];Unlimited;slightly less than 8 EiB;slightly less than 8 EiB[15][16];?;
FFS;255 bytes;Any byte except NUL[e];No limit defined[f];4 GiB;256 TiB;?;
HAMMER;255 bytes[17];Any byte except NUL[e];?;?;1 EiB[18];?;
UFS1;255 bytes;Any byte except NUL[e];No limit defined[f];16 GiB to 256 TiB;16 EiB;?;
UFS2;255 bytes;Any byte except NUL[e];No limit defined[f];512 GiB to 32 PiB;512 ZiB[19] (279 bytes);?;
ext;255 bytes;Any byte except NUL[e];No limit defined[f];2 GiB;2 GiB;?;
Xiafs;248 bytes;Any byte except NUL[e];No limit defined[f];64 MiB;2 GiB;?;
ext2;255 bytes;Any byte except NUL, /[e];No limit defined[f];16 GiB to 2 TiB[d];2 TiB to 32 TiB;?;
ext3;255 bytes;Any byte except NUL, /[e];No limit defined[f];16 GiB to 2 TiB[d];2 TiB to 32 TiB;?;
ext4;255 bytes;Any byte except NUL, /[e];No limit defined[f];16 GiB to 16 TiB[d][20];1 EiB;232;
NOVA;255 bytes;Any byte except NUL, /[e];No limit defined[f];16 EiB;16 EiB;?;
Lustre;255 bytes;Any byte except NUL[e];No limit defined[f];16 EiB on ZFS;16 EiB;?;
GPFS;255 UTF-8 codepoints;Any byte except NUL[e];No limit defined[f];No limit found;299 bytes (2 PiB tested);?;
GFS;255 bytes;Any byte except NUL[e];No limit defined[f];2 TiB to 8 EiB[q];2 TiB to 8 EiB[q];?;
NILFS;255 bytes;Any byte except NUL[e];No limit defined[f];8 EiB;8 EiB;?;
ReiserFS;4,032 bytes/255 characters;Any byte except NUL or '/'[e];No limit defined[f];8 TiB[r] (v3.6), 4 GiB (v3.5);16 TiB;?;
Reiser4;3,976 bytes;Any byte except / and NUL;No limit defined[f];8 TiB on x86;?;?;
OCFS;255 bytes;Any byte except NUL[e];No limit defined[f];8 TiB;8 TiB;?;
OCFS2;255 bytes;Any byte except NUL[e];No limit defined[f];4 PiB;4 PiB;?;
XFS;255 bytes[s];Any byte except NUL[e];No limit defined[f];8 EiB[t];8 EiB[t];?;
JFS1;255 bytes;Any byte except NUL[e];No limit defined[f];8 EiB;512 TiB to 4 PiB;?;
JFS;255 bytes;Any Unicode except NUL;No limit defined[f];4 PiB;32 PiB;?;
QFS;255 bytes;Any byte except NUL[e];No limit defined[f];16 EiB[u];4 PiB[u];?;
BFS;255 bytes;Any byte except NUL[e];No limit defined[f];12,288 bytes to 260 GiB[v];256 PiB to 2 EiB;?;
AdvFS;255 characters;Any byte except NUL[e];No limit defined[f];16 TiB;16 TiB;?;
NSS;256 characters;Depends on namespace used[w];Only limited by client;8 TiB;8 TiB;?;
NWFS;80 bytes[x];Depends on namespace used[w];No limit defined[f];4 GiB;1 TiB;?;
ODS-5;236 bytes[y];?;4,096 bytes[z];1 TiB;1 TiB;?;
VxFS;255 bytes;Any byte except NUL[e];No limit defined[f];16 EiB;?;?;
UDF;255 bytes;Any Unicode except NUL;1,023 bytes[aa];16 EiB;512 MiB to 16 TiB;?;
ZFS;255 bytes;Any Unicode except NUL;No limit defined[f];16 EiB;256 ZiB (278 bytes);2128;
Btrfs;255 bytes;Any byte except '/' and NUL;No limit defined;16 EiB;16 EiB;264;
Minix V1 FS;14 or 30 bytes, set at filesystem creation time;Any byte except NUL[e];No limit defined[f];256.5 MiB [ab];64 MiB;?;
Minix V2 FS;14 or 30 bytes, set at filesystem creation time;Any byte except NUL[e];No limit defined[f];2 GiB [ab];1 GiB;?;
Minix V3 FS;60 bytes;Any byte except NUL[e];No limit defined[f];2 GiB;4 GiB;?;
VMFS2;128;Any byte except NUL or /[e];2,048;4 TiB[ac];64 TiB;?;
VMFS3;128;Any byte except NUL or /[e];2,048;2 TiB[ac];64 TiB;?;
ISO 9660:1988;Level 1: 8.3, Level 2 & 3: ~ 180;Depends on Level[ad];~ 180 bytes?;4 GiB (Level 1 & 2) to 8 TiB (Level 3)[ae];8 TiB[af];?;
Joliet ("CDFS");64 Unicode characters;All UCS-2 code except *, /, \, :, ;, and ?[22];?;same as ISO 9660:1988;same as ISO 9660:1988;?;
Rock Ridge;255 bytes;Any byte except NUL or /[e];No limit defined[f];same as ISO 9660:1988;same as ISO 9660:1988;?;
UniFS;No limit defined (depends on client);?;No limit defined (depends on client);Available cache space at time of write (depends on platform);No limit defined;No limit defined;
ISO 9660:1999;?;?;?;?;?;?;
High Sierra Format;?;?;?;?;?;?;
SquashFS;?;?;No limit defined;16 EiB;16 EiB;?;
File system;Maximum filename length;Allowable characters in directory entries[c];Maximum pathname length;Maximum file size;Maximum volume size[d];Max number of files;
