;General linear model;Generalized linear model;
Typical estimation method;Least squares, best linear unbiased prediction;Maximum likelihood or Bayesian;
Exemplars;ANOVA, ANCOVA, linear regression;linear regression, logistic regression, Poisson regression, gamma regression,[7] general linear model;
Extensions and related methods;MANOVA, MANCOVA, linear mixed model;generalized linear mixed model (GLMM), generalized estimating equations (GEE);
R package and function;lm() in stats package (base R);glm() in stats package (base R);
Matlab function;mvregress();glmfit();
SAS procedures;PROC GLM, PROC REG;PROC GENMOD, PROC LOGISTIC (for binary & ordered or unordered categorical outcomes);
Stata command;regress;glm;
SPSS command;regression, glm;genlin, logistic;
Wolfram Language & Mathematica function;LinearModelFit[][8];GeneralizedLinearModelFit[][9];
EViews command;ls[10];glm[11];
