Software;Windows;Mac OS X;Linux;ChromeOS;BSD;Unix;iOS App;Android App;Windows App;
Aigaion;Yes;Yes;Yes;?;Yes;Yes;No;No;No;
Bebop;Yes;Yes;Yes;?;Yes;Yes;No;No;No;
BibBase;N/A;N/A;N/A;N/A;N/A;N/A;?;?;?;
BibDesk;No;Yes;No;?;No;No;Third-party - PocketBib;?;?;
BibSonomy;N/A;N/A;N/A;N/A;N/A;N/A;?;?;?;
Bibus;Yes;Experimental;Yes;?;Yes;Yes;No;No;No;
Bookends;No;Yes;No;?;No;No;Yes;?;?;
Citavi;Yes;No;No;No;No;No;No;No;No;
CiteULike;N/A;N/A;N/A;N/A;N/A;N/A;?;?;?;
colwiz;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;No;
EndNote;Yes;Yes;No;No;No;No;Yes;No;No;
F1000Workspace;Yes;Yes;No;No;No;No;Yes;Yes;No;
JabRef;Yes;Yes;Yes;No;Yes;Yes;No;No;No;
KBibTeX;Experimental;Experimental;Yes;?;Yes;Yes;No;No;No;
Mendeley;Yes;Yes;Yes;No;No;No;Yes;Yes;No;
Paperpile;Yes;Yes;Yes;Yes;No (requires Chrome);No (requires Chrome);No;No;No;
Papers;No;Yes;No;No;No;No;Yes;third party - EZPaperz[10] or Aziz, Lite! [11];No;
Pybliographer;Partial[12];Partial[12];Yes;?;Yes;Yes;No;No;No;
Qiqqa;Yes;No;No;?;No;No;No;Yes;No;
ReadCube;Yes;Yes;No;?;No;No;Yes;Yes;No;
refbase;Yes;Yes;Yes;?;Yes;Yes;No;No;No;
RefDB;Yes;Yes;Yes;?;Yes;Yes;No;No;No;
Reference Manager;Yes[13];No;No;?;No;No;No;No;No;
Referencer;No;No;Yes;?;No;No;?;?;?;
RefWorks[14];Yes;Yes;No;Yes;Yes;?;No - but is responsive;?;No;
SciRef;Yes;No;No;?;No;No;?;?;?;
Sente;No;Yes;No;?;No;No;Yes[15];?;?;
Wikindx;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
WizFolio;Yes;Yes;Yes;?;Yes;Yes;?;?;?;
Zotero;Yes;Yes;Yes;?;Yes;Yes;third party;third party - Aziz, Lite![11];No;
