Name;Whole disk;Partition;File;Swap space;Hibernation file;
Aloaha Secure Stick;No;No;Yes;No;No;
ArchiCrypt Live;Yes (except for the boot volume);Yes;Yes;No;No;
BestCrypt;Yes;Yes;Yes;Yes;Yes[114];
BitArmor DataControl;No;Yes;No;Yes;Yes;
BitLocker;Yes (except for the boot volume);Yes;Yes[115];Yes (parent volume is encrypted);Yes (parent volume is encrypted);
Bloombase Keyparc;Yes;Yes;Yes;Yes;No;
CenterTools DriveLock;Yes;Yes;Yes;Yes;Yes;
CGD;Yes;Yes;Yes[70];Yes;No;
Check Point Full Disk Encryption;Yes;Yes;Yes;Yes;Yes;
CipherShed;Yes;Yes;Yes;Yes;only on Windows;
CrossCrypt;No;No;Yes;No;No;
CryFS;No;No;No;No;No;
CryptArchiver;No;No;Yes;No;No;
Cryhod;No;Yes;No;Yes;Yes (parent volume is encrypted);
Cryptoloop;Yes;Yes;Yes;Yes;No;
Cryptomill;Yes;N/A;Yes;N/A;N/A;
CryptoPro Secure Disk Enterprise;Yes;Yes;Yes (add-on Secure Device);Yes;Yes;
CryptoPro Secure Disk for BitLocker;Yes;Yes;Yes;Yes;Yes;
DiskCryptor;Yes;Yes;No;Yes;Yes;
Disk Protect;Yes;No;No;Yes;Yes;
Dm-crypt / LUKS;Yes;Yes;Yes[116];Yes;Yes[117];
DriveCrypt;Yes;Yes[82];Yes[82];Yes;Yes;
DriveSentry GoAnywhere 2;No;Yes;Yes;No;No;
E4M;No;Yes;Yes;No;No;
e-Capsule Private Safe;No;No;Yes[118];No;No;
eCryptfs;No;No;Yes;No;No;
EgoSecure HDD Encryption;Yes;Yes;Yes;Yes;Yes;
FileVault;No;No;Yes[86];Yes[119][86];Yes[119][120];
FileVault 2;Yes[121];Yes[87];No;Yes;Yes;
FinalCrypt;No;No;No;No;No;
FREE CompuSec;Yes;No;Yes;Yes;Yes;
FreeOTFE;Yes (except for the boot volume);Yes;Yes;No;No;
GBDE;Yes;Yes;Yes[122];Yes;No;
GELI;Yes;Yes;Yes[122];Yes;No;
Loop-AES;Yes;Yes[93];Yes[93];Yes[93];Yes[93];
McAfee Drive Encryption (SafeBoot);Yes;Yes;Yes;Yes;Yes[123];
n-Crypt Pro;Yes;Yes;Yes;No;No;
PGPDisk;Yes;Yes;Yes;Yes;only on Windows;
Private Disk;No;No;Yes;No;No;
ProxyCrypt;Yes;Yes;Yes;No;No;
R-Crypto;No;No;Yes;No;No;
SafeGuard Easy;Yes;Yes;extra module;Yes;Each sector on disk is encrypted;
SafeGuard Enterprise;Yes;Yes;Yes;Yes;Each sector on disk is encrypted;
SafeGuard PrivateDisk;No;No;Yes;No;No;
SafeHouse Professional;No;No;Yes;No;No;
Scramdisk;No;Yes;Yes;No;No;
Scramdisk 4 Linux;Yes;Yes;Yes;Yes;No;
SecuBox;No;No;Yes;N/A;No;
SecureDoc;Yes[102];Yes;Yes;Yes;Yes;
Sentry 2020;No;No;Yes;No;No;
Softraid / RAID C;Yes;Yes;No;Yes (encrypted by default in OpenBSD)[124];No;
Svnd / Vnconfig;?;Yes;Yes;Yes (encrypted by default in OpenBSD);?;
SpyProof!;No;Yes;Yes;No;No;
Symantec Endpoint Encryption;Yes;Yes;Yes;Yes;Yes;
Trend Micro Endpoint Encryption;Yes;Yes;Yes;Yes;Yes;
TrueCrypt;Yes[125];Yes;Yes;Yes;only on Windows[107];
VeraCrypt;Yes;Yes;Yes;Yes;only on Windows[107];
CyberSafe Top Secret;No;Yes;Yes;No;No;
Name;Whole disk;Partition;File;Swap space;Hibernation file;
