OLAP Server;MOLAP;ROLAP;HOLAP;Offline;
Apache Kylin;Yes;No;No;Yes;
Druid;Yes;Yes;Yes;Yes;
Essbase;Yes;No;No;;
IBM Cognos BI;Yes;Yes;Yes;;
IBM Cognos TM1;Yes;No;No;Cognos Insight Distributed mode;
icCube;Yes;No;No;Offline Cubes;
Infor BI OLAP Server;Yes;No;No;Local cubes;
Jedox OLAP Server;Yes;No;No;No;
Kyligence;Yes;Yes;Yes;No;
Kyvos BI on Big Data;Yes;Yes;No;Yes;
Microsoft Analysis Services;Yes;Yes;Yes;Local cubes, PowerPivot for Excel, Power BI Desktop;
MicroStrategy Intelligence Server;Yes;Yes;Yes;MicroStrategy Office, Dynamic Dashboards;
Mondrian OLAP server;No;Yes;No;;
Oracle Database OLAP Option;No;Yes;No;;
SAP NetWeaver BW;Yes;Yes;No;;
SAS OLAP Server;Yes;Yes;Yes;;
