Name;Architecture;Store;Integrated firewall;SMP support;USB support;UDMA support;Long filename support;Package management;Update management;APIs;DDIs;Safe Mode;Data Execution Prevention;DirectX;
Windows NT 3.1;IA-32, DEC Alpha, MIPS;N/A;No;Yes;No;?;Yes (NTFS and HPFS volumes only);N/A;;Win32, OS/2, POSIX;DLL, KMD;No;No;No;
Windows NT 3.5;IA-32, DEC Alpha, MIPS;N/A;No;Yes;No;?;Yes (except on CDFS volumes);N/A;;Win32, OS/2, POSIX;DLL, KMD;No;No;No;
Windows NT 3.51;IA-32, DEC Alpha, MIPS, PowerPC;N/A;No;Yes;No;?;Yes (except on CDFS volumes);N/A;;Win32, OS/2, POSIX;DLL, KMD;No;No;No;
Windows NT 4.0;IA-32, DEC Alpha, MIPS, PowerPC;N/A;No;Yes;Yes (if the Ion USB update is installed);Yes;Yes;N/A;Windows Update (if Internet Explorer 5 or later is installed);Win32, OS/2, POSIX;DLL, KMD;No;No;Yes 3.0a, 5.0(unofficial);
Windows 2000;IA-32;N/A;No;Yes;Yes (USB 2.0 with update or SP4)[2];Yes;Yes;N/A;Windows Update, WSUS;Win32, OS/2, POSIX;DLL, KMD, WDM, KMDF;Yes;No;Yes 7.0, 9.0c(feb2010)(optional);
Windows XP;IA-32(NT5.1), Itanium(NT5.1/5.2), x64(NT5.2);N/A;Yes;Yes (Professional Edition only);Yes (USB 2.0 with update or SP1+)[3];Yes;Yes;N/A;Windows Update, WSUS;Win32, .NET;DLL, KMD, WDM, KMDF, UMDFv1;Yes;Yes (in SP2);Yes 9.0c;
Windows Server 2003;IA-32, Itanium, x64;N/A;Yes;Yes;Yes (USB 2.0)[4];Yes;Yes;N/A;Windows Update, WSUS;Win32;DLL, KMD, WDM, KMDF, UMDFv1;Yes;Yes (in SP1);Yes 9.0c;
Windows Fundamentals for Legacy PCs;IA-32;N/A;Yes;No;Yes;Yes;Yes;N/A;Windows Update, WSUS;Win32;DLL, KMD, WDM, KMDF, UMDFv1;Yes;Yes;Yes 9.0c;
Windows Vista;IA-32, x64;Windows Marketplace;Yes;Yes;Yes (USB 2.0);Yes;Yes;N/A;Windows Update, WSUS;Win32, .NET, POSIX (only Enterprise and Ultimate);DLL, KMD, WDM, KMDF, UMDFv1;Yes;Yes;Yes 10.1 11.0(optional);
Windows Server 2008;IA-32, Itanium, x64;N/A;Yes;Yes;Yes (USB 2.0);Yes;Yes;N/A;Windows Update, WSUS;Win32;DLL, KMD, WDM, KMDF, UMDFv1;Yes;Yes;Yes 10.1 11.0(optional);
Windows Home Server;IA-32;N/A;?;Yes;Yes (USB 2.0);?;Yes;N/A;Windows Update;Win32;DLL, KMD, WDM, KMDF, UMDFv1;?;?;Yes 9.0c;
Windows 7;IA-32, x64;N/A;Yes;Yes;Yes (USB 3.0);Yes;Yes;N/A;Windows Update, WSUS;Win32, .NET;DLL, KMD, WDM, KMDF, UMDFv1;Yes;Yes;Yes 11.0 11.1(optional);
Windows Server 2008 R2;Itanium, x64;N/A;Yes;Yes;Yes (USB 3.0);Yes;Yes;N/A;Windows Update, WSUS;Win32, .NET;DLL, KMD, WDM, KMDF, UMDFv1;Yes;Yes;Yes 11.0 11.1(optional);
Windows Home Server 2011;x64;N/A;?;Yes;Yes (USB 3.0);?;Yes;N/A;Windows Update;Win32;DLL, KMD, WDM, KMDF, UMDFv1;?;?;Yes 11.0 11.1(optional);
Windows Server 2012;x64;Windows Store;Yes;Yes;Yes (USB 3.0);Yes;Yes;Windows Store;Windows Update, WSUS;Win32, .NET, WinRT;DLL, KMD, WDM, KMDF, UMDFv1;Yes;Yes;Yes 11.1;
Windows 8;IA-32, x64;Windows Store;Yes;Yes;Yes (USB 3.0);Yes;Yes;Windows Store;Windows Update, WSUS;Win32, .NET, WinRT;DLL, KMD, WDM, KMDF, UMDFv1;Yes;Yes;Yes 11.1;
Windows 8.1;IA-32, x64;Windows Store;Yes;Yes;Yes (USB 3.0);Yes;Yes;Windows Store, PowerShell;Windows Update, WSUS, Windows Store;Win32, .NET, WinRT;DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2;Yes;Yes;Yes 11.2;
Windows Server 2012 R2;x64;Windows Store;Yes;Yes;Yes (USB 3.0);Yes;Yes;Windows Store;Windows Update, WSUS, Windows Store;Win32, .NET, WinRT;DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2;Yes;Yes;Yes 11.2;
Windows 10;IA-32, x64;Windows Store;Yes;Yes;Yes (USB 3.1 and Thunderbolt 3);Yes;Yes;Windows Store, PowerShell;Windows Update, WSUS, Windows Store;Win32, .NET, WinRT, Linux;DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2;Yes;Yes;Yes 12;
Windows Server 2016;x64;Windows Store;Yes;Yes;Yes (USB 3.1 and Thunderbolt 3);Yes;Yes;Windows Store;Windows Update, WSUS, Windows Store;Win32, .NET, WinRT;DLL, KMD, WDM, KMDF, UMDFv1, UMDFv2;Yes;Yes;Yes 12;
