Implementation;RSA[36];RSA-EXPORT (insecure)[36];DHE-RSA (forward secrecy)[36];DHE-DSS (forward secrecy)[36];ECDH-ECDSA[84];ECDHE-ECDSA (forward secrecy)[84];ECDH-RSA[84];ECDHE-RSA (forward secrecy)[84];GOST R 34.10-94, 34.10-2001[85];
BearSSL;Yes;No;No;No;Yes;Yes;Yes;Yes;No;
Botan;Disabled by default;No;Yes;Disabled by default;No;Yes;No;Yes;No;
CryptoComply;Yes;Disabled by Default;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
cryptlib;Yes;No;Yes;Yes;No;Yes;No;No;No;
GnuTLS;Yes;No;Yes;Disabled by default[39];No;Yes;No;Yes;No;
JSSE;Yes;Disabled by default;Yes;Yes;Yes;Yes;Yes;Yes;No[86];
LibreSSL;Yes;No[43];Yes;Yes;Yes;Yes;Yes;Yes;Yes[87];
MatrixSSL;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;
mbed TLS;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;
NSS;Yes;Disabled by default;Yes[88];Yes;Yes;Yes;Yes;Yes;No[89][90];
OpenSSL;Yes;No[52];Yes;Disabled by default[52];Yes;Yes;Yes;Yes;Yes[91];
RomStl;Yes;No;Yes;Yes;No;Yes;No;Yes;No;
RSA BSAFE;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;
rustls;No;No;No;No;No;Yes;No;Yes;No;
SChannel XP/2003;Yes;Yes;No;XP: Max 1024 bits 2003: 1024 bits only;No;No;No;No;No[92];
SChannel Vista/2008;Yes;Disabled by default;No;1024 bits by default[93];No;Yes;No;except AES_GCM;No[92];
SChannel 8/2012;Yes;Disabled by default;AES_GCM only[94][95][96];1024 bits by default[93];No;Yes;No;except AES_GCM;No[92];
SChannel 7/2008R2, 8.1/2012R2;Yes;Disabled by default;Yes;2048 bits by default[93];No;Yes;No;except AES_GCM;No[92];
SChannel 10;Yes;Disabled by default;Yes;2048 bits by default[93];No;Yes;No;Yes;No[92];
Secure Transport OS X 10.6;Yes;Yes;except AES_GCM;Yes;Yes;except AES_GCM;Yes;except AES_GCM;No;
Secure Transport OS X 10.8-10.10;Yes;No;except AES_GCM;No;Yes;except AES_GCM;Yes;except AES_GCM;No;
Secure Transport OS X 10.11;Yes;No;Yes;No;No;Yes;No;Yes;No;
wolfSSL;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;
Erlang/OTP SSL application;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;
Implementation;RSA[36];RSA-EXPORT (insecure)[36];DHE-RSA (forward secrecy)[36];DHE-DSS (forward secrecy)[36];ECDH-ECDSA[84];ECDHE-ECDSA (forward secrecy)[84];ECDH-RSA[84];ECDHE-RSA (forward secrecy)[84];GOST R 34.10-94, 34.10-2001[85];
