Implementation;Application-defined;PKIX path validation[110];CRL[111];OCSP[112];DANE (DNSSEC)[113];Trust on First Use (TOFU);
BearSSL;Yes;Yes;No;No;No;No;
Botan;Yes;Yes;Yes;Yes;No;No;
Bouncy Castle;Yes;Yes;Yes;Yes;Yes;No;
CryptoComply;Yes;Yes;Yes;Yes;Yes;No;
cryptlib;Yes;Yes;Yes;Yes;No;No;
GnuTLS;Yes;Yes;Yes;Yes;Yes;Yes;
JSSE;Yes;Yes;Yes;Yes;No;No;
LibreSSL;Yes;Yes;Yes;Yes;No;No;
MatrixSSL;Yes;Yes;Yes;Yes[114];No;No;
mbed TLS;Yes;Yes;Yes;Yes[115];No;No;
NSS;Yes;Yes;Yes;Yes;No[116];No;
OpenSSL;Yes;Yes;Yes;Yes;Yes;No;
RomSTL;Yes;Yes;No;Yes;No;No;
RSA BSAFE;Yes;Yes;Yes;Yes;No;No;
rustls;Yes;Yes;No;No;No;No;
SChannel;Unknown;Yes;Yes[117];Yes[117];No;No;
Secure Transport;Yes;Yes;Yes;Yes;No;No;
wolfSSL;Yes;Yes;Yes;Yes;No;No;
Erlang/OTP SSL application;Yes;Yes;Yes;No;No;No;
Implementation;Application-defined;PKIX path validation[110];CRL[111];OCSP[112];DANE (DNSSEC)[113];Trust on First Use (TOFU);;
