Model (Codename);Launch;Architecture (Fab);Core;Fillrate[a][b][c];Processing power[a][d] (GFLOPS);Memory[e];TDP (W);
Config[f];Clock[a] (MHz);Texture (GT/s);Pixel (GP/s);Bus type & width (bit);Size (GiB);Clock (MHz);Band- width (GB/s);
Radeon HD 8550M / 8630M (Sun LE);8 January 2013;GCN 1st gen (28 nm);384:24:8;650 700;5.2 5.6;15.6 16.8;537.6;DDR3 64;1;900;14.4;Unknown;
Radeon HD 8570M / 8650M (Sun Pro);8 January 2013;384:24:8;650 700;5.2 5.6;15.6 16.8;537.6;GDDR5 64;1;1125;36;Unknown;
Radeon HD 8670M (Mars XT);8 January 2013;384:24:8;775 825;6.2 6.6;18.6 19.8;633.6;DDR3 64;1;900;14.4;Unknown;
Radeon HD 8690M (Sun XT);8 January 2013;384:24:8;775 825;6.2 6.6;18.6 19.8;633.6;GDDR5 64;1;1125;36;Unknown;
Radeon HD 8730M (Mars LE);8 January 2013;384:24:8;650 700;5.2 5.6;15.6 16.8;537.6;DDR3 128;2;1000;32;Unknown;
Radeon HD 8750M (Mars Pro);8 January 2013;384:24:8;620–775 670–825;4.96 6.6;14.88 19.8;514.56 633.6;DDR3 GDDR5 128;2;1000;32 64;Unknown;
Radeon HD 8770M (Mars XT);8 January 2013;384:24:8;775 825;6.2 6.6;18.6 19.8;633.6;GDDR5 128;2;1125;72;Unknown;
Radeon HD 8790M (Mars XTX);8 January 2013;384:24:8;850 900;6.8 7.2;20.4 21.6;691.2;GDDR5 128;2;1125;72;Unknown;
Radeon HD 8830M (Venus LE);8 January 2013;640:40:16;575 625;9.2 10;23 25;800;DDR3 128;2;1000;32;Unknown;
Radeon HD 8850M (Venus Pro);8 January 2013;640:40:16;575–725 625–775;9.2 12.4;23 31;800 992;DDR3 GDDR5 128;2;1000 1125;32 72;Unknown;
Radeon HD 8870M (Venus XT);8 January 2013;640:40:16;725 775;11.6 12.4;29 31;992;DDR3 GDDR5 128;2;1000 1125;32 72;Unknown;
Radeon HD 8970M (Neptune XT);8 January 2013;1280:80:32;850 900;27.2 28.8;68 72;2304;GDDR5 256;2 4;1200;153.6;100;
