Shell;Usual environment;Usually invoked;Introduced;Platform-independent;Default login shell in;Default script shell in;License;Source code availability;User interface;Mouse support;Unicode support;ISO 8601 support;Console redirection;Stream redirection;Configurability;Startup/shutdown scripts;Batch scripts;Logging;available as statically linked, independent single file executable;
Thompson shell;UNIX;sh;1971;N/A;UNIX;UNIX;N/A;Yes;Text-based CLI;No;No;N/A;Yes;N/A;N/A;N/A;N/A;N/A;N/A;
Bourne shell 1977 version;7th Ed. UNIX;sh;1977;Yes[1];7th Ed. UNIX;7th Ed. UNIX,;Proprietary[2];Yes;Text-based CLI;No;No;N/A;Yes;Yes (arbitrary fds);Yes (via variables and options);Yes (.profile);Yes (Unix feature);No;Yes;
Bourne shell current version;Various UNIX;sh;1977;Yes[3];SunOS-5.x, FreeBSD (non-root user)[4];SunOS-5.x;CDDL[5][better source needed];Yes;Text-based CLI;No;Yes[6][better source needed];N/A;Yes;Yes (arbitrary fds);Yes (via variables and options);Yes (.profile);Yes (Unix feature);Yes[7];Yes;
POSIX shell[8];POSIX;sh;1992[9];N/A;N/A;POSIX;N/A;N/A;Text-based CLI;No;Yes, if used by configured locale;N/A;Yes;Yes (arbitrary fds);Yes (via variables and options);Unspecified (.profile given as an example);Yes (Unix feature);Yes;N/A;
bash (v4);POSIX;bash, sh;1989[10];Yes;GNU, Linux (default for root), Mac OS X 10.3+;GNU, Linux, Haiku, Mac OS X;GPL;Yes;Text-based CLI;No;Yes[11][better source needed];Yes (printf builtin);Yes;Yes (arbitrary fds);Yes (via variables and options);Yes (/etc/profile, .bash_profile, .bash_login, .profile, .bashrc);Yes (Unix feature);Yes;Yes;
csh;POSIX;csh;1978;Yes;SunOS;?;BSD;Yes;Text-based CLI;No;No;?;Yes;Yes (stdin, stdout, stdout+stderr);Yes (via variables and options);Yes (~/.cshrc, ~/.login, ~/.logout);Yes (Unix feature);Yes;Yes;
tcsh;POSIX;tcsh, csh;1983[12];Yes;FreeBSD (default for root), formerly Mac OS X;?;BSD;Yes;Text-based CLI;No;Yes;?;Yes;Yes (stdin, stdout, stdout+stderr);Yes (via variables and options);Yes (/etc/csh.cshrc, /etc/csh.login, ~/.tcshrc, ~/.cshrc, ~/.history, ~/.login, ~/.cshdirs);Yes (Unix feature);Yes;Yes;
Hamilton C shell;Win32, OS/2;csh;1988[13];Yes (OS/2 version no longer maintained);Optional;Optional;Proprietary;No;Text-based CLI;No;No;Yes (-t timestamp operator);Yes;Yes (stdin, stdout, stdout+stderr);Yes (via variables and options);Yes (via login.csh, startup.csh and logout.csh);Yes (command line option);Yes;Yes;
Scsh;POSIX;scsh;1994;Yes;?;?;BSD-style;Yes;?;?;?;?;?;Yes;?;?;?;?;Yes;
ksh (ksh93t+);POSIX;ksh;1983[14][15];Yes;AIX, HP-UX;OpenSolaris;Common Public License;Yes;Text-based CLI;No;Yes;Yes (printf builtin with %(%F)T[16]);Yes;Yes (arbitrary fds);Yes (via variables and options);Yes (system and user's profile and kshrc);Yes (Unix feature);Yes;Yes;
pdksh;POSIX;ksh, sh;1989?;Yes;OpenBSD[17];OpenBSD[17];Public Domain;Yes;Text-based CLI;No;No;N/A;Yes;Yes (arbitrary fds);Yes (via variables and options);Yes (/etc/profile, .profile);Yes (Unix feature);Yes;Yes;
zsh;POSIX;zsh;1990;Yes;Deepin, Gobolinux, Grml;Grml;MIT-style;Yes;Text-based CLI;via additional code[18];Yes;Yes (various internal features involving the date, by using the %F strftime format[19] and the -i option for the fc builtin[20]);Yes;Yes (arbitrary fds);Yes (via variables, options, functions, styles, etc.);Yes (system and user's zshenv, zprofile, zshrc, zlogin, zlogout);Yes (Unix feature);Yes;Yes;
ash;POSIX;sh;1989;Yes;Minix, BusyBox based systems;NetBSD, Minix, BusyBox based systems;BSD-style;Yes;Text-based CLI;No;Partial (for BusyBox, supported in command-line editing, but not in string handling[21]);N/A;Yes;Yes (arbitrary fds);Yes (via variables and options);Yes (/etc/profile, .profile);Yes (Unix feature);Yes;Yes;
CCP;CP/M, MP/M;(CCP);1975 (1973);No;CP/M (no login), MP/M;CP/M, MP/M;Freeware (originally proprietary);Yes (originally closed-source);Text-based CLI;No;No;No;?;No;No;Yes (automatic via $$$.SUB);Partial (only via external SUBMIT command to update $$$.SUB);No;Yes;
