License and version;FSF approval [31];GPL (v3) compatibility [32][33][34][35][36];OSI approval [37];Debian approval [38][39];Fedora approval [40];
Academic Free License;Yes;No;Yes;No;Yes;
Affero General Public License 3.0;Yes;Yes;Yes;Yes;Yes;
Apache License 1.x;Yes;No;Yes;Yes;Yes;
Apache License 2.0;Yes;GPLv3 only[41];Yes;Yes;Yes;
Apple Public Source License 1.x;No[42];No;Yes;No;No;
Apple Public Source License 2.0;Yes;No;Yes;No;Yes;
Artistic License 1.0;No[note 1];No;Yes;Yes;No;
Artistic License 2.0;Yes;Yes;Yes;Yes;Yes;
Beerware License;see "informal license" section[43];see "informal license" section[43];No;No;Yes[44];
Original BSD license;Yes;No;No[45];Yes;Yes;
Modified BSD license;Yes;Yes;Yes;Yes;Yes;
Boost Software License;Yes;Yes;Yes;Yes;Yes;
CeCILL;Yes;Yes;Yes;Yes;Yes;
Common Development and Distribution License;Yes;GPLv3 (GPLv2 disputed)[46][47][48][49][50][51];Yes;Yes;Yes;
Common Public License;Yes;No;Yes;Yes;Yes;
Creative Commons Zero;Yes[52];Yes[52];not approved and not rejected[53];Partial[54][55];Yes[56];
Creative Commons BY-SA 4.0;Yes;GPLv3[57];?;Yes;?;
Cryptix General License;Yes;Yes;Yes;Yes;Yes;
Eclipse Public License;Yes;No;Yes;Yes;Yes;
Educational Community License;Yes;Yes[58];Yes;No;Yes;
Eiffel Forum License 2;Yes;Yes;Yes;Yes;Yes;
European Union Public Licence;Yes;Yes[19];Yes;Yes;?;
GNU Affero General Public License;Yes;Yes[21][59];Yes;Yes;Yes;
GNU General Public License v2;Yes;No[note 2][60];Yes;Yes;Yes;
GNU General Public License v3;Yes;Yes[note 3][60];Yes;Yes;Yes;
GNU Lesser General Public License;Yes;Yes;Yes;Yes;Yes;
GNU Free Documentation License;Yes;No[61];Yes[62];No[63];No;
IBM Public License;Yes;No;Yes;Yes;Yes;
Intel Open Source License;Yes;Yes;Yes;No;No;
ISC license;Yes[64];Yes;Yes;Yes;Yes;
LaTeX Project Public License;Yes;No;Yes;Yes;Yes;
Microsoft Public License;Yes;No;Yes;No;Yes;
Microsoft Reciprocal License;Yes;No;Yes;No;Yes;
MIT license / X11 license;Yes;Yes;Yes;Yes;Yes;
Mozilla Public License 1.1;Yes;No;Yes;Yes;Yes;
Mozilla Public License 2.0;Yes;Yes[note 4][65];Yes;Yes;Yes;
NASA Open Source Agreement;No;No;Yes;?;No;
Netscape Public License;Yes;No;No;No;Yes;
Open Software License;Yes;No;Yes;No;Yes;
OpenSSL license;Yes;No;No;Yes;Yes;
PHP License;Yes;No;Yes;Yes;Yes;
Python Software Foundation License 2.0.1; 2.1.1 and newer;Yes;Yes;Yes;Yes;Yes;
Q Public License;Yes;No;Yes;No;Yes;
Reciprocal Public License 1.5;No;No;Yes;No;No;
Sleepycat License;Yes;Yes;Yes;Yes;Yes;
Sun Industry Standards Source License;Yes;No;Yes;No;Yes;
Sun Public License;Yes;No;Yes;No;Yes;
Sybase Open Watcom Public License;No;No;Yes;No;No;
Unlicense;Yes[66];Yes[52];while considered free not recommended[67];?;Yes[56];
W3C Software Notice and License;Yes;Yes;Yes;Yes;Yes;
Do What The Fuck You Want To Public License (WTFPL);Yes[note 5];Yes;No[68];Yes;Yes;
XFree86 1.1 License;Yes;Yes[69];No;No;No;
zlib/libpng license;Yes;Yes;Yes;Yes;Yes;
Zope Public License 1.0;Yes;No;No;No;Yes;
Zope Public License 2.0;Yes;Yes;Yes;No;Yes;
