Name;Operating system;Vendor;Online storage;Remote desktop;Prior file versions, revision control;Comments;Portable;Detect rename;Detect move;Scheduling;Full duplex transfer;
Microsoft ActiveSync;Windows;Microsoft;No;No;?;Syncs mobile devices;;;;;;
Resilio Sync;Windows, OS X, Linux, FreeBSD, Android, iOS;Resilio, Inc.;No;No;Yes (previous versions moved to archive folder);Distributed peer-to-peer sync;No;Yes;Yes;Pro only[19];Yes;
Briefcase (part of Windows);Windows;Microsoft;No;No;?;;;;;;;
Cobian Backup;Windows;CobianSoft;No;No;Yes, trash folder;Backup software with folder synchronization feature; remote management; Shadow Copy;No;No;No;Yes;;
Windows Mobile Device Center;Windows;Microsoft;No;No;?;Syncs mobile devices; successor to Microsoft ActiveSync;;;;;;
Microsoft Sync Framework;Windows;Microsoft;?;No;?;Syncs files, data, services; a framework, not a tool;;Yes;Yes;-;;
Microsoft SyncToy;Windows;Microsoft;No;No;No, recycle bin only;Sync local folders;No;Yes;Yes;via OS;No;
Windows Live Mesh (discontinued 13 February 2013);Windows (Vista and greater), Windows Mobile, OSX;Microsoft;Yes;Yes;No, recycle bin only;Sync folders, online storage;No;Yes;?;No, syncs whenever it is online;Yes;
OmniGroup OmniPresence;OSX, OmniGroup software for iOS, open source framework available;OmniGroup;No;No;No, via local Time Machine backup only;Sync local folders via OmniSync or WebDAV server but not to the server itself;No;?;?;No, syncs whenever it's online and not paused;Yes;
Windows Live Sync (discontinued 31 March 2011);Windows, OSX;Microsoft;No, browsing only;No;No, recycle bin only;Sync folders, browse devices from website, remote access; was Microsoft FolderShare, 20,000 file limit;No;Yes;Yes;No, syncs whenever it's online;?;
