Display technology;Screen shape;Largest known diagonal;Typical use;Usable in bright room;
(in);(cm);
Eidophor front projection;Flat;(limited only by brightness);TV;No;
Shadow mask CRT;Spherical curve or Flat;42[1];107;Computer monitor, TV;Yes;
Aperture grille CRT;Cylindrical curve or Flat;42[2];107;Computer monitor, TV;Yes;
Monochrome CRT;Spherical curve or Flat;30[3];76;Computer monitor, TV, Radar display, Oscilloscope;Yes;
Direct view Charactron CRT;Spherical curve;24;61;Computer monitor, Radar display;No;
CRT self-contained rear-projection;Flat lenticular;80[4];203;TV;Yes;
CRT front projection;Flat;(limited only by brightness);TV or presentation;No;
Plasma display panel (PDP);Flat;152[5];386;TV;Partial;
Direct view LCD;Flat;110[6];274;Computer monitor, TV;Yes;
LCD self-contained rear-projection;Flat lenticular;70[7];178;TV;Yes;
LCD front-projection;Flat;(limited only by brightness);TV or presentation;Yes;
DLP self-contained rear-projection;Flat lenticular;120[8];305;TV;Yes;
DLP front-projection;Flat;(limited only by brightness);TV or presentation;Yes;
LCoS self-contained rear-projection;Flat;110[9];279;TV;Yes;
LCoS front-projection;Flat;(limited only by brightness);TV or presentation;Yes;
Laser self-contained rear projection;Flat lenticular;75[10];191;TV;Yes;
LED;Flat;279.92[11];711;Billboards, TV;Yes;
SED;Flat;55[12];140;Computer monitor, TV;Yes;
FED;Flat;?;?;Computer monitor, TV;Yes;
EPD (e-paper);Flat (flexible);?;?;Electronic paper;Yes;
OLED;Curved or Flat (flexible)[13];77[14];195.58;Computer monitor, TV, Mobile phone;Yes;
'LED' LCD;Curved or Flat;80;203;TV, Computer monitor;Yes;
'QLED' LCD;Curved or Flat;80;203;TV, Computer monitor;Yes;
Telescopic pixel display;;;;;;
Ferroelectric LCD;;;;;;
'mLED' LED;Curved or Flat;??;??;Mobile phone, Wearable Electronics, VR Display;Yes;
QDLED[15][16][17][18];N/A;N/A;N/A;N/A;Yes;
IMOD;Flat;1.2[19];3;Mobile phone[20];Yes;
Laser Phosphor Display (LPD);Flat / Box;196;497.8;Presentation;Yes;
Virtual retinal display;Any shape;N/A;N/A;Experimental, possibly virtual reality;Depends on system;
