Name;Windows;Mac OS X;Linux;BSD;Unix;Android;iOS;
Atlantis;No;Yes;No;No;No;No;No;
Axmud;Yes;No;Yes;Yes;Yes;No;No;
BeipMU;Yes;No;No;No;No;No;No;
BioMUD;Yes;No;No;No;No;No;No;
BlowTorch;No;No;No;No;No;Yes;No;
CMUD;Yes;No;No;No;No;No;No;
GGMUD;Yes;Yes;Yes;Yes;Yes;No;No;
GMUD;Yes;No;No;No;No;No;No;
Gnome-Mud;No;No;Yes;No;No;No;No;
JamochaMUD;CPI;CPI;CPI;CPI;CPI;No;No;
KBtin;No;Yes;Yes;Yes;Yes;No;No;
KildClient;Yes;Yes;Yes;Yes;Yes;No;No;
KMuddy;No;Yes;Yes;Yes;No;No;No;
Lyntin;CPI;CPI;CPI;CPI;CPI;No;No;
mcl;No;No;Yes;No;No;No;No;
muby;No;CPI;CPI;CPI;CPI;No;No;
Mudlet;Yes;Yes;Yes;Yes;Yes;No;No;
MudMagic;Yes;Yes;Yes;Yes;Yes;No;No;
MUDRammer;No;No;No;No;No;No;Yes;
MUSHclient;Yes;No;No;No;No;No;No;
Portal;Yes;No;No;No;No;No;No;
Potato;CPI;CPI;CPI;CPI;CPI;No;No;
Powwow;Yes;Yes;Yes;Yes;Yes;No;No;
Pueblo/UE;Yes;No;No;No;No;No;No;
SimpleMU;Yes;No;No;No;No;No;No;
Soiled;CPI;CPI;CPI;CPI;CPI;No;No;
TinTin++;Yes;Yes;Yes;Yes;Yes;Yes;No;
TinyFugue;Yes;Yes;Yes;Yes;Yes;No;No;
Tortilla;Yes;No;No;No;No;No;No;
Trebuchet;CPI;CPI;CPI;CPI;CPI;No;No;
Wintin.Net;Yes;No;No;No;No;No;No;
zMUD;Yes;No;No;No;No;No;No;
