Model;Amazon Video;CinemaNow;Crackle;Flixster;Google Play;Hulu Plus;iTunes;Movies Anywhere;Netflix;Sling TV [8];Vevo;Vimeo;VUDU;WWE Network;YouTube;UltraFlix;
Amazon Fire TV;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;
Apple TV;Yes (3rd generation and later);No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;4th generation and later;Yes;with software version 7.2 and later;Yes (HD);
Asus Cube;Yes;No;No;No;Yes;No;No;?;Yes;No;No;No;No;No;Yes;No;
Google Chromecast/Nexus Player;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Hisense Pulse;No;No;Yes;Yes;Yes;No;No;?;Yes;No;No;No;Yes;No;Yes;Yes;
Little Smart Box;No;No;Yes;Yes;Yes;Yes;No;?;Yes;No;Yes;Yes;Yes;No;Yes;No;
Microsoft Xbox;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes[9];Yes;No;Yes;Yes;Yes;Yes;
NanoTech Nuvola;No;No;No;No;Yes;Yes;No;?;Yes;No;No;No;No;No;Yes;Yes;
Nintendo;Yes;No;No;No;No;Yes;No;?;Yes;No;No;No;No;No;Yes;No;
Roku | Roku Devices;Yes;Yes;Yes;Yes;Yes[10];Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
SHIELD Android TV;Yes;Yes;Yes;Yes[11];Yes;Yes;No;?;Yes;Yes;Yes;Yes;Yes;Yes[12];Yes;Yes;
Sony PlayStation;Yes;Yes;Yes;No;No;Yes;No;?;Yes;No;No;No;Yes;Yes;Yes;No;
Vizio Co-Star;Yes;No;Yes;No;No;LT only;No;?;Yes;No;No;No;Yes;No;Yes;Yes;
Western Digital WD TV;No;Yes;No;Yes;No;Yes;No;?;Live and Play versions;No;No;Yes;Yes;No;Yes;No;
