Graphics;Launch;Market;Processor;Code name;Device ID;Clock rate;Core config1;API support[59][12][31][47];eDRAM (MiB);Memory bandwidth (GB/s);
Min (MHz);Max (MHz);Direct3D;OpenGL;OpenCL;Vulkan;
HD Graphics 500;2016;??;Atom x5-E3930;Apollo Lake (Gen9LP);5A85;400;550;96:12:2;12;4.5Windows 4.5Linux ES 3.2Linux;1.2Windows 2.0Linux;1.1Windows 1.1Linux;-;68.2;
Atom x5-E3940;600;
Mobile;Celeron N3350;200;650;38.4;
Celeron N3450;700;
Desktop;Celeron J3355;250;700;
Celeron J3455;750;
HD Graphics 505;??;Atom x7-E3950;5A84;500;650;144:18:3;76.8;
Mobile;Pentium N4200;200;750;38.4;
Desktop;Pentium J4205;250;800;
HD Graphics 510;2015;Mobile;Celeron 3855U Celeron 3955U;Skylake (Gen9);1906;300;900;96:12:2 (GT1);12 FL12_1;4.5Windows 4.1macOS 4.5Linux ES 3.2Linux;2.0Windows 1.2macOS 2.0Linux;1.1Windows 1.1Linux;-;34.1;
Pentium 4405U;950;
Desktop;Celeron G3900TE Celeron G3900E Celeron G3900T Celeron G3900 Celeron G3902E Celeron G3920 Pentium G4400TE Pentium G4400T Core i5-6402P;1902;350;
Pentium G4400;1000;
Core i3-6098P;1050;
HD Graphics 515;Mobile;Pentium 4405Y;191E;300;800;192:24:3 (GT2);29.8;
Core m3-6Y30;850;
Core m5-6Y54 Core m5-6Y57;900;
Core m7-6Y75;1000;
HD Graphics 520;Mobile;Core i3-6006U;1916;900;34.1;
Core i3-6100U Core i5-6200U Core i5-6300U;1000;
Core i7-6500U Core i7-6600U;1050;
HD Graphics 530;Mobile;Core i3-6100H;191B;350;900;
Core i3-6100E Core i3-6102E Core i5-6300HQ Core i5-6440HQ;950;
Core i5-6440EQ Core i5-6442EQ Core i7-6820EQ Core i7-6822EQ;1000;
Core i7-6700HQ Core i7-6820HK Core i7-6820HQ Core i7-6920HQ;1050;
Desktop;Pentium G4500T Core i3-6100T Core i3-6300T Core i5-6400T Core i5-6400;1912;950;
Core i3-6100TE Core i5-6500TE Core i7-6700TE Core i7-6700T;1000;
Pentium G4500 Pentium G4520 Core i3-6100 Core i5-6500;1050;
Core i5-6500T Core i5-6600T Core i7-6700;1100;
Core i3-6300 Core i3-6320 Core i5-6600 Core i5-6600K Core i7-6700K;1150;
HD Graphics P530;Workstation;Xeon E3-1268L v5;191D;1000;
Mobile Workstation;Xeon E3-1505L v5;
Xeon E3-1505M v5 Xeon E3-1535M v5;1050;
Workstation;Xeon E3-1225 v5;400;1150;
Xeon E3-1235L v5;?;
Xeon E3-1245 v5 Xeon E3-1275 v5;1150;
Iris Graphics 540;Mobile;Core i5-6260U;1926;300;950;384:48:6 (GT3);64;
Core i5-6360U;1000;
Core i7-6560U Core i7-6650U Core i7-6660U;1050;
Iris Graphics 550;Mobile;Core i3-6157U Core i3-6167U;1927;1000;
Core i5-6267U;1050;
Core i5-6287U Core i7-6567U;1100;
Iris Pro Graphics P555;2016;Workstation;Xeon E3-1558L v5;192D;650;1000;128;
Iris Pro Graphics 580;Mobile;Core i5-6350HQ;193B;350;900;576:72:9 (GT4);
Core i7-6770HQ;950;
Core i7-6870HQ;1000;
Core i7-6970HQ;1050;
Desktop;Core i5-6585R;1100;
Core i5-6685R Core i7-6785R;1150;
Iris Pro Graphics P580;Workstation;Xeon E3-1578L v5;193D;700;1000;
Mobile Workstation;Xeon E3-1515M v5;350;
Xeon E3-1545M v5;1050;
Xeon E3-1575M v5;1100;
Workstation;Xeon E3-1565L v5;193A;1050;
Xeon E3-1585L v5 Xeon E3-1585 v5;1150;
UHD Graphics 600;2017;Mobile;Celeron N4000;Gemini Lake (Gen9LP);3185;200;650;96:12:2;12;4.5Windows 4.5Linux ES 3.2Linux;1.2Windows 2.0Linux;1.1Windows 1.1Linux;-;38.4;
Celeron N4100;700;
Desktop;Celeron J4005;250;700;
Celeron J4105;750;
UHD Graphics 605;Mobile;Pentium Silver N5000;3184;200;750;144:18:3;38.4;
Desktop;Pentium Silver J5005;250;800;
HD Graphics 610;2017;Mobile;Celeron 3865U Celeron 3965U;Kaby Lake (Gen9p5);5906;300;900;96:12:2 (GT1);12 FL12_1;4.5Windows 4.1macOS 4.5Linux ES 3.2Linux;2.1Windows 1.2macOS 2.0Linux;1.1Windows 1.1Linux;-;34.1;
