;Trident;Tasman;Gecko;WebKit;KHTML;Presto;
Interface NodeIterator;
root;DOM2;No;?;1.9.1;?;?;1.0;
whatToShow;?;?;?;
filter;?;?;?;
expandEntityReferences;?;?;?;
nextNode();Yes;?;?;?;2.0;
previousNode();?;?;?;
detach();No;?;?;?;1.0;
Interface NodeFilter;
acceptNode();DOM2;No;?;1.0;?;?;1.0;
Interface TreeWalker;
root;DOM2;No;?;1.0;?;?;1.0;
whatToShow;?;?;?;
filter;?;?;?;
expandEntityReferences;?;?;?;
currentNode;?;?;?;
parentNode();?;?;?;
firstChild();?;?;?;
lastChild();?;?;?;
previousSibling();?;?;?;
nextSibling();?;?;?;
previousNode();?;?;?;
nextNode();?;?;?;
Interface DocumentTraversal;
createNodeIterator();DOM2;No;?;1.9.1;?;?;1.0;
createTreeWalker();?;1.0;?;?;
