Name;C#;Client-Specific;Lua;Perl;Python;Ruby;TINTIN;VB.NET;Tcl;PHP;JScript;
Atlantis;No;Yes;Yes;Yes;No;No;No;No;No;No;No;
Axmud;No;Yes;No;Yes;No;No;No;No;No;No;No;
BeipMU;WSH;No;No;WSH;WSH;WSH;No;WSH;No;No;WSH;
BioMUD;No;Yes;Yes;No;No;No;No;No;No;No;No;
BlowTorch;No;Minimal;Yes;No;No;No;No;No;No;No;No;
CMUD;WSH;No;Yes;WSH;WSH;WSH;Yes;WSH;No;No;WSH;
GGMUD;No;No;Yes;No;No;No;Yes;No;No;No;No;
GMUD;No;Minimal;No;No;No;No;No;No;No;No;No;
Gnome-Mud;No;No;No;No;Yes;No;No;No;No;No;No;
JamochaMUD;No;Minimal;No;No;No;No;No;No;No;No;No;
KBtin;No;No;CLI;CLI;CLI;CLI;Yes;No;CLI;CLI;No;
KildClient;No;No;No;Yes;No;No;No;No;No;No;No;
KMuddy;No;Minimal;Yes;Yes;Yes;Yes;No;No;No;Yes;No;
Lyntin;No;No;No;No;Yes;No;Yes;No;No;No;No;
mcl;No;Yes;No;No;No;No;No;No;No;No;No;
muby;No;No;No;No;No;Yes;No;No;No;No;No;
Mudlet;No;No;Yes;No;No;No;No;No;No;No;No;
MudMagic;No;No;No;Yes;Yes;No;No;No;No;No;No;
MUSHclient;No;No;Yes;Yes;Yes;Minimal;No;Yes;Yes;Yes;Yes;
Portal;No;Yes;No;No;No;No;No;No;No;No;No;
Potato;No;Yes;No;No;No;No;No;No;Yes;No;No;
Powwow;No;Yes;No;No;No;No;No;No;No;No;No;
Pueblo/UE;No;No;No;No;No;No;Yes;No;No;No;No;
SimpleMU;No;No;No;No;No;No;No;No;No;No;No;
Soiled;No;No;No;No;No;No;No;No;No;No;No;
TinTin++;No;No;CLI;CLI;CLI;CLI;Yes;No;CLI;CLI;No;
TinyFugue;No;Yes;No;No;No;No;No;No;No;No;No;
Tortilla;No;No;Yes;No;No;No;Yes;No;No;No;No;
Trebuchet;No;No;No;No;No;No;No;No;Yes;No;No;
Wintin.Net;Yes;No;No;No;No;No;Yes;Yes;No;No;No;
zMUD;WSH;No;No;WSH;WSH;WSH;Yes;WSH;No;No;WSH;
