System;Documentation integration/generation, reporting;Test planning integration;Customizable workflow;Unicode support;Custom fields;SLA[4];Plugin API[5];Multiple projects;Full-text search;Indexed full-text search;Indexed file search;
Apache Bloodhound;Yes, integrated wiki;Yes;Yes;Yes;Yes;No;Yes;Yes (as of 0.6);Yes;Yes[6] uses Whoosh;No;
Assembla Tickets;Yes, Wiki syntax, email notification, linking to Subversion commits, document manager, charts, reports, notifications;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Unknown;No;
Axosoft;Yes, Team Wiki, Burndown, GitHub and TortoiseSVN integration, dashboards, custom reports for OnPremises, e-mail notifications and alerts, customer portal, RSS;No;Yes;Yes;Yes;Yes;Yes;Yes;;;;
Bugzilla;Yes, reporting: integrated reports and charts, scheduled reports by mail;Yes[7];Yes;Yes;Yes;No;Yes;Yes;Yes[8];Yes When using MySQL MyISAM[9] or Oracle Database[10] but not PostgreSQL[11];;
Debbugs;No;No;No;Yes;No;No;No;Unknown;;;No;
Faveo Helpdesk;Yes, Integrated Social Media, In-built Knowledge Base and Reporting;No;Yes;Yes;Yes;Yes;Yes;N/A;Yes;No;No;
FogBugz;Yes, Integrated wiki;No;Yes;Yes;Yes;No;Yes[12];Yes;Yes[13];Yes[14];No[15];
Fossil;Yes, Integrated Wiki in addition to integrated versioned project documentation via web ui.;No;No;No;Yes;No;No;Yes[16];No[17];No;;
FusionForge;Yes, integrated Mediawiki, discussion forums, news blogs, email integration, export to CSV, reporting graphs;No;Yes;Yes;Yes;No;Yes;Yes;Yes;;;
GLPI;Yes, Contains a proprietary knowledge base of sorts;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
GNATS;No;No;No;No;No;No;No;Unknown;;;;
HP Quality Center;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;No;No;
IBM Rational ClearQuest;Yes, reporting: integrated charts and interface to Crystal Reports;Yes;Yes;Yes;Yes;No;Yes;Yes;Optional[18];Optional uses Solr and Lucene;;
IBM Rational Team Concert;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;;;
Jira;Yes, Dashboard with reporting widgets (Open Social) Excel, Word, customizable charts, Confluence (Enterprise wiki);Yes[19];Yes;Yes;Yes;Yes;Yes[20];Yes;Yes[21];Yes Uses Lucene[21];Optional[22];
Liberum Help Desk;No;No;No;No;No;No;No;Unknown;;;;
MantisBT;Yes, Integration of MediaWiki, DokuWiki, XWiki;No;Yes;Yes;Yes;No;Yes;Yes;Yes[23];Yes;No[24];
Microsoft Dynamics CRM;Yes, reporting: integrated charts and reports, export to Excel, Mail Merge;No;Yes;Yes;Yes;No;Yes;Unknown;;;;
org-mode;Yes, org-mode has built-in export to HTML, Latex, .md and literate programming capabilities for multiple languages in a single document;No;Yes;Yes;Yes;No;No;Yes;Yes;;;
OTRS;Yes, Advanced reporting, configurable dashboards;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;
Phabricator;Yes, integrated wiki and limited burn down charts;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;
Pivotal Tracker;Yes, real time collaborative story backlog, integrated reports, email notification;Yes;No;Yes;No;No;Yes;Yes;;;;
Redmine;Yes, integrated wiki, discussion forums, news blogs, email integration, calendars, Gantt Charts, RSS, export to PDF, export to Excel/CSV;Yes[25];Yes;Yes;Yes;Optional[26];Yes;Yes;Yes[27];Optional, when using PostgreSQL[28];Optional[29];
Request Tracker;Yes, MediaWiki[30];No;Yes;Yes;Yes;Yes[31];Yes[32];Yes;Yes[33];Yes[33];;
Roundup;Yes, wiki can be integrated or linked;No;Yes;Yes;Yes;No;Yes[34];Yes;Yes[35];Yes with issues[36];Yes;
StarTeam;No;Yes[37];Yes;No;Yes;No;No;Unknown;;;;
Supportworks;Yes - Integrated reporting wizard, customizable PHP reporting tool, dashboard, optional interface with Crystal Reports, export to Microsoft Excel/CSV, knowledge base, optional asset management tool;No;Yes;No;Yes;Yes;Yes[38];Unknown;;;;
SysAid;Yes - LDAP/Email/Calendar integration, integrated Asset Management, integrated reporting, SSO, custom fields, export to CSV/PDF, KB;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;No;
Team Foundation Server;Yes - workflow definitions, process documentation;Yes;Yes;Yes;Yes;No;Yes;Yes;;;;
