Client;Y!M;AIM/ICQ[a][b][c];XMPP[d];IRC;IBM Lotus Sametime;Novell GroupWise Messenger;Gadu-Gadu;QQ;Skype[a];MySpaceIM;SIP;Others;
Adium;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial[e];Yes;No;MobileMe, NateOn, Steam IM, Telegram, Tox, Zephyr;
AIM;No;Yes[f];No;No;No;No;No;No;No;No;No;No;
AstraChat;No;No;Yes;No;No;No;No;No;No;No;No;No;
Ayttm;Yes;Partial;Yes;Yes;No;No;No;No;No;No;No;No;
BitlBee;Yes;Yes;Yes;N/A[g];Depends[h];No;Depends[h];
Centericq;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;
climm;No;Yes[i];Partial;No;No;No;No;No;No;No;No;No;
eBuddy;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;No;
emesene;No;No;Yes;No;No;No;No;No;No;No;No;No;
Empathy;Depends[h];Yes;Yes;Depends[h];Yes;Depends[h];
Fire;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;
Ichat;Yes;yes/no[79];Yes;No;No;No;No;No;No;No;No;Bonjour;
IMVU;Yes;Yes;Yes;No;No;No;No;No;No;No;No;IMVU;
Instantbird;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Netsoul;
Jitsi;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;ippi, iptel.org, google talk;
Kadu;No;No;Yes;No;No;No;Yes;No;No;No;No;No;
KDE Telepathy;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;No;Telegram;
Kopete;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial[e];No;No;SILC, WinPopup;
Messages;Yes;Yes[f];Yes;No;No;No;No;No;No;No;No;MobileMe;
Miranda IM;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes[j];Yes;Yes;No;?;
naim;No;Yes;No;Yes;No;No;No;No;No;No;No;Lily;
Nimbuzz;Yes;No;Yes;?;?;?;?;?;?;No;Yes;Twitter, Facebook chat, Google Talk;
Palringo;Yes;Yes;Yes;No;No;No;Yes;No;?;?;No;?;
Paltalk;Yes;Yes;No;No;No;No;No;No;?;?;No;?;
Pidgin;Plug-in;Yes[k];Yes;Yes;Yes;Yes;Yes;Plug-in;Plug-in;Plug-in;Plug-in[80];Bonjour, Facebook plugin, SIMPLE, Zephyr;
QIP;No;Yes;Yes;Yes;No;No;No;No;No;Yes;No;MRA, XIMSS;
QuteCom;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;No;
Ring;No;No;No;No;No;No;No;No;No;No;Yes;Ring;
Spark (XMPP client);No;No;Yes;No;No;No;No;No;No;No;Yes[j];No;
Tencent QQ;No;No;No;No;No;No;No;Yes;No;No;No;No;
Tkabber;No;No;Yes;No;No;No;No;No;No;No;No;No;
Trillian;No[81];Yes;Yes;Yes[l];No;Yes[l];Yes[j][l];Yes[j][l];No[82][l];Yes;No;LinkedIn,[l] Foursquare,[l] ASTRA, VZ[l];
Yahoo! Messenger;Partial[m];Yes;No;No;No;Yes;No;No;No;No;No;No;
Upptalk;No;No;Yes;No;No;No;No;No;No;No;No;No;
Xabber;No;No;Yes;No;No;No;No;No;No;No;No;No;
;Y!M;AIM/ICQ;XMPP;IRC;IBM Lotus Sametime;Novell GroupWise Messenger;Gadu-Gadu;QQ;Skype;MySpaceIM;SIP;Others;
