Meaning;Portuguese;Spanish < Arabic;
stonemason;pedreiro < pedra < Lat. petra;albañil < al-bann?;
mayor;presidente da câmara (Portugal), prefeito (Brazil): < presidir < Lat. praesid?re; < Lat. camera; < Lat. praefectus;alcalde < al-q???;
monkey, macaque;macaco < Uncertain, maybe Bantu makaku;mono < ????? (maym?n);
aloe;aloé < Lat. aloe;sábila, acíbar, zábila < Hisp.-Ar. a??ibr, ?abb?ra, ?ábbira < ?ábir (Spanish also has aloe);
blackbird, thrush;melro, tordo < Lat. mer?lus, < Lat. turdus;zorzal < zurzál < zurz?r[14] (Spanish also has mirlo);
cruet (set);galheteira(s) < Fr. gallette (< Gaulish gallos) + Port. suffix -eira;alcuza < al-k?za (< Aram. k?z[?] < Pers. kuze)[15];
gannet;mergulhão < Vulg.Lat. merguli?re < mergulus;alcatraz < Hisp.-Ar. *qa?r?s[16] or qa???s[17] (Spanish also has somormujo, somorgujo);
bishop (chess);bispo < Lat. episcopus;alfil < al-f?l 'elephant';
potter;oleiro < Lat. oll?rius;alcaller, alfarero < Hisp-Ar. alqallál,[18] alfa???r < ?? ???[19];
fuss, overreaction;gritaria, confusão < Lat. critare, < Lat. confusionis;alharaca < Hisp-Ar. al?aráka < ?arakah[20];
sparrowhawk, shabby, pen-pusher;falcão-peregrino, pelintra, lacaio < Lat. falco + peregrinus, < Uncertain origin, < Fr. laquai;tagarote < Berber táhért or maybe < Ar. táhurtí;
cork oak;sobreiro < Lat. (quercus) suber;alcornoque < Hisp.-Ar alqurnúq < Lat. quernus + Hisp suffix occus;
cobble (stone);paralelo < Gr. ????????????????;adoquín < addukkín < ???? (dukk?n);
defence (player);defesa (jogador) < Lat. defensa;zaguero < sáqa, < s?qah (Sp. also has defensa (jugador));
epilepsy, apoplexy;epilepsia, apoplexia < Lat. < Gr. epileps?a < ????????, < Lat. < Gr. apoplex?a < ?????????;alferecía < Hisp-Ar. alfali?íyya[21];
sales tax;imposto de venda < Lat. impon?re + venditus;alcabala < Hisp.-Ar. alqabála;
flight attendant;hospedeira < Lat. hospitem (+ Port. -eira);azafata < as-sáfat (Latin-American Spanish tends to use auxiliar de vuelo);
indigo;índigo < Lat. indicum;añil < Hisp.-Ar. an-Nile;
lavender;lavanda < Lat. lavandula;alhucema < Ar. ?????????? al-?uz?m?[22];
sill, parapet (i.e. window);parapeito < Gr. + Lat. para + pectus;alféizar < Hisp.-Ar. al?áyza < Ar. ??'izah[23];
lad, youth;rapaz, jovem < Lat. rapax, juvene;zagal < Hisp.-Ar. za?ál < zu?l?l (Sp. also has joven);
munchkin, wimp, caramel bar;monstrinho, frouxo, caramelo < Lat., *Uncertain probably Lat. monstrum, fluxus, *cannamellis;alfeñique < Hisp.-Ar.fa[y]níd[24];
myrtle;murta, mirto < Lat. myrtus < Gr. ??????;arrayán < Ar. ar-rayhan (Sp. also has 'mirto');
rental;aluguel/aluguer, locação, renda < Lat. locar?um, locatio, Lat. rendita, reddere;alquiler < kira;
beach, boulevard;areal, passeio < Lat. ar?n?le, passus;rambla < ramla[25];
flip-flops, slippers;chinelo < Ita. pianella < Lat. planus;chanclas < late Lat. zanca < Persian zanga;
drunk;bêbedo < Lat bibutus;borracho < Cat. morratxa[26] < al-mi?rášš;
farmstead;casal < Lat. casa;alquería < Hisp.-Ar. alqaríyya < qaryah;
gazpacho (soup);gaspacho < Sp. gazpacho;gazpacho < Hisp.-Ar. gazpá?o < Gr. ????????????;
cupboard, pantry;armário < Lat. armarium;alacena < al?azána, < ?iz?nah [27] (Sp. also has armario);
sewer;esgoto < Lat. es + g?tta;alcantarilla < al-qantarah;
floorcloth;pano de chão < Lat. pannus + de + planus;aljofifa < al?affífa[28];
amount;montante, valor < Lat. montare, valoris;cifra < sifr (Port. also has Cifra);
oil;óleo < Lat. oleum (Port. azeite is exclusively 'olive oil'.);aceite < az-zait (Sp. óleo is 'oil painting');
melissa (herb);erva-cidreira, melissa < Lat. herba + citrea, < Gr. mélissa;toronjil < turun?án < turun??n [29] (Sp. also has melisa);
plug;tomada, encaixe < Uncertain origin, < Lat. in + capsa;enchufe < Hisp.-Ar.guf < Ar.gawf;
basil;manjericão, basílico < Uncertain origin, maybe a combination of Por. manjar and < Lat. basilicon, < Lat. basilicum;albahaca < al-habaqa;
yellow glandweed;erva-peganhenta < Lat. herba + picare;algarabía (pegajosa) < Hisp-Ar.al‘arabíyya + Lat. picare;
sir, lord;senhor < Lat. seniorem;Cid < sidi or sayyid (???)[30], ref. to the historical hero El Cid (the common noun in Sp. is señor);
mullah;mulá < Eng. mullah;ulema < fr. uléma <ar. clas. ulam??', pl. of ?lim 'wise[31];
gambler, cheat;jogatana, batoteiro < Lat. jocus, < Latinised < Celt. battu?re < bathu;tahúr, tafur ant. < -Ar. takf?r < Arm. T'agawor[32];
pea;ervilha < Lat. ervilia;guisante < Hisp.-Ar. biššáu? < Lat. pisum sapidum;
mackerel;cavala < Celt. caballos;jurel < Hisp.-Ar. šuríl, < Lat. saurus, < Gr. ??????;
