Processor;Series Nomenclature;Code Name;Production Date;Supported Features (Instruction Set);Clock Rate;Socket;Fabrication;TDP;Number of Cores;Bus Speed;L1 Cache;L2 Cache;L3 Cache;Overclock Capable;
4004;;;Nov. 15,1971;;740 kHz;DIP;10-micron;;1;N/A;N/A;N/A;
8008;N/A;N/A;April 1972;N/A;200 kHz - 800 kHz;DIP;10-micron;;1;200 kHz;N/A;N/A;N/A;;
8080;N/A;N/A;April 1974;N/A;2 MHz - 3.125 MHz;DIP;6-micron;;1;2 MHz;N/A;N/A;N/A;;
8085;N/A;N/A;March 1976;N/A;3 MHz, 5 MHz, 6 MHz;DIP;3-micron;;1;2 MHz;N/A;N/A;N/A;;
8086;N/A;N/A;June 8, 1978;N/A;10 MHz, 8 MHz, 4.77 MHz;DIP;3-micron;;1;10 MHz, 8 MHz, 4.77 MHz;N/A;N/A;N/A;;
8088;N/A;N/A;June 1979;N/A;8 MHz, 4.77 MHz;DIP;3-micron;;1;8 MHz, 4.77 MHz;N/A;N/A;N/A;;
80286;N/A;N/A;Feb. 1982;N/A;12 MHz, 10 MHz, 6 MHz;DLPP;1.5-micron;;1;12 MHz, 10 MHz, 6 MHz;N/A;N/A;N/A;;
i80386;DX, SX, SL;N/A;1985 - 1990;N/A;33 MHz, 25 MHz, 20 MHz, 16 MHz;DLPP;1 - 1.5-micron;;1;33 MHz, 25 MHz, 20 MHz, 16 MHz;N/A;N/A;N/A;;
i80486;DX, SX, DX2, DX4, SL;N/A;1989 - 1992;N/A;25 MHz - 100 MHz;Socket 1, Socket 2, Socket 3;1 - 0.6-micron;;1;25 MHz - 50 MHz;8 KiB - 16 KiB;N/A;N/A;;
Intel Pentium;N/A;P5, P54C, P54CTB, P54CS;1993 - 1999;;65 MHz - 250 MHz;Socket 2, Socket 3, Socket 4, Socket 5, Socket 7;800 nm - 350 nm;Unknown;1;50 MHz - 66 MHz;16 KiB;N/A;N/A;;
Intel Pentium MMX;N/A;P55C, Tillamook;1996 - 1999;;120 MHz - 300 MHz;Socket 7;350 nm - 250 nm;Unknown;1;60 MHz - 66 MHz;32 KiB;N/A;N/A;;
Intel Atom;Z5xx, Z6xx, N2xx, 2xx, 3xx, N4xx, D4xx, D5xx, N5xx, D2xxx, N2xxx;Diamondville, Pineview, Silverthorne, Lincroft, Cedarview, Medfield, Clover Trail;2008 - 2009 (as Centrino Atom) 2008–present (as Atom);;800 MHz - 2.13 GHz;Socket PBGA437, Socket PBGA441, Socket micro-FCBGA8 559;32 nm, 45 nm;0.65 W - 13 W;1, 2 or 4;400 MHz, 533 MHz, 667 MHz, 2.5 GT/s;56 KiB per core;512 KiB - 1 MiB;N/A;;
