Name;floppy;ISO;folders on host;physical disk / device;raw / flat (whole disk);raw / flat (partition);hdd (Parallels);QCOW (QEMU);QCOW2 (QEMU);QED (QEMU);VDI (VirtualBox);VHD (Connectix Virtual PC);VHDX (Hyper-V);VMDK (VMware);
Bochs[19];Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;v3, v4;
Containers, or Zones;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Cooperative Linux (coLinux);?;?;?;?;?;?;?;?;?;?;?;?;?;?;
CHARON;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Denali;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
DOSBox;Yes;Yes;Yes;?;Yes;?;No;No;DOSBox-X fork;No;No;No;No;No;
DOSEMU;?;?;Yes;?;?;?;?;?;?;?;?;?;?;?;
FreeBSD Jail;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;
GXemul;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Hercules;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Hyper-V (2008 R2);?;Yes;?;Yes;?;?;?;?;?;?;No;Yes;No;No;
Hyper-V (2012);?;Yes;?;Yes;?;?;?;?;?;?;No;Yes;Yes;No;
Hyper-V (2012 R2);Yes;Yes;?;Yes;?;?;?;?;?;?;No;Yes;Yes;No;
iCore Virtual Accounts;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Integrity Virtual Machines;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
JPC (Virtual Machine);Yes;Yes;Yes;?;Yes;?;?;?;?;?;?;?;?;?;
KVM;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;Yes;
Linux-VServer;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
LynxSecure;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
LXC;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
OpenVZ;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Oracle VM Server for x86;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Oracle VM Server for SPARC (LDoms);?;?;?;?;?;?;?;?;?;?;?;?;?;?;
OVPsim;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Parallels Desktop for Mac;?;?;?;?;?;?;Yes;?;?;?;?;?;?;?;
Parallels Workstation;?;?;?;?;?;?;Yes;?;?;?;?;?;?;?;
PearPC;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;
PikeOS;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
PowerVM;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
QEMU;?;?;?;?;Yes;Yes;?;Yes;Yes;?;?;?;?;?;
QEMU w/ kqemu module;?;?;?;?;?;?;?;Yes;No;No;?;?;?;?;
QEMU w/ qvm86 module;?;?;?;Yes;Yes;?;?;Yes;Yes;?;?;?;?;Yes;
QuickTransit;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
ScaleMP vSMP Foundation;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
SIMH;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Simics;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Sun xVM Server;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
SVISTA 2004;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
TRANGO;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
User Mode Linux;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
VirtualBox;Yes;Yes;No;Yes[20];Yes[20];Yes[20];up to v2;Yes;read-only;Yes;Yes;Yes;Can read existing disks, but not create new disks.;Yes;
Virtual Iron 3.1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Virtual PC 2007;Yes;Yes;?;?;?;?;No;No;No;No;No;Yes;No;No;
Windows Virtual PC;Yes;Yes;?;?;?;?;No;No;No;No;No;Yes;Yes;No;
Virtual PC 7 for Mac;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;
VirtualLogix VLX;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Virtual Server 2005 R2;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Synopsys (CoWare) Virtual Platform;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Virtuozzo;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
VMware ESX Server;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
VMware ESXi;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;
VMware Fusion;?;Yes;?;?;?;?;?;?;?;?;?;?;?;Yes;
VMware Server;?;?;?;?;?;?;?;?;?;?;?;?;?;Yes;
VMware Workstation;Yes;Yes;?;Yes;?;?;?;?;?;?;?;?;?;Yes;
VMware Player;?;?;?;?;?;?;?;?;?;?;?;?;?;Yes;
Wind River Hypervisor;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Wind River VxWorks MILS Platform;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Xen;Yes;Yes;?;Yes;Yes[21];?;?;Yes[21];?;?;?;Yes[21];?;?;
XenServer;Yes;Yes;?;Yes;Yes[21];?;?;Yes[21];?;?;?;Yes[21];?;?;
XtratuM;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
z/VM;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
z LPARs;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Name;floppy;ISO;folders on host;physical disk / device;raw / flat (whole disk);raw / flat (partition);hdd (Parallels);QCOW (QEMU);QCOW2 (QEMU);QED (QEMU);VDI (VirtualBox);VHD (Connectix Virtual PC);VHDX (Hyper-V);VMDK (VMware);
