Software;Compare multiple files;Hash single file;Hash several files;Hash directories & sub-directories;exclude filter;Binary output;Bubble Babble output;Base64 output;Hexadecimal output;
AccuHash;?;?;?;?;?;?;?;?;?;
BeaverSFV;?;?;?;?;?;?;?;?;?;
CDCheck;Yes;Yes;?;Yes;?;?;?;?;Yes;
cfv;?;?;?;?;?;?;?;?;?;
Checksum Compare;Yes;Yes;Yes;Yes;?;No;No;No;Yes;
Checksums;No;Yes;No;No;No;No;No;No;Yes;
CHK;Yes;Yes;Yes;Yes;?;No;No;Yes;Yes;
cksum;?;Yes;Yes;No;?;No;No;No;No;
CyoHash;No;Yes;Yes;No;?;No;No;No;Yes;
Data Digester;Yes;Yes;Yes;Yes;?;Yes;No;Yes;Yes;
DeepDigest;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;
DySFV;Yes;Yes;?;Yes;?;No;No;No;No;
ExactFile;Yes;Yes;Yes;Yes;?;No;No;No;No;
eXpress CheckSum Calculator;?;?;?;?;?;?;?;?;?;
FastSum;Yes;Yes;Yes;Yes;?;No;No;No;Yes;
FCIV;Yes;Yes;Yes;Yes;?;No;No;Yes;Yes;
Febooti Hash & CRC;?;Yes;Yes;?;?;?;?;No;Yes;
FileVerifier++;Yes;Yes;Yes;Yes;?;No;No;Yes;Yes;
FlashSFV;?;?;?;?;?;?;?;?;?;
FSUM;?;?;?;?;?;?;?;?;?;
FSUM Frontend;Yes;Yes;Yes;Yes;?;No;Yes;Yes;Yes;
PowerShell's Get-FileHash;?;Yes;?;?;?;?;?;?;Yes;
Hashcalc;?;?;?;?;?;?;?;?;?;
HashCheck Shell Extension;?;Yes;Yes;Yes;?;?;?;?;?;
HashForm;?;Yes;Yes;Yes;?;No;No;No;Yes;
HashShell;Yes;Yes;Yes;Yes;?;No;No;No;Yes;
ilSFV;Yes;Yes;?;Yes;?;No;No;No;No;
Jacksum;?;?;?;?;?;?;?;?;?;
jdigest;?;?;?;?;?;?;?;?;?;
jHashCalc;?;?;?;?;?;?;?;?;?;
MD5 File Hasher;Yes;Yes;Yes;Yes;?;No;No;No;Yes;
MD5 & SHA Checksum Utility;No;Yes;Yes;Yes;?;No;No;No;No;
md5deep;Yes;Yes;?;Yes;?;No;No;No;Yes;
md5sum;Yes;Yes;Yes;No;?;No;No;No;Yes;
MD5summer;Yes;Yes;?;Yes;?;?;?;?;Yes;
MD5 Win Verifier;Yes;Yes;No;No;?;No;No;No;?;
QuickSFV;?;?;?;?;?;?;?;?;?;
PeaZip;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;
RapidCRC;Yes;Yes;?;Yes;?;No;No;No;Yes;
RekSFV;Yes;Yes;Yes;Yes;?;No;No;No;Yes;
RHash;?;Yes;Yes;No;?;No;No;No;No;
SafeFileManager;Yes;Yes;Yes;Yes;?;?;?;?;?;
Sigcheck;Yes;Yes;Yes;Yes;No;No;No;No;Yes;
SFV Checker;?;?;?;?;?;?;?;?;?;
sha1sum;Yes;Yes;Yes;No;?;No;No;No;Yes;
sha3sum;Yes;Yes;Yes;No;?;No;No;No;Yes;
SuperSFV;?;?;?;?;?;?;?;?;?;
TeraCopy;Yes;Yes;Yes;Yes;No;No;No;No;Yes;
Tom's Hash Explorer;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;
Toolsley Hash & Validate;?;Yes;?;No;?;No;No;No;Yes;
Total Commander;?;Yes;Yes;Yes;?;?;?;?;?;
WinHasher;Yes;Yes;?;No;?;No;Yes;Yes;Yes;
wxChecksums;Yes;Yes;?;Yes;Yes;No;No;No;Yes;
Software;Compare multiple files;Hash single file;Hash several files;Hash directories & sub-directories;exclude filter;Binary output;Bubble Babble output;Base64 output;Hexadecimal output;
