Software;ArXiv;CiteSeer;IEEE Xplore;PubMed;Other;
Aigaion;No;No;No;No;none;
Bebop;No;No;No;No;No;
BibBase;No;No;No;No;DBLP, Zotero, BibSonomy, Mendeley;
BibDesk;Yes;Yes;No;Yes;ACM portal, Jstor, DBLP, Google Scholar, Web of Science, any Z39.50 or Entrez, and others;
Biblioscape;No;No;No;Yes;Import from integrated web browser;
BibSonomy;Yes;Yes;Yes;Yes;various[38];
Bibus;No;No;No;Yes;none;
Bookends;Yes;No;No;Yes;Web of Science, Amazon, Google Scholar, Z39.50;
Citavi;Yes;Yes;Yes;Yes;WorldCat/OCLC, Ovid, EBSCO, ProQuest, Web of Science, Z39.50 (4500+ online resources), SRU. Further catalogs are added upon request. Browser plugins (Firefox, Chrome, Internet Explorer) support DOI lookup, ISBN lookup, PubMed ID lookup, PMCID lookup, arXiv ID lookup, COinS and import from Wikipedia.;
CiteULike;Yes;Yes;Yes;Yes;various [4];
colwiz;Yes;Yes;Yes;Yes;Over 30 repositories, Import from integrated web browser;
EndNote;Yes;No;Yes;Yes;various[39] any Z39.50;
F1000Workspace;Yes;Yes;Yes;Yes;Google scholar, Google Books, Amazon, Web of Science/Web of Knowledge, WorldCat/OCLC, Science Direct, JSTOR, Highwire, PMC Europe, ACMDigitalLibrary, Scopus, Wiley, NIHLibrary, voyager, PrimoLibweb, PubMedID/DOI/ISBN lookup and the majority of journal websites.;
JabRef;Yes;Yes;Yes;Yes;ACM Portal, CrossRef, DBLP, DOAJ, DOI, GVK, Google Scholar, INSPIRE-HEP, Medline, MathSciNet, SAO/NASA Astrophysics Data System, Springer, and zbMATH;
KBibTeX;Yes;Yes;Yes;Yes;BibSonomy, CiteBase, CSB, DBLP, Google Scholar, ScienceDirect, INSPIRE-HEP, Z MATH, Z39.50;
Mendeley;Yes;Yes;Yes;Yes;various [5];
Paperpile;Yes;No;No;Yes;Google Scholar;
Papers;Yes;Yes;Yes;Yes;ACM, ADS, Google Books, Google Scholar, JSTOR, MathSciNet, Project Muse, Scopus, Web of Science;
Pybliographer;No;No;No;Yes;none;
Qiqqa;Yes;No;Yes;Yes;GoogleScholar, JSTOR;
ReadCube;No;No;No;Yes;Microsoft Academic, Google Scholar;
refbase;Yes;No;No;Yes;DOI lookup;
RefDB;Yes;No;No;Yes;any Z39.50;
Reference Manager;No;No;No;Yes;various[40];
Referencer;?;?;?;?;?;
RefWorks;No;No;No;Yes;various;
SciRef;No;No;No;No;No;
Sente;Yes;Yes;Yes;Yes;Z39.50, SRU, Web of Knowledge;
Wikindx;No;No;No;Yes;via plug-ins;
WizFolio;Yes;No;Yes;Yes;various[41];
Zotero;Yes;Yes;Yes;Yes;various[42];
