Application;bin/cue;Apple disk image;img;ISO image;Nero CD image;Audio file/cue;
Alcohol 120%;Yes;No;No;Yes;Yes;No;
CDBurnerXP;Partial[1];No;No;Yes;Partial[1];Yes;
cdrtools;Yes;?;?;Yes;No;Yes;
DeepBurner;?;?;?;Yes;?;?;
ExpressBurn;No;No;No;Yes;No;No;
ImgBurn;Yes;No;Yes;Yes;Yes;Yes;
InfraRecorder;Yes;No;Yes;Yes;No;?;
K3b;Yes;?;?;Yes;Yes;Yes;
Nero Burning ROM;Yes;No;Partial;Yes;Yes;Yes;
UltraISO;Yes;Yes;Yes;Yes;Yes;Yes;
X-CD-Roast;?;?;?;Yes;?;?;
Application;bin/cue;Apple disk image;img;ISO image;Nero CD image;Audio file/cue;
