Format;Compression algorithm;Raster/ vector;Color depth;Indexed color;Transparency;Metadata;Interlacing;Multi-page;Animation;Layers;Color management;Extend­able;HDR format;
AI;Lossy and lossless;Both;1, 8, 24, and 32 (possibly with multiple palettes);Yes;Yes;Yes;No;Yes;No;Yes;Yes;Unknown;No;
BMP;None, RLE, JPEG, and PNG;Raster;1, 4, 8, 16, 24, 32, and 64;Yes;Yes;No;No;No;No;No;Yes;No;No;
BPG;HEVC, Lossy and lossless;Raster;8 to 14 bits per channel;No;Yes;Yes;No;No;Yes;Unknown;Yes;Unknown;Unknown;
CDR;Lossy and lossless;Both;1, 8, 24,and 32 (multiple palettes);Yes;Yes;Yes;No;Yes;No;Yes;Yes;Unknown;No;
CPC;CPC;Raster;1;No;No;Yes;No;Yes;No;No;No;Yes, via embedded dictionary;No;
EPS;None, LZW, DEFLATE, RLE, DCT;Both;Device specific;No;Yes;Yes;N/A;Yes;No;Yes;Yes;Yes;Yes;
EXR;None, RLE, ZIP, Piz, PXR24, and B44, B44A, DWAA, DWAB;Raster;16–128 (floating-point);No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;
Farbfeld;None;Raster;64 (16-bits-per-channel);No;Yes;No;No;No;No;No;No;No;No;
FLIF;Lossless, MANIAC entropy coding;Raster;1 to 16 bits per channel;Yes;Yes;Yes;Yes, Adam?;No;Yes;No;Yes;Yes, via chunks;Yes, with suitable color profile;
GIF;LZW;Raster;Indexed (1bpc to 8bpc) and grayscale (8bpc);Yes;Yes; 1bpp plane-only mask using color index;Yes;Yes;Yes;Yes;Yes;No;Yes (GIF89a);No;
HD Photo / JPEG XR;Lossy and lossless bi-orthogonal transform;Raster;1, 2, 8, 16, 24, 32, 48, 64, and 128 (floating-point);No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
ILBM;Optional run-length encoding;Raster;1, 2, 4, 8, 16, 32, 64, 64 EHB, 128, 256 (8-bit), 4,096 (HAM6 pseudo 12-bit), 4,096 pure 12-bit, 262, 144 (HAM8 pseudo 18-bit), and 24-bit;Yes;No;Yes;Yes;No;Yes, Palette-shifting;No;No;Yes;No;
IMA;Lossy and lossless original mutiresolution analysis transformation;Raster;8-bit, 16-bit integer, 32-bit floating-point;No;Yes;Yes;No;No;No;No;Yes;Yes;Yes;
JPEG;Lossy (and partly lossless), DCT, RLE, and Huffman predictive nearest neighbor;Raster;8-bit (greyscale), 12-bit, and 24-bit;No;No;Yes;Yes;No;No;No;Yes;No;No (see unofficial JPEG-HDR);
JPEG 2000;Lossy and lossless (DWT);Raster;8 and 16 (greyscale) with possibly color up to 48-bit;No;Yes;Yes;Yes;No;No;No;Yes;Unknown;No;
KRA;None;Both;grayscale, RGB, XYZ (8bpc, 16bpc, float16bpc, float32bpc), CMYK, L*a*b* and YCbCr (8bpc, 16bpc, float32bpc);No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;
ORA;Lossless;Both;1, 2, 4, 8, 16, 24, 32, 48, and 64;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;
PAM;None;Raster;Up to 16;No;Yes;Yes;No;Yes;No;No;No;Yes;No;
PCX;None, RLE;Raster;1, 2, 4, 8, 24 and 32;Yes;Yes;No;No;Yes;No;No;No;No;No;
PGF;Lossy and lossless (DWT);Raster;grayscale: 1, 8, 16, 31; RGB: 12, 16, 24, 32, and 48;Yes;Yes;Yes;Yes;No;No;No;No;Unknown;No;
PICT;None, RLE, and QuickTime;Both;1, 2, 4, 8, 16, 24, and 32;Yes;Yes;Yes;Unknown;No;No;No;Unknown;No?;No;
PLD;Optional ZIP, JPEG;Both;1, 4, 8, 16, 24, 32, 48, and 64;Unknown;Yes;Yes;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;
PNG;Lossless and DEFLATE;Raster;bitmap (1bpc), indexed (8bpc), grayscale and RGB (8bpc, 16bpc);Yes;Yes; indexed, grayscale and RGB;Yes;Yes, Adam7 algorithm;No;No (but see MNG and APNG);No;Yes;Yes, via chunks;No, see discussion;
PPM;None;Raster;Up to 16;No;No;Yes;No;Yes;No;No;No;No;No;
PSD and PSB;None and RLE;Both;bitmap (1bpc), duotone, indexed (8bpc), grayscale, RGB, CMYK, Lab and multichannel (8bpc, 16bpc, 32bpc);Yes;Yes; indexed, grayscale, RGB, CMYK and Lab;Yes;N/A;No;Yes;Yes;Yes;No?;Yes;
PSP;None;Both;1, 2, 8, 16, 24, 32, and 48;Yes;Yes; 8b and 16b per-pixel alpha channel;Yes;No;Unknown;No;Yes;Unknown;Unknown;No;
SVG;None and lossless gzip;Vector[9];RGB (8bpc);No;Yes;Yes;N/A;Yes (1.2 draft)[10];Yes (SMIL/SVG);Yes;Yes[11];Yes, XML based;N/A;
TGA;None, RLE, and other;Raster;1, 2, 4, 8, 16, 24, and 32;Yes;Yes;Yes;No;No;No;No;No;Unknown;No;
