Format;Languages;
string1 OP string2, where OP can be any of =, <>, <, >, <= and >=;Pascal, Object Pascal (Delphi), OCaml, Seed7, Standard ML, BASIC, VB, VB .NET, F#;
string1 OP string2, where OP can be any of =, /=, ?, <, >, <=, ? and ?; Also: EQ, NE, LT, LE, GE and GT;ALGOL 68;
(stringOP? string1 string2), where OP can be any of =, -ci=, <, -ci<, >, -ci>, <=, -ci<=, >= and -ci>= (operators starting with '-ci' are case-insensitive);Scheme;
(stringOP string1 string2), where OP can be any of =, -ci=, <>, -ci<>, <, -ci<, >, -ci>, <=, -ci<=, >= and -ci>= (operators starting with '-ci' are case-insensitive);Scheme (SRFI 13);
(stringOP string1 string2), where OP can be any of =, -equal, /=, -not-equal, <, -lessp, >, -greaterp, <=, -not-greaterp, >= and -not-lessp (the verbal operators are case-insensitive);Common Lisp;
(stringOP string1 string2), where OP can be any of =, /=, <, >, <=, and >=;ISLISP;
string1 OP string2, where OP can be any of =, \=, <, >, <= and >=;Rexx;
string1 OP string2, where OP can be any of =, ¬=, <, >, <=, >=, ¬< and ¬>;PL/I;
string1 OP string2, where OP can be any of =, /=, <, >, <= and >=;Ada;
string1 OP string2, where OP can be any of ==, /=, <, >, =< and >=;Erlang;
string1 OP string2, where OP can be any of ==, /=, <, >, <= and >=;Haskell;
string1 OP string2, where OP can be any of eq, ne, lt, gt, le and ge;Perl 5 / Perl 6;
string1 OP string2, where OP can be any of ==, !=, <, >, <= and >=;C++ (STL), C#, D, Go, JavaScript, Python, PHP, Ruby, Swift, Ya;
string1 OP string2, where OP can be any of -eq, -ceq, -ne, -cne, -lt, -clt, -gt, -cgt, -le, -cle, -ge, and -cge (operators starting with 'c' are case-sensitive);Windows PowerShell;
string1 OP string2, where OP can be any of ==, ~=, <, >, <= and >=;Lua;
string1 OP string2, where OP can be any of =, ~=, <, >, <= and >=;Smalltalk;
string1 OP string2, where OP can be any of ==, /=, <, >, <= and >=; Also: .EQ., .NE., .LT., .LE., .GT. and .GE.;Fortran.[7];
string1 OP string2 where OP can be any of =, <>, <, >, <=, >= as well as worded equivalents;COBOL;
string1 OP string2 where OP can be any of ==, <>, <, >, <= and >=;Cobra;
string1 OP string2 is available in the syntax, but means comparison of the pointers pointing to the strings, not of the string contents. Use the Compare (integer result) function.;C, Java;
