Client;CTCP;DCC;IPv6;SSL;TLS;DANE;OCSP;CRL;SASL;OTR;
Bersirc;?;Partial;No;No;?;?;?;?;?;No;
BitchX;Yes;Yes;Yes;Yes;Yes;?;?;?;?;No;
ChatZilla;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;script;No;
Colloquy;Yes;Yes;Yes;Yes;?;?;?;?;Yes;No[48];
degesch;Yes;Yes;Yes;No;Yes;?;?;?;?;No;
DMDirc;Yes;Yes;Yes;Yes;?;?;?;?;?;No;
ERC;Partial;Yes;Yes;Yes;Yes;?;?;?;Yes[Note 1];No;
HexChat;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes[Note 2];
HydraIRC;Yes;Yes;?;No;No;?;No;No;?;No;
IceChat;Yes;Yes;Yes;Yes;?;?;?;?;Yes;No;
ircII;Yes;Yes;Yes;Yes;?;?;?;?;?;No;
IRCjr;Yes;No;No;No;No;?;No;No;No;No;
Ircle;Yes;Yes;?;Yes;?;?;?;?;?;No;
Irssi;Yes;Yes;Yes;Yes;Yes;Yes;No;?;Yes;Yes[49][50][Note 2];
jIRCii;Yes;Yes;Yes;Yes;?;?;?;?;?;No;
KiwiIRC;Yes;No;Yes;Yes;Yes;?;No;No;Yes;No;
Konversation;Yes;Yes;Yes;Yes;Yes;?;?;?;Yes;No;
KVIrc;Yes;Yes;Yes;Yes;Yes;?;No;No;Yes;No;
LimeChat;?;Yes;Yes;Yes;?;?;?;?;Yes;No;
Linkinus;Yes;Yes;No;Yes;?;?;?;?;No;No;
Mibbit;?;Partial[Note 3][Note 4];No;Yes;?;?;?;?;Yes;No;
mIRC;Yes;Yes;Yes;Yes;Yes;?;?;?;Yes;No;
Nettalk;Yes;Yes;No;No;?;?;?;?;?;No;
Opera;Yes[51];Yes;Yes;Yes;Yes;?;?;?;?;No;
PIRCH;Yes;Yes;No;No;?;?;?;?;?;No;
PJIRC;?;Yes;No;No;?;?;?;?;?;No;
Quassel;Yes;No;Yes;Yes;Yes;?;No;No;Yes;No[52];
qwebirc;Yes;No;No;Yes;No;?;No;No;No;No;
rcirc;Partial;No;No;Yes;Yes;?;?;?;?;No;
Scrollback;Partial;No;Yes;Yes;?;?;?;?;No;No;
Smuxi;Yes;No;Yes;Yes;?;?;?;?;No;No[53];
Snak;Yes;Yes;Yes;Yes;?;?;?;?;?;No;
Visual IRC;Yes;Yes;No;No;?;?;?;?;?;No;
WeeChat;Yes;Yes;Yes;Yes;Yes;?;?;?;Yes;Yes[49][54][Note 2];
XChat;Yes;Yes;Partial[Note 4];Yes;?;No;?;?;script;Yes[49][50][Note 2];
Client;CTCP;DCC;IPv6;SSL;TLS;DANE;OCSP;CRL;SASL;OTR;
