Format;Languages;
name[first:last];ALGOL 68,[5] Julia;
name[first+(?len)-?IO];APL;
name[first:end:step];Python,[6][7] Go;
name[first..last];Pascal, Object Pascal, Delphi;
$name[first..last];Windows PowerShell;
@name[first..last];Perl[8];
name[first..last] name[first...end] name[first, len];Ruby[7];
name(first..last);Ada[5];
name(first:last);Fortran,[5][6] GNU Octave, MATLAB[5][8];
name[[first;;last;;step]];Mathematica,[5][6][7] Wolfram Language;
name[[first:last]];S-Lang[5][6][8];
name.[first..last];F#;
name.slice(first, end);Haxe, JavaScript, Scala;
name.slice(first, len);CFML;
array_slice(name, first, len);PHP[7];
(subseq name first end);Common Lisp;
(subseq name first end);ISLISP;
Array.sub name first len;OCaml;
[name subarrayWithRange:NSMakeRange(first, len)]   ;Objective-C (NSArray * only);
(first([+i.@(-~)end){name;J;
name[first..<end] name[first...last];Swift;
name copyFrom: first to:last name copyFrom: first count:len;Smalltalk;
name[first..end];D;
name[first..end] name[first..=last];Rust;
name[first:end];Cobra;
