Name;Frequency;Credit bureau;Full SSN required?;Scoring model;
AnnualCreditReport.com;Annual full official report (one from each agency) [3];Equifax, Experian, TransUnion[3];Yes[3];No score provided;
CreditCards.com by Bankrate;Monthly full report[4];TransUnion[4];Last 4 digits only;VantageScore 3.0[4];
Credit.com;Monthly summary[5];Experian[5];Yes[5];VantageScore 3.0[6], Experian's National Equivalency Score[5];
Credit Journey by Chase;Weekly summary[7];TransUnion[7];Yes[7];VantageScore 3.0[7];
Credit Karma;Weekly full reports[8];TransUnion, Equifax[8];Sometimes[9];VantageScore 3.0[6];
Credit Scorecard by Discover;Monthly summary[10];Experian;Yes[10];FICO 8[10];
Credit Sesame;Monthly summary[11];TransUnion[11];Last 4 digits only[11];VantageScore 3.0[11];
CreditWise by Capital One;Weekly full report[12];TransUnion[12];Yes[12];VantageScore 3.0[12];
CreditWorks Basic by Experian;Monthly full report[13];Experian;Last 4 digits only[13];FICO 8[13];
LendingTree;Monthly summary[14];TransUnion[14];Last 4 digits only[14];VantageScore 3.0[6];
Mint by Intuit;Monthly summary[15];TransUnion[15];Yes[15];VantageScore 3.0[16];
MoneyLion;Monthly summary[17];TransUnion[14];Yes[14];VantageScore 3.0[6];
myBankrate;Monthly full report[18];TransUnion[18];Last 4 digits only;VantageScore 3.0[18];
MyCredit Guide by American Express;Weekly full report[19];TransUnion[19];Last 4 digits only;VantageScore 3.0[19];
NerdWallet;Weekly full report[20];TransUnion[20];Last 4 digits only[20];VantageScore 3.0[20];
SavvyMoney;Monthly summary[21];TransUnion[21];Yes[21];VantageScore 3.0[21];
QLCredit;Biweekly full report[22];TransUnion[22];Yes[22];VantageScore 3.0[6];
Quizzle by Bankrate;Quarterly full report[23];TransUnion[23];Last 4 digits only[23];VantageScore 3.0[6];
WalletHub;Daily full report[24];TransUnion[24];Last 4 digits only[24];VantageScore 3.0[6];
