Archive format;Built-in compression;Self-extracting;Directory Structure;POSIX attributes;ACLs;Alternate data streams;
cpio;No1;No;Yes;Yes;No;?;
tar;No1;No;Yes;Yes;Some;(in Solaris implementation);
dar;Yes3;No;Yes;Yes;Yes;Yes;
ar;No;No;No;Yes;No;?;
pax;No;No;Yes;Yes;Yes;?;
dump;No1;No;Yes;Yes;Yes;?;
shar;No;Yes;Yes;Yes;No;?;
makeself;Yes;Yes;Yes;Yes;Yes;?;
zip;Yes;Yes2;Yes;No;?;?;
rar;Yes;Yes2;Yes;No;?;Yes;
ace;Yes;?;Yes;No;?;?;
arj;Yes;Yes2;Yes;No;No;?;
zoo;Yes;?;Yes;No;?;?;
ISO 9660 (CD-ROM);No1;No;Yes;(with Rock Ridge extension);No;?;
cab;Yes;Yes2;?;No;?;?;
rpm;Yes;No;Yes;Yes;?;?;
deb;Yes;No;Yes;Yes;?;?;
7z;Yes;Yes;Yes;Yes;?;?;
Archive format;Built-in compression;Self-extracting;Directory Structure;POSIX attributes;ACLs;Alternate data streams;
