Name;AccuRev;BitKeeper;CA Harvest;ClearCase;CVS;Darcs;Git;GNU Bazaar;Integrity;Mercurial;Perforce;Plastic;PVCS;StarTeam;Subversion;Surround;Synergy;Team Concert;Team Foundation Server;Vault;Visual SourceSafe;
AnthillPro;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;
Apache Continuum;No;No;No;Yes[2];Yes[2];No;Yes[2];Yes[2];No;Yes[2];Yes[2];No;No;Yes[2];Yes[2];No;Yes[2];No;No;No;Yes[2];
Apache Gump;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;
AppVeyor;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;Yes[28];No;No;No;No;No;No;
Bamboo;Yes[29];No;No;Yes;Yes;No;Yes;No;No;Yes;Yes;No;No;No;Yes;No;No;No;Yes[30];No;No;
Buddy;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
BuildBot;No;No;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;
BuildMaster;Yes;No;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;
CABIE;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;
CruiseControl;No;No;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes;No;Yes;
CruiseControl.NET;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;
Distelli;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;
Drone;No;No;No;No;No;No;Yes[31];No;No;No;No;No;No;No;No;No;No;No;No;No;No;
Jenkins-Hudson;Yes;Yes;Yes;Yes;Yes;Yes[32];Yes;Yes;Yes[33];Yes;Yes;Yes[34];Yes;Yes;Yes;Yes[35];Yes[36];Yes[37];Yes;Yes[38];Yes;
OpenMake Software Meister;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;
Semaphore (software);No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
TeamCity;Yes;No;No;Yes;Yes;No;Yes;Yes[39];No;Yes;Yes;No;No;Yes;Yes;No;No;No;Yes;Yes;Yes;
Team Foundation Server;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;
Vexor;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
