Flag;Country;IOC;FIFA;ISO;
;British Honduras;HBR 1972;BHO  ;;
;Burma;BIR 1988;BUR 1989;BUR 1989;
;Ceylon;CEY 1972;CEY 1972;;
;Dahomey;DAH 1972;DAH 1975;DHY 1977;
;Czechoslovakia;TCH 1992;TCH 1993;CSK 1993;
;East Germany;GDR 1988;DDR 1989;DDR 1989;
;Khmer Republic;KHM 1976;? 1975;;
;Malaya;MAL 1960;? 1963;;
;Netherlands Antilles;AHO 2011;ANT 2011;ANT 2010;
;North Borneo;NBO 1956;NBO 1963;;
;North Yemen;YAR 1988;NYE 1990;YEM 1990;
;Northern Rhodesia;NRH 1964;NRH 1964;;
;Rhodesia;RHO 1972;RHO 1980;RHO 1980;
;Serbia and Montenegro;SCG 2006;SCG 2006;SCG 2006;
;South Yemen;YMD 1988;SYE 1990;YMD 1990;
;Soviet Union;URS 1988;URS 1991;SUN 1992;
;Upper Volta;VOL 1984;UPV 1984;HVO 1984;
;Viet-Nam, Democratic Republic of;;VNO 1975;VDR 1977;
;Viet Nam, Republic of;VNM 1976;VSO 1975;VNM 1977;
;West Germany;FRG 1988;FRG 1989;DEU 1989;
;Yugoslavia, Federal Republic of;YUG 2002;YUG 2003;YUG 2003;
;Yugoslavia, Socialist Federal Republic of;YUG 1992;YUG 1992;YUG 1992;
;Zaire;ZAI 1996;ZAI 1997;ZAR 1997;
