Shell;Functions;Exception handling;Search & replace on variable substi­tutions;Arith­metic;Floating point;Math function library;Linear arrays or lists;Assoc­iative arrays;Lambda functions;eval func­tion;Pseudo­random number generation;Bytecode;
Bourne shell 1977 version;No;Yes (via trap);No;No;No;No;No;No;No;Yes;No;No;
Bourne shell current version;Yes since SVR2;Yes (via trap);No;Yes[29];No;No;No;No;No;Yes;No;No;
POSIX shell;Yes;Yes (via trap);No;Yes;No;No;No;No;No;Yes;No;No;
bash (v4.0);Yes;Yes (via trap);Yes (via ${//} syntax);Yes;No;No;Yes;Yes;No;Yes;Yes ($RANDOM);No;
csh;No;No;Yes (via $var:s/// syntax);Yes;No;No;Yes;No;No;Yes;No;No;
tcsh;No;No;Yes (via $var:s/// syntax);Yes;No;No;Yes;No;No;Yes;No;No;
Hamilton C shell;Yes;No;Yes (via $var:s/// syntax);Yes;Yes;Yes;Yes;No;No;Yes;Yes (random utility);No;
Scsh;Yes;?;Yes (via string functions and regular expressions);?;?;?;Yes;?;Yes;Yes;Yes (random-integer, random-real);Yes (compiler is Scheme48 virtual machine, via scshvm);
ksh (ksh93t+);Yes;Yes (via trap);Yes (via ${//} syntax and builtin commands);Yes;Yes;No;Yes;Yes;No;Yes;Yes ($RANDOM);Yes (compiler is called shcomp);
pdksh;Yes;Yes (via trap);No;Yes;No;No;Yes;No;No;Yes;Yes ($RANDOM);No;
zsh;Yes;Yes;Yes (via ${:s//} and ${//} syntax);Yes;Yes;Yes (zsh/mathfunc module);Yes;Yes;No;Yes;Yes ($RANDOM);Yes (built-in zcompile command);
ash;Yes;Yes (via trap);No;Yes (since 1992)[57];No;No;No;No;No;Yes;No;No;
CCP;No;?;No;No;?;?;No;No;No;No;No;No;
COMMAND.COM;No;Partial (only Auto-fail (via COMMAND /F (or /N in some versions of DR-DOS));No;No;No;No;No;No;No;No;No;No;
OS/2 CMD.EXE;No;No;No;?;No;No;?;No;No;No;No;No;
Windows CMD.EXE;Yes (via CALL :label);No;Yes (via SET %varname:expression syntax);Yes (via SET /A)[58];No;No;Yes (via SET[59]);No;No;No;Yes (%random%);No;
4DOS;Yes;Yes (via ON command, optional Auto-fail via 4DOS /F);Yes (via %@Replace[…] function);Yes (via SET /A);?;?;Yes (via ranges, include lists, @file lists and FOR command);No;No;Yes;Yes (%@Random[…] function);Yes (via BATCOMP command);
4OS2;?;?;?;?;?;?;?;?;No;Yes;Yes (%@Random[…] function);?;
TCC (formerly 4NT);Yes;Yes (via ON and various …MONITOR commands);Yes (via %@Replace[…] function);Yes (via SET /A);?;?;Yes (via ranges, include lists, @file lists and FOR command);?;No;Yes;Yes (%@Random[…] function);Yes (via BATCOMP command);
PowerShell;Yes;Yes (Try-Catch-Finally);Yes (-replace operator);Yes;Yes;[Math] class[60];Yes;Yes;Yes;Yes;Yes;Yes, automatic;
rc;Yes;Yes;No;?;?;?;Yes;?;No;Yes;No;No;
BeanShell;Yes;Yes;?;Yes;?;?;Yes;Yes;No;Yes;Yes;Yes;
VMS DCL;Yes;Yes;No;Yes;No;yes, for compiled programs;Yes;No;No;No;No;No;
fish;Yes;Yes (via trap);No;Optional fish math;Optional fish math;Optional fish math;Yes;No;No;Yes;Yes (random);No;
