Name;Nearest city;Skiable area (acres);Top elevation (feet);Base elevation (feet);Vertical (feet);Runs;Lifts;Snowfall (in/year);Date Statistics Updated;
Arapahoe Basin;Keystone;960;13050;10780;2270;109;8;350;;
Aspen Highlands;Aspen;1010;11678;8040;3572 [1];118;5;300;Jan 2017;
Aspen Mountain;Aspen;673;11212;7945;3267 [1];76;8;300;Jan 2017;
Beaver Creek;Avon;1825;11440;8100;3340 [1];149;17;330;Jan 2017;
Breckenridge;Breckenridge;2926;12998;9600;2908 [1];187;34;360;Jan 2017 [2];
Buttermilk;Aspen;435;9900;7870;2030;44;9;200;;
Ski Cooper;Leadville;400;11700;10500;1200;39;4;260;;
Copper Mountain;Copper Mountain;2490;12313;9712;2601;140+;23;305;;
Crested Butte;Crested Butte;1125;12162;9375;2785;121;15;300;;
Echo Mountain;Evergreen;75;10650;10050;600;13;3;275;;
Eldora;Nederland;680;10800;9200;1600;53;12;300;;
Ski Granby Ranch;Granby;406;9202;8202;1000;35;6;220;;
Hesperus;Hesperus;80;8880;8100;700;13;2;150;;
Howelsen;Steamboat Springs;?;7136;6696;440;17;1;?;;
Kendall;Silverton;35;9540;9300;240;11;1;200;;
Keystone;Keystone;3087;12408;9280;2362 [1];127;20;235;Jan 2017 [3];
Loveland;Silverthorne;1800;13010;10800;2210;94;11;422;;
Monarch;Salida;800;11960;10790;1170;54;5;375;;
Powderhorn;Grand Junction;1600;9850;8200;1650;37;4;250;;
Purgatory;Durango;1525;10822;8793;2029;94;11;260;;
Silverton Mountain;Silverton;1819;12300;10400;3087;?;1;460;;
Snowmass;Aspen;3128;12510;8104;4030 [1];88;21;300;Jan 2017;
Steamboat;Steamboat Springs;2965;10568;6900;2479 [1];165;16;349;Jan 2017;
Sunlight;Glenwood Springs;470;9895;7885;2010;67;4;252;;
Telluride;Telluride;2000;12570;8725;3830 [1];148;18;280;June 2018 [4];
Vail;Vail;5289;11570;8120;3041 [1];193;34;370;Jan 2017;
Winter Park;Winter Park;3081;12060;9000;3060;143;26;365;;
Wolf Creek;Pagosa Springs;1600;11904;10300;1604;77;7;480;;
