Name;Hidden containers;Pre-boot authentication;Single sign-on;Custom authentication;Multiple keys;Passphrase strengthening;Hardware acceleration;TPM;Filesystems;Two-factor authentication;
Aloaha Secure Stick;Yes;No;N/A;Yes;Yes;No;No;No;NTFS, FAT32;Yes;
ArchiCrypt Live;Yes[61];No;N/A;No;Yes[61][62];No;No;No;?;Yes[61][63];
BestCrypt;Yes;Yes;?;No;Yes[64];Yes;Yes;Yes;Any supported by OS;Yes[65];
BitArmor DataControl;No;Yes;?;No;Yes;Yes;No;No;NTFS, FAT32 on non-system volumes;No;
BitLocker;No;Yes[66];No;Yes[67];Yes[68];Yes[69];Yes;Yes[68];Chiefly NTFS [Note 1];Yes [Note 2];
Bloombase Keyparc;No;No;N/A;Yes;Yes;Yes;Yes;No;?;?;
CGD;No;No;N/A;Yes[70];Yes[71];Yes[70];No;No;Any supported by OS;Yes[70];
CenterTools DriveLock;No;Yes;Yes;No;No;Yes;No;No;Any supported by OS;Yes;
Check Point Full Disk Encryption;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;NTFS, FAT32;Yes;
CipherShed;Yes (limited to one per "outer" container);only on Windows[72];?;No;yes with multiple keyfiles[73][74];Yes;Yes;No[75];Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged[76];Yes;
CryFS;No;No;N/A;No;No;Yes[77];No;No;Any supported by OS;No;
CrossCrypt;No;No;N/A;No;No;No;No;No;?;No;
CryptArchiver;No;No;N/A;No;No;?;No;No;?;?;
Cryhod;No;Yes;Yes;No;Yes;Yes;Yes;No;Any supported by OS;No;
Cryptoloop;No;Yes[78];?;Yes;No;No;Yes[citation needed];No;Any supported by OS;?;
Cryptomator;No;No;N/A;No;No;Yes;Yes;No;Any supported by OS;No;
CryptoPro Secure Disk Enterprise;Yes with add-on Secure Device;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Any supported by OS;Yes;
CryptoPro Secure Disk for BitLocker;Yes with add-on Secure Device;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Any supported by OS;Yes;
Cryptsetup / Dmsetup;No;Yes[78];?;Yes;No;No;Yes;No;Any supported by OS;Yes;
DiskCryptor;No;Yes;?;No;No;No;Yes[79];No;Only Windows MBR volumes; no UEFI GPT drives;Yes[79];
DISK Protect;No;Yes[80];Yes;No;Yes[80];No;Yes;Yes;NTFS,FAT32;Yes;
Dm-crypt / LUKS;No;Yes[78];?;Yes;Yes;Yes;Yes;Partial[81] [Note 3];Any supported by OS;Yes;
DriveCrypt;Yes[82];Yes;Yes;Yes;Yes;Yes;Yes;No;Any supported by OS;Yes;
DriveSentry GoAnywhere 2;No;No;N/A;Yes;No;Yes;No;?;Any supported by OS;Yes;
E4M;No;No;N/A;No;No;?;No;No;?;No;
e-Capsule Private Safe;Yes[83];No;N/A;No;Yes[83];No;Yes;No;?;?;
eCryptfs;No;No;N/A;Yes;Yes;Yes;Yes;Yes;Yes[84];Yes;
EgoSecure HDD Encryption;No;Yes;Yes;Yes;Yes;Yes;Yes[85];Yes;NTFS, FAT32;Yes;
FileVault;No;No;N/A;No;Two passwords[86];Yes[86];?;No;HFS+, possibly others;No;
FileVault 2;No;Yes;Yes;No;Yes;Yes;Yes[87];No;HFS+, possibly others;No;
FinalCrypt;No;No;No;No;Yes;No;No;No;Any supported by OS;No;
FREE CompuSec;No;Yes;?;No;No;No;No;No;Any supported by OS;No;
FreeOTFE;Yes;No;N/A;Yes[88];Yes[89];Yes;Yes;No;Any supported by OS;Yes;
GBDE;No;No[90];N/A;Yes;Yes[91];No[91];No[90];No;Any supported by OS;Yes;
GELI;No;Yes[90];?;Yes;Yes[92];Yes[92];Yes[90];No;Any supported by OS;Yes;
Loop-AES;No;Yes[93];?;Yes[93];Yes[93];Yes[93];Yes[93];No;Any supported by OS;Yes[94];
McAfee Drive Encryption (SafeBoot);Yes;Yes;Yes;Yes;Yes;Yes;Yes[85][95];Yes;Any supported by OS;Yes;
n-Crypt Pro;No;No;N/A;No;No;N/A[96];No;No;?;?;
PGPDisk;No;Yes[97];Yes;?;Yes;Yes[98];?;Yes;?;Yes;
Private Disk;No;No;N/A;No;Yes;Yes;No;No;Any supported by OS;Yes;
ProxyCrypt;Yes;No;No;No;No;Yes;Yes;No;Any supported by OS;Yes;
R-Crypto;?;No;N/A;?;?;?;?;?;Any supported by OS;?;
SafeGuard Easy;No;Yes;?;No;Yes;Yes;No;Yes[99];Any supported by OS;Yes;
SafeGuard Enterprise;No;Yes;Yes;No;Yes;Yes;No;Yes[99];Any supported by OS;Yes;
SafeGuard PrivateDisk;No;No;N/A;No;Yes;Yes;No;Yes[100];Any supported by OS;Yes;
SafeHouse Professional;No;No;N/A;Yes;Yes;Yes;No;No;Any supported by OS;Yes;
Scramdisk;Yes;No;N/A;No;No;No;No;No;?;Last update to web site 2009-07-02;
Scramdisk 4 Linux;Yes[101];No;N/A;No;No;Yes[101];No;No;ext2, ext3, reiserfs, minix, ntfs, vfat/msdos;No;
SecuBox;No;No;N/A;No;No;Yes;No;No;?;No;
SecureDoc;No;Yes[102];?;Yes;Yes;Yes;Yes;Yes;?;Yes;
Sentry 2020;No;No;?;No;No;No;No;No;?;No;
Softraid / RAID C;No;No;?;?;?;?;Yes;?;Any supported by OS;?;
Svnd / Vnconfig;No;No;N/A;No;No;Yes[103];Yes;?;Any supported by OS;?;
Symantec Endpoint Encryption;No;Yes;Yes;Yes;Yes;Yes;No;No;NTFS, FAT32;Yes;
Trend Micro Endpoint Encryption;No;Yes;Yes;Yes;Yes;Yes[104];Yes[105];No;Any supported by OS;Yes[106];
TrueCrypt [Note 4];Yes (limited to one per "outer" container);only on Windows[107];?;No;yes with multiple keyfiles[74][108];Yes;Yes;No[75];Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged[76];Yes;
VeraCrypt;Yes (limited to one per "outer" container);only on Windows[109];No;No;yes with multiple keyfiles;Yes;Yes;No;Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged;Yes;
CyberSafe Top Secret;Yes;No;No;No;Yes;Yes;Yes;No;Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged;Yes;
Name;Hidden containers;Pre-boot authentication;Single sign-on;Custom authentication;Multiple keys;Passphrase strengthening;Hardware acceleration;TPM;Filesystems;Two-factor authentication;
