Model;Launch;Code name;Fab (nm);Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
Radeon X700 SE;Apr. 1, 2005;RV410 (alto);110;400;200 250;4:6:4:8;1600;3200;1600;600;128;3.2;DDR;64;
Radeon X700 LE;Dec. 21, 2004;RV410 (alto);110;400;250;8:6:8:8;3200;3200;3200;600;128;4;DDR;64;
Radeon X700;Sept. 2005;RV410 (alto);110;400;250 350;8:6:8:8;3200;3200;3200;600;128, 256;8 11.2;DDR;128;
Radeon X700 Pro;Dec. 21, 2004;RV410 (alto);110;425;432;8:6:8:8;3400;3400;3400;637.5;128, 256;13.824;GDDR3;128;
Radeon X700 XT;Never Released;RV410 (alto);110;475;525;8:6:8:8;3800;3800;3800;712.5;128, 256;16.8;GDDR3;128;
Radeon X800 GT 128MB;Aug. 1, 2005;R423 R480 (thor);130;475;175;8:6:8:16;3800;7600;3800;712.5;128;22.4;DDR;256;
Radeon X800 GT 256MB;Aug. 1, 2005;R423 R480 (thor);130;475;490;8:6:8:16;3800;7600;3800;712.5;256;31.36;GDDR3;256;
Radeon X800;Dec. 1, 2004;R430 (thor);110;392;350;12:6:12:16;4704;6272;4704;588;128, 256;22.4;GDDR3;256;
Radeon X800 GTO 128MB;Sept. 15, 2005;R423 R480 R430 (thor);130 110;400;350;12:6:12:16;4800;6400;4800;600;128;22.4;GDDR3;256;
Radeon X800 GTO 256MB;Sept. 15, 2005;R423 R480 R430 (thor);130 110;400;490;12:6:12:16;4800;6400;4800;600;256;31.36;GDDR3;256;
Radeon X800 Pro;May 5, 2004;R423 (thor);130;475;450;12:6:12:16;5700;7600;5700;712.5;256;28.8;GDDR3;256;
Radeon X800 XL;Dec. 1, 2004 (256 MB) May 4, 2005 (512 MB);R430 (thor);110;400;490;16:6:16:16;6400;6400;6400;600;256, 512;31.36;GDDR3;256;
Radeon X800 XT;Dec. 1, 2004;R423 (thor);130;500;500;16:6:16:16;8000;8000;8000;750;256;32;GDDR3;256;
Radeon X800 XT Platinum Edition;May 5, 2004;R423 (thor);130;520;560;16:6:16:16;8320;8320;8320;780;256;35.84;GDDR3;256;
Radeon X850 Pro;Dec. 1, 2004;R480 (thor);130;507;520;12:6:12:16;6084;8112;6084;760.5;256;33.28;GDDR3;256;
Radeon X850 XT;Dec. 1, 2004;R480 (thor);130;520;540;16:6:16:16;8320;8320;8320;780;256;34.56;GDDR3;256;
Radeon X850 XT CrossFire Master;Sept. 29, 2004;R480 (thor);130;520;540;16:6:16:16;8320;8320;8320;780;256;34.56;GDDR3;256;
Radeon X850 XT Platinum Edition;Dec. 21, 2004;R480 (thor);130;540;590;16:6:16:16;8640;8640;8640;810;256;37.76;GDDR3;256;
Model;Launch;Code name;Fab (nm);Core clock (MHz);Memory clock (MHz);Core config1;MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
Fillrate;Memory;
