Feature;Android;iOS;Windows 10 Mobile;BlackBerry 10;Tizen;Sailfish OS;Ubuntu Touch;
Camera focus at specified point;2.3+[381];Yes[74];Yes[382];10+;?;1.0.4.20+[383];Yes;
Camera exposure metering from specified point;No,[384] available on some phones.[385][386];Yes[387];8.1+[388];No;No;?;No;
On device picture info (including Exif data);Only date and location; more with 3rd party software[389];Only date and location; more with 3rd party software[390];3rd party apps[391];Date and location[392];No;?;Yes;
On device picture categorization;No[393] 3rd party software like TouchWiz[394];5+[395];Yes[396];Yes, photos can be renamed and searched;No;?;No;
On device picture description and search;No[397];10+: Items/objects in picture;[398] 7+: Only date and location[399];Yes;Yes;No;?;No;
Turn off shutter sound;In silent mode[400];In silent mode[401];7.5+[402];10.2+ - In silent mode[403];In silent mode;In silent mode[404];No;
Picture crop;Yes;5+[405];8+[406];10+[407];No;Yes;Yes;
Photo rotation;Yes;5+[405];8+[406];10+[407];No;Yes;Yes;
Photo red-eye reduction;2.3+[408];5+[405];Yes 8.1+[409];10+[407];No;No[410];No;
HDR photos option;4.2+, some manufacturers earlier[411];Yes[412];8.1+;10.1+[413];No;No[414];Yes;
Photo/video import from memory cards;Yes;With Camera Connection Kit[375];Yes;Yes;Yes;Yes;Yes;
Video trim;2.3+;Yes;8+[415];10+[416];No;?;No;
