Arrays and Collections;Java;C#;
Abstract data types;Yes;Yes;
One-dimensional, zero-based index arrays;Yes;Yes;
Multidimensional arrays, rectangular (single array);No;Yes;
Multidimensional arrays, jagged (arrays of arrays);Yes;Yes;
Non-zero based arrays;No;Some;
Unified arrays and collections;No;Yes;
Maps/dictionaries;Yes;Yes;
Sorted dictionaries;Yes;Yes[30];
Sets;Yes;Yes;
Sorted sets;Yes;Yes[31];
Lists/vectors;Yes;Yes;
Queues/stacks;Yes;Yes;
Priority queue;Yes;Yes[32][33];
Bags/multisets;Third-party library;Yes;
Concurrency optimized collections;Yes;Yes[34];
