Feature;Android;iOS;Windows 10 Mobile;BlackBerry 10;Tizen;Sailfish OS;Ubuntu Touch;
Default web browser/engine;Blink;WebKit;Trident (EdgeHTML after 10);WebKit;WebKit;Gecko[177];QtWebEngine (based on Blink);
Major web browser available;Chrome for Android, Opera, Firefox, Microsoft Edge;Safari, Chrome for iOS, Opera Mini, Firefox, Microsoft Edge;Internet Explorer, Opera Mini, UC Browser, Microsoft Edge;BlackBerry 10 Browser, Opera Mini;Tizen Browser (Based on UC Browser);Sailfish Browser (Firefox), Webcat (WebKit), Web Pirate (WebKit), others via Android (Firefox, Chrome, Opera);Morph Browser;
Browser extensions;No[178] 3rd party software[179];8+[180];No, 3rd party software[181];No;No;No;No;
Browser direct Internet connection (increased resilience to outages);Yes;Yes;Yes;10+,[182] 7.1 and older route through BlackBerry Internet Service, direct browsing supported over WiFi;Yes;?;?;
Browser undo close tab;Google Chrome for Android[183];8+[184];No;No;No;No;No;
Browser keeps windows open on shutdown or crash;2.3+ Google Chrome[185] but not on the deprecated AOSP browser[186];Yes;Yes;10+ Opens dialog for choosing which websites to restore after crash, option to restore all sites after restart;No;Yes;Yes;
Browser keeps windows open when cleaning cookies;Yes;3rd party software[187];Yes;Yes;?;Yes;Yes;
Browser search engine options;Many[188];Bing, Google, Yahoo! Search, DuckDuckGo;Bing, Google support removed on some markets on 8.1 GDR1+[189] W10M: Many;Bing, Google, Yahoo, User Defined;Bing, Google, Yahoo! Search;Bing, Google, Yahoo, Yandex. Baidu, DuckDuckGo, StartPage, Searx, ixquick, Swisscows, Qwant, Seznam, Hulbee via openrepos[190];
Browser find on page;1.5+[191];4.2+[192];8+[193];Yes[194];Yes;1.1.2.16+[195];Yes;
Browser/email save images;Yes;Yes[196];Yes[197];Yes;?;Yes;Yes;
Browser/email save PDFs;Yes;Yes[74];Yes[198];Yes;Yes;Yes;Yes;
Browser save audio/video;Yes, but only links, not embedded media;3rd party software[199];8.1+[200];Yes (embedded media not supported);Yes;Yes;Yes;
Browser save page;Yes, Google Chrome 55+[201];6+: Offline Reading List;[202] 3rd party software[203];10+[204];Yes[205];Yes;?;Yes;
Browser save any file;Yes, Chrome for Android.;When an app that can handle/open the filetype is installed (excluding audio/video - requires 3rd party software[206]);[207];8.1+[200];10+;?;Yes;Yes;
Browser force enable zoom;No, not working anymore on Android 4.4[208];Yes[209];Yes, via accessibility settings;Yes,via accessibility settings;?;?;?;
Browser text reflow[210];No, removed on Android 4.4[211][212];5+: Only on pages with reader mode available[213][214] 3rd party browsers on prior versions[215];Only on pages available on reading view on 8.1+;Yes[216] 10+ Only in reader mode;No;No;No;
Browser Reader Mode;No,[217] 3rd party software[218][219];5+[213][214];8.1+[220];10+[221];Yes;No[222];No;
Browser file upload;2.2+[223];9+; 6-8: Limited;Yes;4.2+[224];Yes;1.0.7.16+[225];Yes;
Browser form navigation;Next button[226];Previous, Next, AutoFill, and Done buttons[227];Yes;Yes[224];?;?;?;
Browser private browsing mode;3.0+ with AOSP browser[228] or with Chrome for Android;5+[229];8.1+[93];10+[230];Yes;1.1.6.27+[231];Yes;
Offline web apps;Yes[232];Yes[233][234][235];?;?;No;?;Yes;
HTTP Live Streaming;3+[236];3+[237];10+[238];10+[239];No;?[240];Yes;
WebRTC;Yes[241];11+[242];No;Yes (beta);No;No;Yes;
