Audio compression format;Creator;First public release date;Latest stable version;cost;Proprietary implementations (codecs);Open-source implementations (codecs);Uses (other than consumer audio);Music reproduction (consumer audio);Telephony app;Lossless audio compression;Patented;DRM;
Encoder;Player;
AAC;ISO/IEC MPEG Audio Committee;1997;ISO/IEC 14496-3;Non-free[1];FAAC (encoding only), Nero Digital Audio, Apple CoreAudio (via QuickTime, iTunes or afconvert[2]);FAAD2 (decoding only), FFmpeg, Audiocogs[3] (decoding only), Fraunhofer FDK AAC;Digital TV service, Digital Radio, Internet streaming;Yes;AAC-LD/AAC-ELD;MPEG-4 SLS;Yes;FairPlay (.m4p only, discontinued);
AC-3;Dolby Laboratories;1992;ATSC A52:2012;Free;DVD players, digital television;FFmpeg, liba52 (decoding only), Aften (encoding only), libavc (2.0 channels max);Theatrical movie presentation, Digital TV service & home-video (personal recorders, DVD, etc.);No;No;No;No;?;
ALAC;Apple Inc.;2004-04-28;QuickTime 7.6;Free;QuickTime, iTunes, RealPlayer;MacOSforge, FFmpeg, Audiocogs[4] (decoding only);-;Music archival;Yes;Yes;Free;Possible, but never implemented;
ALS;ISO/IEC MPEG Audio Committee;2005;ISO/IEC 14496-3;Free;mp4als;FFmpeg (decoding only);-;-;No;Yes;Yes;?;
AMBE;Digital Voice Systems;?;?;Non-free;?;mbelib;Low bandwidth HF/VHF digital radio, VoIP trunking;No;No;No;Yes;?;
AMR;3GPP;1999-06-22;ETSI TS 126 071 V9.0.0 (2009);Non-free[5][6];QuickTime, RealPlayer;FFmpeg (decoding only), FFmpeg with OpenCORE libraries,[7] Android[8];voice recording;No;Yes;No;Yes;No;
AMR-WB (G.722.2);3GPP;2001-04-10;ETSI TS 126 190 V8.0.0 (2009-01);Non-free;Non-free;QuickTime, RealPlayer;FFmpeg (decoding only),[7] FFmpeg with VisualOn libraries, Android (decoding only),[8] opencore-amr for both encoding and decoding;voice recording;No;Yes;No;Yes;No;
AMR-WB+;3GPP;2004-06-14;ETSI TS 126 290 V8.0.0 (2009-01);Non-free[9][10];Non-free[9][10];?;?;voice recording;Yes;Yes;No;Yes;No;
aptX;APTX;1989;2007;Non-free;Non-free;Broadcast audio codecs: 2wcom systems, Systembase, APT, AVT, Harris Corporation, MAYAH, Prodys, Qbit; wireless headphones: iSkin, JayBird Gear, DTS discs for movies;FFmpeg;Low latency Studio/transmitter link, Bluetooth A2DP stereo, digital wireless microphone;Yes;Yes;No;Yes;No;
ATRAC;Sony Corp.;1991;ATRAC3plus;Non-free;Non-free;MiniDisc, Walkman, VAIO, Clie, PlayStation 3, PlayStation Portable, SDDS, SonicStage, SoundForge, RealPlayer, ConnectPlayer;FFmpeg (decoding only, ATRAC Advanced Lossless is only partially supported);voice recording, theatrical movie presentation;-;No;Yes;Yes;Yes;
BroadVoice (BV16, BV32);Broadcom;2009-08-19;1.2;Free;Free;?;?;Speech, VoIP, Low latency, voice recording;No;Yes;No;Free;No;
CELT;Xiph.Org Foundation, Jean-Marc Valin;2007-12-08;0.11.1 (merged into Opus);Free;Free;?;libcelt, FFmpeg with libcelt library (decoding only);Speech, VoIP, Low latency, Studio/transmitter link, wireless audio;Yes;Yes;No;No;No;
Codec2;David Rowe;2010;Developmental;Free;Free;?;c2enc, c2dec;Low bandwidth HF/VHF digital radio, VoIP trunking;No;Yes;No;No;No;
Enhanced AC-3;Dolby Laboratories;?;ATSC A52:2012;Non-free;Non-free;Digital television;FFmpeg;Theatrical movie presentation, digital TV service & home-video (personal recorders, DVD, etc.);No;No;No;Yes;?;
FLAC;Xiph.Org Foundation, Josh Coalson;2001-07-20;1.3.2;Free;Free;;FLAC,[11] Flake[12] (encoding only), FFmpeg, FLACCL[13] (encoding only), Audiocogs[14] (decoding only);-;Yes;Yes;Yes;No;No;
G.711;ITU-T;1972 (ITU-T standard from 1988);G.711 Appendix II (02/00);Free;Free;Various proprietary VoIP software;FFmpeg, Ekiga, Asterisk (PBX) and almost any VoIP software;voice recording;No;Yes;No;No;No;
G.722;ITU-T;1988-11;;Free;Free;Various proprietary VoIP software;Asterisk (PBX), QuteCom, FFmpeg;voice recording;No;Yes;No;No;No;
G.722.1;ITU-T;1999-09;G.722.1 (05/05);Free[15][16];Free[15][16];Various proprietary VoIP software;FreeSWITCH,[17] PJSIP, etc;voice recording;No;Yes;No;Yes;No;
G.722.2 (AMR-WB);ITU-T (adopted directly from 3GPP);2002-01;G.722.2 (07/03);Non-free;Non-free;QuickTime, RealPlayer;FFmpeg (decoding only),[7] FFmpeg with VisualOn libraries, Android (decoding only)[8];voice recording, audio;No;No;No;Yes;No;
