Title;Publisher;First published;Latest edition;Year;Pages;Entries (approx.);Main dialect;Pronunciation guide;
American Heritage Dictionary (AHD);Houghton Mifflin Harcourt;1969;5th ( ISBN 0-547-04101-2);2011;2,074;70,000;American;Diacritical;
The Chambers Dictionary;Chambers Harrap Publishers;1872;13th ( ISBN 9781473602250);2014;1,920;62,500[1];British;Diacritical;
Collins English Dictionary;HarperCollins Publishers;1979;12th ( ISBN 9780007522743);2014;2,340;100,000;British;IPA;
Concise Oxford English Dictionary (COED);Oxford University Press;1911;12th ( ISBN 9780199601080);2011;1,728;240,000;British;IPA;
New Oxford American Dictionary (NOAD);Oxford University Press;2001;3rd ( ISBN 0-19-539288-4);2010;2,096;350,000;American;Diacritical;
Oxford Dictionary of English;Oxford University Press;1998;3rd ( ISBN 0-19-957112-0);2010;2,112;355,000;British;IPA;
Oxford English Dictionary (OED);Oxford University Press;1895;2nd (20 vols., ISBN 0-19-861186-2);1989;21,730;291,500;British;IPA;
Random House Webster's;Random House;1966;2nd (rev., ISBN 978-0375425998);2002;2,256;315,000;American;Diacritical;
Shorter Oxford English Dictionary (SOED);Oxford University Press;1933;6th (2 vol., ISBN 9780199206872);2007;3,804;125,000;British;IPA;
Webster's Third New International Dictionary (W3);Merriam-Webster;1961;3rd ( ISBN 0-87-779201-1);2002;2,783;263,000;American;Diacritical;
