IDE;License;Windows;Linux;macOS;Other platforms;Written in;Debugger;GUI builder;Integrated toolchain;Profiler;Code coverage;Autocomplete;Static code analysis;GUI-based design;Class browser;Latest stable release;C compiler;C++ compiler;Refactoring;
Anjuta;GPL;No;Yes;No;FreeBSD;C;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;2016-03;Yes;Yes;No;
AppCode (IntelliJ IDEA);Proprietary;No;No;Yes;;Java;Yes;Yes;No;Yes (Xcode profiler);No;Yes;Yes;Yes;Yes;2012-12;Yes (Xcode toolchain);Yes (Xcode toolchain);Yes;
C++Builder;Proprietary, Freeware (Starter edition only);Yes;No (Cross compiler planned);Yes (Cross compiler);cross-compiles for Android and iOS;C++ and Object Pascal;Yes;Yes;Yes;Yes (AQTime Standard in package manager);Yes;Yes;Yes;Yes;Yes;2017-03 Tokyo 10.2;Yes;Yes;Yes;
Code::Blocks;GPL;Yes;Yes;Yes;FreeBSD, OpenBSD, Solaris;C++;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[5];Yes;2017-12[6];Yes (MinGW + custom);Yes (MinGW + custom);Yes;
CodeLite;GPL;Yes;Yes;Yes;FreeBSD;C++;Yes;Yes;Yes;Yes (As of CodeLite 6.1, integration with Valgrind);No;Yes;Yes;Yes[7];Yes;2018-10-25[8];Yes (GCC, Clang, VC + custom);Yes (GCC, Clang, VC + custom);Yes;
Dev-C++;GPL;Yes;No[9];No;FreeBSD;Object Pascal;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;2013-10 (Unofficial Version), 2005-02 (Official Version);Yes;Yes;No;
Eclipse CDT;EPL;Yes;Yes;Yes;FreeBSD, JVM, Solaris;C++, Java;Yes;Yes[2];Yes[10];Yes[11];Yes[12];Yes;Yes;Yes;Yes;2018-03[13][14][15];External;External;Yes;
Geany;GPL;Yes;Yes;Yes;FreeBSD, AIX, OpenBSD, Solaris, other Unix;C;Yes (via a plug-in);No;No;No;No;Yes;No;No;Yes;2016-03[16];External;External;No;
GNAT Programming Studio;GPL;Yes;Yes;Yes;DragonFly BSD, FreeBSD, NetBSD, OpenBSD, Solaris;Ada;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;2016-06;Yes;Yes;Yes;
JetBrains CLion;Proprietary;Yes;Yes;Yes;;Java;Yes;No;Yes;No;No;Yes;Yes;No;Yes;2017-11[17];Yes (customizable);Yes (customizable);Yes;
KDevelop;GPL;Yes;Yes;Yes;FreeBSD, Solaris;C/C++;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2018-11;External;External;Yes;
LabWindows/CVI;Proprietary;Yes;No;No;cross-compile to Linux, Phar Lap ETS;?;Yes;Yes;Yes;Yes;No;Yes;No;Yes;N/A;2016-12;Yes;No;No;
Microsoft Visual Studio;Proprietary, Freeware (Community edition only);Yes;No;Yes;Mac OS 7 (v2.x-v4.x only), Linux[18];C++ and C#;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2017-10;Yes;Yes;Yes (also plugin)[19];
MonoDevelop;LGPL;Yes;Yes;Yes;FreeBSD, OpenBSD, Solaris;C#;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;2016-11;Yes (GCC + custom);Yes (GCC + custom);Yes;
NetBeans C/C++ pack;CDDL and GPL;Yes;Yes;Yes;OpenBSD, Solaris;Java;Yes[20];Yes[20];Yes[21];No[20];No;Yes;No;Yes;Yes;2016-10[22];External;External;Yes;
OpenWatcom;OSI Approved;Yes (32-bit only);partial;No;FreeBSD, DOS, OS/2;C/C++;Yes (GUI remote);Yes;Yes;Yes;No;No;No;Yes;Yes;2010-06;Yes;Yes;No;
Oracle Solaris Studio (formerly Sun Studio);Proprietary, Freeware;No;Yes;No;Solaris;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2008-11;Yes;Yes;Yes;
Qt Creator;GPL / LGPL / Proprietary;Yes;Yes;Yes;FreeBSD, Maemo, OpenBSD, Symbian;C++;Yes;Yes;Yes;Yes;No;Yes;Yes (clang);Yes;Yes;2016-12;External;External;Yes[23];
Rational Software Architect (Eclipse IBM);Proprietary;Yes;Yes;No;FreeBSD, JVM, Solaris;Java;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2015-09;External;External;Yes;
SlickEdit;Proprietary;Yes;Yes;Yes;Solaris, Solaris SPARC, AIX, HP-UX;C++;Yes;No;Yes;No;No;Yes;No;Yes;Yes;2016-10;External;External;Yes;
Ultimate++ TheIDE;BSD;Yes;Yes;No;;C++;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;2015-12;External;External;No;
Understand;Proprietary;Yes;Yes;Yes;Solaris;?;No;No;No;No;No;Yes;Yes;No;Yes;2015-12;No;No;Yes;
Xcode (Apple);Proprietary;No;No;Yes;cross compiles to iOS;C, C++, Objective-C, Objective-C++;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2016-12;Yes, llvm (llvm-gcc and gcc deprecated);Yes, llvm (llvm-gcc and gcc deprecated);Yes;
IDE;License;Windows;Linux;macOS;Other platforms;Written in C/C++;Debugger;GUI builder;Integrated toolchain;Profiler;Code coverage;Autocomplete;Static code analysis;GUI-based design;Class browser;Latest stable release;C compiler;C++ compiler;Refactoring;
