Portuguese;Spanish;English;
cola (< Lat. coloere);pegamento, cola (< Lat. pix, < Lat. coloere);glue;
vaso (< Lat. vasum);maceta, tiesto (< Hisp.-Ar. maceta, maybe < Ital. mazzetto; < Lat. testu);vase, flowerpot;
floco (< Lat. floccus);copo (< Lat. cuppa);flake;
competência (< Lat. competentia);aptitud, capacidad (< Lat. aptit?do; capac?t?tis);competence, competency;
despido (< Lat. expedire);desnudo (< Lat. ex + nudus);naked;
osso (< Lat. ossum);hueso (< Lat. ossum);bone;
pez (< Lat. pix);brea (< Fr. brayer);pitch, resin;
polvo (< Gr. ????????);pulpo (< Gr. ????????);octopus;
tenda (< Lat. tenda < tend?re);tienda, lona, toldo (< Lat. tenda < tend?re; < Fr. Olonne; < Fr. taud < Old Germ. tialz);tent, marquee;
ganância (< Gothic ganan);codicia, avaricia, afán (< Lat. cupiditia; < Lat. avaritia; probably < Lat. afannae);greed, avarice, covetousness;
inversão (< Lat. inversionis);inversión (< Lat. inversionis);inversion;
embaraçada (< Lat. in + O.Port. baraça, of uncertain origin);avergonzada (< Lat. verecundia);embarrassed;
estafa (< Ital. staffa);agotamiento, fatiga, extenuación (< Lat. gutta; < Lat. fatig?re; < Lat. extenu?re);exhaustion, tiredness, wear out;
esquisito (< Lat. exquisitus);raro, extraño, peculiar (< Lat. rarus; < Lat. extr?neus; < Lat. peculi?ris);odd, strange, peculiar;
moléstia (< Lat. molestiae);enfermedad, achaque, plaga, peste (< Lat. infirmitas; < Ar. šak?; < Lat. plaga; < Lat. pestis );disease, plague;
serviço (< Lat. servitium);servicio (< Lat. servitium);service;
perro (origin uncertain, maybe < Sp. perro);oxidado (< Greek oxis + Lat. suffix -tatus);rusty;
berro (< Lat. barrire);chillido, berrido (< Lat. cisclare; < Lat. barrire);screech, shriek;
aceite (< Lat. accept?re);aceptado (< Lat. accept?re);accepted;
oficina (< Lat. offic?na < officium);taller; taller de coches; taller mecánico de autos (< Old Fr. astelier; < Old Fr. estalier + Lat. cocca; < Old Fr. astelier + Lat. mechanicus + Gr. ????);auto repair centre, repair garage, workshop;
firma (< Lat. firmus);empresa; compañía; sociedad, negocio (< Lat. prenhendere; companio; societas; nec otium);business, firm, company, corporation, enterprise, venture, establishment, group, house;
presunto (< Lat. persuctus);jamón (< Fr. jambon);ham, prosciutto;
risco (< Lat. reseca);riesgo (< Arabic rizq[2] or maybe Italian rischio}});risk, line;
topo (< Gr. tópos);cumbre (< Lat. columen or culmen);top;
