Name and file extension;Proprietor / developer;License;Variable bit rate audio;Variable frame rate;Chapters;Captions / subtitles;Video coding formats;Audio coding formats;Metadata / tags;Menus[1];Streaming;Attachment support[2];3D, codecs;3D, container;Hardware players;
3GP;3GPP;?;Yes;Yes;?;3GPP Timed Text;H.263, MPEG-4 Part 2 and H.264/MPEG-4 AVC;AMR-NB, AMR-WB, AMR-WB+, AAC, HE-AAC and HE-AAC v2;?;No;Yes[3];?;?;?;?;
3G2;3GPP2;?;Yes;Yes;?;3GPP Timed Text;H.263, MPEG-4 Part 2 and H.264/MPEG-4 AVC;AMR-NB, AMR-WB, AAC, HE-AAC, EVRC, EVRC-B, EVRC-WB, 13K (QCELP), SMV or VMR-WB;?;No;Yes;?;?;?;?;
Advanced Systems Format (.asf, .wma, .wmv);Microsoft;Proprietary, patent encumbered;Yes;Yes;Yes;Yes;Almost anything through VFW or DMO; H.264/AVC is problematic;Almost anything through ACM or DMO; Vorbis is problematic;Yes;No;Yes;?;?;?;Yes;
AVI;Microsoft;?;Yes[4];Yes[5];Yes, via third party modifications;Yes, via third party modifications;Almost anything through VFW;Almost anything through ACM; Vorbis is problematic [6];Yes through RIFF chunks;No;No;No;?;No;Yes;
DivX Media Format (.divx);DivX, Inc.;?;Yes;Yes;Yes;Yes;MPEG-4 Part 2 video encoded to meet DivX profiles;MP3, PCM, AC-3;?;Yes;Yes;?;?;?;Yes;
EVO;DVD Form;Patent encumbered;Yes;Yes;Yes;Yes;MPEG-2 Part 2, H.264/MPEG-4 AVC, VC-1;AC-3, E-AC-3, Dolby TrueHD, LPCM, DTS, DTS-HD, MPEG-2 Part 3;?;Yes;?;?;?;?;?;
F4V (Flash Video);Adobe Systems;Patent encumbered;?;Yes;?;?;H.264/MPEG-4 AVC;MP3, AAC, HE-AAC[7];Yes;No;Yes;?;?;?;?;
FLV (Flash Video);Adobe Systems;Patent encumbered;?;Yes;No;No;Sorenson, VP6, Screen Video, H.264/MPEG-4 AVC[8][9];MP3, Nellymoser, ADPCM, LPCM, AAC,[10] Speex[11];Yes;No;Yes;?;?;?;?;
Matroska (.mkv, .mk3d, .mka, .mks, .webm);CoreCodec, Inc.[12];Freely licensed[13];Yes[14];Yes[14];Yes[15];Yes[16];Virtually anything (.webm restricts to VP8 and VP9);Virtually anything (.webm restricts to Vorbis and Opus);Yes[17];Pending[18];Yes[19];Yes[20];Yes[21];Yes[21];Yes[22];
MCF;Community;BSD-style license for specs, GNU for tools;Yes;Yes;Yes[23];Yes[23];Not fully specified;Not fully specified;Yes;Possible[24];Yes[25];Yes[23];?;?;No;
MP4;MPEG;Patent encumbered;Yes;Yes;In specially formatted text track (QuickTime); 2) In userdata atom (started by Nero Digital) can't interact with the sceneDescription, or via segmentDescriptor;ttxt, VobSubs with private objectTypeIndication not usable with the sceneDescription (started by Nero), BIFS;HEVC/MPEG-H Part 2/H.265, MPEG-2 Part 2, MPEG-4 ASP, H.264/MPEG-4 AVC, H.263, VC-1, Dirac, others[26];MPEG-2/4 (HE)-AAC, MPEG-1/2 Layers I, II, III (MP3), AC-3, Apple Lossless, ALS, SLS, Vorbis(with private objectTypeIndication), others[26];Yes;Yes;Yes;Yes;Yes;?;Yes;
MPEG Video File (.mpg, .mpeg);MPEG;Patent encumbered;Yes;Yes;No;No;MPEG-1, MPEG-2[27];MPEG-1 Layers I, II, III (mp3), other formats only in private streams: LPCM[28];No;No;Yes;?;?;?;Yes;
MPEG program stream PS (.m2p, .ps);MPEG;Patent encumbered;Yes;?;Only in private streams — used in VOB files on DVDs;Only in private streams — used in VOB files on DVDs;MPEG-1, MPEG-2, MPEG-4 Part 2,[27] VC-1, H.264[29];MPEG-1 Layers I, II, III (mp3), other formats only in private streams: AAC, AC-3, LPCM, DTS[28];No;Only in private streams — used in VOB files on DVDs;?;?;?;?;Yes;
MPEG transport stream TS (.ts);MPEG;Patent encumbered;Yes;Yes;No;possible via ETSI EN 300 743;MPEG-1, MPEG-2 Part 2, MPEG-4 ASP, H.264, JPEG 2000, TICO, other formats in private streams: VC-1, Dirac[30];MPEG-1 Layers I, II, III (mp3), AAC, other formats in private streams: AC-3, LPCM, DTS[30];No;No;Yes;?;?;?;Yes;
BDAV MPEG-2 transport stream (.m2ts);Blu-ray Disc Association;Proprietary;Yes;Yes;Yes;Yes;MPEG-2 Part 2, H.264, VC-1;AC-3, DTS, LPCM, Dolby Digital Plus, DTS HD, Dolby Lossless;Yes;Yes;Yes;Yes;Yes;Yes;Yes[31];
MXF;SMPTE;?;Yes;Yes;?;Yes;Virtually anything;Virtually anything;Yes;No;?;?;?;?;No;
Ogg;Xiph.org;Patent-free, Free software implementations available;Yes;Yes;Yes;Ogg Writ, Ogg Kate;Theora, Dirac, OggUVS, MNG and others,[32][33] and almost anything else via VFW;Vorbis, FLAC, Speex, Opus, OggPCM,[32][33] and almost anything else via ACM;CMML, Ogg Skeleton, Vorbis comment[34];No;Yes;?;?;?;Yes;
QuickTime (.mov, .qt);Apple;Proprietary;Yes;Yes;Yes;Yes;MPEG-2 (OS X Lion or later), MPEG-4 Part 2, H.264, H.263, H.261, Apple ProRes, Apple Pixlet, Cinepak, Component Video, DV, DVC Pro 50, Graphics, Motion JPEG, Photo JPEG, QuickTime Animation, Sorenson Video 2, Sorenson Video 3[35];AAC (MPEG-4 Audio), HE-AAC, Apple Lossless, MP3, AMR Narrowband, MS ADPCM, QDesign Music 2, Qualcomm PureVoice (QCELP), IMA 4:1, MACE 3:1 (Mac OS X v10.6.x only), MACE 6:1 (Mac OS X v10.6.x only), ALaw 2:1, ULaw 2:1[35];Yes;Yes;Yes;Yes;Yes;Yes;Yes;
RMVB;RealNetworks;Proprietary;?;Yes;?;Yes;RealVideo 8, 9, 10;(HE)-AAC, Cook Codec, Vorbis, RealAudio Lossless;?;No;Yes;?;?;?;?;
VOB+IFO;DVD Forum;Proprietary;Yes;Yes;Yes;Yes;MPEG-2 Part 2, MPEG-1 Part 2;AC-3, LPCM, DTS, MPEG-2 Part 3, MPEG-1 Layer II;No;Yes;No;No;No;No;Yes;
Name and file extension;Proprietor / developer;License;Variable bit rate audio;Variable frame rate;Chapters;Captions / subtitles;Video coding formats;Audio coding formats;Metadata / tags;Menus[1];Streaming;Attachment support[2];3D, codecs;3D, container;Hardware players;
