;Range;Hash;Composite (Range+Hash);List;Expression;
4th Dimension;?;?;?;?;?;
ADABAS;?;?;?;?;?;
Adaptive Server Enterprise;Yes;Yes;No;Yes;?;
Advantage Database Server;No;No;No;No;?;
Altibase;Yes;Yes;No;Yes;?;
Apache Derby;No;No;No;No;?;
ClustrixDB;Yes;No;No;No;No;
CUBRID;Yes;Yes;No;Yes;?;
IBM DB2;Yes;Yes;Yes;Yes;Yes;
Empress Embedded Database;No;No;No;No;?;
EXASolution;No;Yes;No;No;No;
Firebird;No;No;No;No;?;
HSQLDB;No;No;No;No;?;
H2;No;No;No;No;?;
Informix Dynamic Server;Yes;Yes;Yes;Yes;Yes;
Ingres;Yes;Yes;Yes;Yes;?;
InterBase;No;No;No;No;?;
Linter SQL RDBMS;Yes;No;No;Yes;No;
MariaDB;Yes;Yes;Yes;Yes;?;
MaxDB;No;No;No;No;?;
Microsoft Access (JET);No;No;No;No;?;
Microsoft Visual Foxpro;No;No;No;No;?;
Microsoft SQL Server;Yes;via computed column;via computed column;Yes;via computed column;
Microsoft SQL Server Compact (Embedded Database);No;No;No;No;?;
Mimer SQL;No;No;No;No;No;
MonetDB;No;No;No;No;No;
MySQL;Yes;Yes;Yes;Yes;?;
OpenBase SQL;?;?;?;?;?;
Oracle;Yes;Yes;Yes;Yes;via Virtual Columns;
Oracle Rdb;Yes;Yes;?;?;?;
OpenLink Virtuoso;Yes;Yes;Yes;Yes;Yes;
Pervasive PSQL;No;No;No;No;No;
Polyhedra DBMS;No;No;No;No;No;
PostgreSQL;Yes1;Yes1;Yes1;Yes1;Yes1;
Raima Database Manager;Yes2;Yes2;Yes2;No;?;
RDM Server;No;No;No;No;?;
SAP HANA;Yes;Yes;Yes;Yes;Yes;
solidDB;Yes;No;No;No;?;
SQL Anywhere;No;No;No;No;?;
SQLite;No;No;No;No;?;
Teradata;Yes;Yes;Yes;Yes;?;
UniVerse;Yes;Yes;Yes;Yes;?;
;Range;Hash;Composite (Range+Hash);List;Expression;
