Unit;Base;American;British;ANZAC;Soviet;French;German;Italian;Japanese;
Artillery;10.5 cm leFH 18;;;;;;1942 Second Edition;;;
88mm Flak 36;;;;;;Europe;Europe 1940;;
105mm Howitzer;Europe;Europe;Pacific 1940;Europe;Europe 1940;;;;
152mm Howitzer;;;;Europe 1940 Second Edition;Europe 1940 Second Edition;;;;
BL 5.5 inch;;;1942 Second Edition;;;;;;
Cannone da 75/32;;;;;;;Europe 1940 Second Edition;;
Ordnance QF 25 pounder;;1942 Second Edition;;;;;;;
Type 92 70mm;;;;;;;Anniversary;Pacific;
Mechanized Infantry;M5 Half-track;Pacific 1940;Pacific 1940;Pacific 1940;;;;;;
Priest;;Pacific 1940 Second Edition;;;;;;;
Ram-Kangaroo;;;Pacific 1940 Second Edition;;;;;;
Sd.Kfz. 251;;;;;;Pacific 1940;Pacific 1940;Pacific 1940;
SPA Dovunque 35;;;;;;;Pacific 1940 Second Edition;;
Type 1;;;;;;;;Pacific 1940 Second Edition;
ZIS-42;;;;Pacific 1940;Europe 1940;;;;
Tank;AC Sentinel;;;Pacific 1940 Second Edition;;;;;;
IS-2;1941;1941;;1941;;;;;
M14/41;;;;;;;Anniversary;;
M15/42;;;;;;;Europe 1940 Second Edition;;
Matilda II;;Anniversary;Pacific 1940;;;;;;
Panther;;;;;;Europe;Europe 1940;;
Sherman;Europe;Europe;;;;;;;
T-34;;;;Pacific;Europe 1940;;;;
Tiger;;;;;;1941;;1941;
Type 95;;;;;;;;Pacific;
Truck;GMC 2 1/2-ton;Battle of the Bulge;;;;;;;;
Opel 3-ton;;;;;;Battle of the Bulge;;;
Antiaircraft Gun;(Generic);Guadalcanal;;;;;;;Guadalcanal;
3.7in QFAA;;1942 Second Edition;;;;;;;
8.8cm Flak 41;;;;;;1942 Second Edition;;;
75mm Type 88;;;;;;;;1942 Second Edition;
85mm M1939;;;;1942 Second Edition;Europe 1940 Second Edition;;;;
90mm M1;1942 Second Edition;;;;;;;;
L/70 40mm;;;Pacific 1940 Second Edition;;;;;;
Cannone da 90/53;;;;;;;Pacific 1940 Second Edition;;
Transport;Baltic Timber Ship;;;;Europe 1940 Second Edition;Europe 1940 Second Edition;;;;
Fort class;1941;1941;;1941;;;;;
Hakusan Maru class;;;;;;;;Pacific;
Hilfskreuzer;;;;;;Europe;Anniversary;;
Iridio Mantovani;;;;;;;Pacific 1940 Second Edition;;
Liberty ship;Europe;Europe;Pacific 1940;Pacific 1940;Pacific 1940;;;;
Monowai;;;Pacific 1940 Second Edition;;;;;;
Yamazuki Maru class;;;;;;1941;;1941;
Destroyer;Akizuki class;;;;;;1941;;1941;
Fubuki class;;;;;;;;Pacific;
Gnevny class;;;;1942;Europe 1940;;;;
Johnston class;Europe;Europe;Pacific 1940;Europe;;;;;
Saumarez;;1942 Second Edition;;;;;;;
Soldati class;;;;;;;Pacific 1940 Second Edition;;
Sumner class;1941;1941;;1941;;;;;
