SI IN IVS VOCAT, ITO. NI IT, ANTESTAMINO. IGITVR EM CAPITO. SI CALVITVR PEDEMVE STRVIT, MANVM ENDO IACITO. SI MORBVS AEVITASVE VITIVM ESCIT, IVMENTVM DATO. SI NOLET, ARCERAM NE STERNITO. ASSIDVO VINDEX ASSIDVVS ESTO. PROLETARIO IAM CIVI QVIS VOLET VINDEX ESTO. ... VADES ... SVBVADES ... NEX ... FORTI SANATI ... REM VBI PACVNT, ORATO. NI PACVNT, IN COMITIO AVT IN FORO ANTE MERIDIEM CAVSSAM COICIVNTO. COM PERORANTO AMBO PRAESENTES. POST MERIDIEM PRAESENTI LITEM ADDICITO. SI AMBO PRAESENTES, SOLIS OCCASVS SVPREMA TEMPESTAS ESTO.;
Transcription;Traduction;
si in ius vocat, ito. ni it, antestamino. igitur em capito.[a 11],[a 12];Si l'on cite quelqu'un en justice, qu'il y aille. S'il n'y va pas, que l'on appelle des témoins. Seulement ensuite, qu'on le capture.;
si calvitur pedemve struit, manum endo iacito.[a 13];S'il esquive ou fuit, qu'on le capture.;
si morbus aevitasve vitium escit, iumentum dato. si nolet, arceram ne sternito.[a 14];S'il y a maladie ou vieillesse, qu'on lui fournisse une bête de somme. S'il n'en veut pas, qu'on ne le couvre pas.;
assiduo vindex assiduus esto. proletario iam civi quis volet vindex esto.[a 15];Qu'à un propriétaire foncier soit garant un autre propriétaire foncier. Qu'à un prolétaire soit garant n'importe quel citoyen qui le veut bien.;
... vades ... subvades ...[a 15];... ceux qui se portent caution d'un emprunt par engagement oral ... les cautions en second ...;
nex ... forti sanati ... — nexo solutoque, forti sanatique idem jus esto.[a 16];Que ceux qui sont engagés (par nexum ou mancipium) et ceux qui sont dégagés aient le même droit.;
rem ubi pacunt, orato.[a 17];S'ils s'accordent, qu'on le proclame.;
ni pacunt, in comitio aut in foro ante meridiem caussam coiciunto. com peroranto ambo praesentes.[a 17];S'ils ne s'accordent pas, qu'ils exposent leur cas au forum avant midi. Que tous deux soient présents pendant les exposés.;
post meridiem praesenti litem addicito.[a 17],[a 18],[a 19];Après midi, qu'on adjuge l'objet du litige à celui qui est présent.;
si ambo praesentes, solis occasus suprema tempestas esto.[a 17],[a 18],[a 19];Si tous les deux sont présents, que le crépuscule mette fin au litige.;
... MORBVS SONTICVS ... AVT STATVS DIES CVM HOSTE ... QVID HORVM FVIT VNVM IVDICI ARBITROVE REOVE, EO DIES DIFFISSVS ESTO. CVI TESTIMONIVM DEFVERIT, IS TERTIIS DIEBVS OB PORTVM OBVAGVLATVM ITO. ... DE REBVS M AERIS PLVRISVE D ASSIBVS, DE MINORIS VERO L ASSIBVS SACRAMENTO CONTENDEBATVR. AT SI DE LIBERTATE HOMINIS CONTROVERSIA ERAT, TAMEN VT L ASSIBVS SACRAMENTO CONTENDERETVR. ... ... PER IVDICIS POSTVLATIONEM AGEBATVR ...;
Transcription;Traduction;
... morbus sonticus ... aut status dies cum hoste ... quid horum fuit unum iudici arbitrove reove, eo dies diffissus esto.[a 20],[a 21];... une grave maladie ... ou un jour fixé avec un ennemi ; ... si l'un ou l'autre de ces empêchements est un obstacle pour le juge, l'arbitre ou l'accusé, que le jour soit différé.;
cui testimonium defuerit, is tertiis diebus ob portum obvagulatum ito.[a 22];Que celui à qui le témoignage a manqué aille interpeller à haute voix son adversaire trois jours devant sa porte.;
de rebus M aeris plurisve D assibus, de minoris vero L assibus sacramento contendebatur.[a 23];On se défie pour 500 as pour les affaires d'une valeur minimale de 1 000 as, et de 50 as pour les affaires de valeur moindre.;
at si de libertate hominis controversia erat, tamen ut L assibus sacramento contenderetur.[a 23];S'il y a controverse sur la liberté d'un individu, l'enjeu est limité à 50 as.;
... per iudicis postulationem agebatur ...[a 24];... l'action en pétition de juge ...;
AERIS CONFESSI REBVSQVE IVRE IVDICATIS XXX DIES IVSTI SVNTO. POST DEINDE MANVS INIECTIO ESTO. IN IVS DVCITO. NI IVDICATVM FACIT AVT QVIS ENDO EO IN IVRE VINDICIT, SECVM DVCITO, VINCITO AVT NERVO AVT COMPEDIBVS XV PONDO, NE MAIORE AVT SI VOLET MINORE VINCITO. SI VOLET SVO VIVITO, NI SVO VIVIT, QVI EVM VINCTVM HABEBIT, LIBRAS FARIS ENDO DIES DATO. SI VOLET, PLVS DATO. ERAT AVTEM IVS INTEREA PACISCENDI AC, SI PACTI FORENT, HABEBANTVR IN VINCVLIS DIES SEXAGINTA. INTER EOS DIES TRINIS NVNDINIS CONTINVIS AD PRAETOREM IN COMITIVM PRODVCEBANTVR, QVANTAEQVE PECVNIAE IVDICATI ESSENT, PRAEDICABATVR. TERTIIS AVTEM NVNDINIS CAPITE POENAS DABANT, AVT TRANS TIBERIM PEREGRE VENVM IBANT. TERTIIS NVNDINIS PARTIS SECANTO. SI PLVS MINVSVE SECVERVNT, SE FRAVDE ESTO. ADVERSVS HOSTEM AETERNA AVCTORITAS <ESTO>.;
Transcription;Traduction;
aeris confessi rebusque iure iudicatis XXX dies iusti sunto.[a 25];Une fois la dette reconnue ou l'affaire jugée en procès légitime, que le débiteur ait 30 jours pour payer.;
post deinde manus iniectio esto. in ius ducito.[a 25];Ensuite, qu'il y ait finalement mainmise sur lui. Qu'on le conduise devant le juge.;
ni iudicatum facit aut quis endo eo in iure vindicit, secum ducito, vincito aut nervo aut compedibus XV pondo, ne maiore aut si volet minore vincito.[a 25];S'il ne satisfait pas au jugement ou si personne ne se porte garant pour lui en justice, qu'il l'emmène avec lui, le lie avec une corde ou avec des chaînes d'un poids maximum de 15 livres, moins s'il le veut.;
si volet suo vivito, ni suo vivit, qui eum vinctum habebit, libras faris endo dies dato. si volet, plus dato.[a 25];S'il le veut, qu'il vive à ses propres frais. S'il ne vit pas à ses propres frais, que celui qui l'enchaîne lui donne une livre de farine par jour. S'il le veut, qu'il donne plus.;
erat autem ius interea paciscendi ac, si pacti forent, habebantur in vinculis dies sexaginta.[a 26];À défaut d'arrangement, le débiteur est enchaîné soixante jours.;
inter eos dies trinis nundinis continuis ad praetorem in comitium producebantur, quantaeque pecuniae iudicati essent, praedicabatur.[a 26];Durant cet intervalle, pendant trois jours de marchés consécutifs, qu'on le conduise au comice et qu'on lui rappelle chaque fois à haute voix le montant de sa condamnation.;
tertiis autem nundinis capite poenas dabant, aut trans Tiberim peregre venum ibant.[a 26];Au troisième jour du marché, il est puni de la peine capitale, ou d'être vendu à l'étranger au-delà du Tibre.;
tertiis nundinis partis secanto. si plus minusve secuerunt, se fraude esto.[a 27];Au troisième jour du marché, qu'on le coupe <le débiteur> en morceaux. S'ils <les créanciers> en prennent plus qu'il en leur est dû, que cela se fasse en toute impunité.;
adversus hostem aeterna auctoritas <esto>.[a 20];Contre un ennemi, le droit de propriété est toujours valide.;
CITO NECATVS INSIGNIS AD DEFORMITATEM PVER ESTO. SI PATER FILIVM TER VENVM DVIT, FILIVS A PATRE LIBER ESTO. ILLAM SVAM SVAS RES SIBI HABERE IVSSIT CLAVES ADEMIT, EXEGIT. CONCEPISSET IN DECEM MENSIBVS GIGNI HOMINEM.;
Transcription;Traduction;
cito necatus insignis ad deformitatem puer esto.[a 28];Que soit tué l'enfant atteint d'une difformité manifeste.;
si pater filium ter venum duit, filius a patre liber esto.[a 29],[a 30];Si le père vend <loue> trois fois son fils, que le fils soit libéré de son père[n 4].;
illam suam suas res sibi habere iussit claves ademit, exegit.[a 31];Qu'il ordonne à sa femme d'emmener ses frusques <en cas de divorce>, et qu'elle rende les clefs.;
concepisset in decem mensibus gigni hominem.[a 32];L'enfantement doit avoir lieu dans les dix mois.;
FEMINAS, ETIAMSI PERFECTAE AETATIS SINT, IN TVTELA ESSE ... EXCEPTIS VIRGINIBVS VESTALIBVS. MVLIERIS, QVAE IN AGNATORVM TVTELA ERAT, RES MANCIPII VSVCAPI NON POTERANT, PRAETERQVAM SI AB IPSA TVTORE <AVCTORE> TRADITAE ESSENT. VTI LEGASSIT SVPER PECVNIA TVTELAVE SVAE REI, ITA IVS ESTO. SI INTESTATO MORITVR, CVI SVVS HERES NEC ESCIT, ADGNATVS PROXIMVS FAMILIAM HABETO. SI ADGNATVS NEC ESCIT, GENTILES FAMILIAM HABENTO. QVIBVS TESTAMENTO ... TVTOR DATVS NON SIT, AGNATI SVNT TVTORES. SI FVRIOSVS ESCIT, ADGNATVM GENTILIVMQVE IN EO PECVNIAQVE EIVS POTESTAS ESTO. ... AST EI CVSTOS NEC ESCIT ... PRODIGO INTERDICITVR BONORVM SVORVM ADMINISTRATIO. PRODIGVM, CVI BONIS INTERDICTVM EST, IN CVRATIONE IVBET ESSE AGNATORVM. CIVIS ROMANI LIBERTI HEREDITATEM PATRONO DEFERT, SI INTESTATO SINE SVO HEREDE LIBERTVS DECESSERIT. EA, QVAE IN NOMINIBVS SVNT, ... IPSO IVRE IN PORTIONES HEREDITARIAS DIVISA SVNT. AES ALIENVM HEREDITARIVM PRO PORTIONIBVS QVAESITIS SINGVLIS IPSO IVRE DIVISVM. HAEC ACTIO (FAMILIAE HERCISCVNDAE) PROFICISCITVR.;
Transcription;Traduction;
feminas, etiamsi perfectae aetatis sint, in tutela esse ... exceptis virginibus Vestalibus.[a 33];Les femmes, même majeures, restent en tutelle ... à l'exception des vierges Vestales.;
mulieris, quae in agnatorum tutela erat, res mancipii usucapi non poterant, praeterquam si ab ipsa tutore <auctore> traditae essent.[a 34];Les biens de la femme qui est en tutelle des agnats ne peuvent être usucapés comme biens mancipables, excepté s'ils ont été livrés par elle avec l'autorisation du tuteur.;
uti legassit super pecunia tutelave suae rei, ita ius esto.[a 35];Ce que l'on aura ordonné par testament, quant à son argent, ou pour la conservation de son bien, doit être exactement exécuté.;
si intestato moritur, cui suus heres nec escit, adgnatus proximus familiam habeto.[a 36];Si une personne meurt sans testament et sans héritiers, l'agnat le plus proche hérite.;
si adgnatus nec escit, gentiles familiam habento.[a 37];S'il n'y a pas d'agnats, que les membres de la gens héritent.;
quibus testamento ... tutor datus non sit, agnati sunt tutores.[a 38];Si le testament ne désigne pas de tuteur, les agnats deviennent tuteurs.;
si furiosus escit, adgnatum gentiliumque in eo pecuniaque eius potestas esto.;Si quelqu'un est fou furieux et qu'il n'a pas de gardien, son agnat le plus proche a l'autorité sur lui et son patrimoine.;
... ast ei custos nec escit ...[a 39];... mais il n'y aura pas de gardien pour lui ...;
