Model;Type;Capacity;Speed;Range;Door-to-door capable;Price;
A³ Vahana [2][3][4];?;?;?;? km;?;? €;
Aeris Naviter AeroQuad [5];?;?;unflown;? km;?;? €;
Milner Motors Aircar;Roadable aircraft;4;unflown;?;?;$450,000 US;
Attila Melkuti AMV 211 [6];?;?;unflown;? km;?;? €;
Carter PAV[7];Autogyro;4;unflown;200 mph (320 km/h);?;? €;
DARPA TX;Roadable aircraft;4;unflown;;?;? €;
DM AeroSafe Eagle Aero-Cart;VTOL aircraft;1;unflown;? km;?;? €;
Peebles Fanwing [8];?;?;unflown;? km;?;? €;
GEN H-4 [9][10][11];Ultralight helicopter;1;124 mph (200 km/h);37 mi (60 km);Yes;7 500 000 JPY;
Gress Aerospace PAV [12];?;?;? km/h;? km;?;? €;
BLI Helodyne;VTOL aircraft;4;140 mph (230 km/h);1,210 mi (1,950 km);Yes;$67,500 US;
Entecho Hoverpod[13];?;?;? km/h;? km;?;? €;
AVCEN Jetpod;STOL aircraft;?;unflown;? km;?;n/a;
Kitty Hawk Flyer;VTOL aircraft;?;?;?;?;?;
TAM Libelula;Backpack helicopter;?;? km/h;? km;?;? €;
PAV-X[14];Ultralight Semi-Autonomous Drone;1;70 mph (110 km/h);40 mi (64 km);?;€50,000;
Lilium Jet;VTOL;1;300 km/h (190 mph);300 km (190 mi);?;?;
Mosquito XE/XEL[15];ultralight helicopter;1;80 mph (130 km/h);150 mi (240 km);?;€43,000;
PAL-V gyrocopter;autogyro;2;110 mph (180 km/h);220–310 mi (350–500 km);Yes;€200,000;
Kestel PAV;?;?;unflown;? km;?;? €;
Samson Skybike;Paramotor;1;? km/h;50 mi (80 km);?;$6,000 US;
Moller Skycar;VTOL aircraft;?;unflown;? km;?;?;
Parajet Skycar;Paramotor;2;100 mph (160 km/h);200 mi (320 km);Yes;£50,000;
Macro SkyRider X2R;?;?;unflown;? km;?;? €;
Butterfly Super Sky Cycle;Autogyro;1;80 mph (130 km/h);? km;?;?;
Samson Switchblade;Roadable aircraft;2;unflown;345 mi (555 km);Yes;$60,000 US (kit);
Terrafugia Transition;Roadable aircraft;2;115 mph (185 km/h);489 mi (787 km);?;$194,000 US;
VerdeGo Aero PAT200[16][17][18];hybrid electric VTOL;2 pax/500 lb (227 kg);> 150 mph (240 kph);20-40 mi (30–60 km);urban vertiports;for operators;
Xplorair PX200;VTOL aircraft;1;unflown;310 mi (500 km);Yes;$80,000 US;
