File system;Hard links;Symbolic links;Block journaling;Metadata-only journaling;Case-sensitive;Case-preserving;File Change Log;Internal snapshotting / branching;XIP;Filesystem-level encryption;Data deduplication;Data checksums;
DECtape;No;No;No;No;No;No;No;No;No;No;No;No;
BeeGFS;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;
Level-D;No;No;No;No;No;No;No;No;No;No;No;No;
RT-11;No;No;No;No;No;No;No;No;No;No;No;No;
APFS;Yes;Yes;?;?;Partial;Yes;?;Yes;?;Yes;Partial;No;
Version 6 Unix file system (V6FS);Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;
Version 7 Unix file system (V7FS);Yes;No[bf];No;No;Yes;Yes;No;No;No;No;No;No;
FAT12;No;No;No;Partial (with TFAT12 only);No;Partial (with VFAT LFNs only);No;No;No;Partial (DR-DOS with SECURITY only);No;No;
FAT16 / FAT16B / FAT16X;No;No;No;Partial (with TFAT16 only);No;Partial (with VFAT LFNs only);No;No;No;Partial (DR-DOS with SECURITY only);No;No;
FAT32 / FAT32X;No;No;No?;Partial (with TFAT32 only);No;Partial (with VFAT LFNs only);No;No;No;No;No;No;
GFS;Yes;Yes[bg];Yes;Yes[bh];Yes;Yes;No;No;No;No;?;No;
HPFS;No;No;No;No;No;Yes;No;?;No;No;?;No;
NTFS;Yes;Yes[bi];No[bj];Yes[bj] (2000);Yes[bk];Yes;Yes;Partial[bl];?;Yes;Yes[bm][30];No;
HFS Plus;Yes[31];Yes;No;Yes[bn];Partial[bo];Yes;Yes[bp];No;No;No[bq];No;No;
FFS;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;
UFS1;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;
UFS2;Yes;Yes;No;Yes[br] [36] [bs];Yes;Yes;No;Yes;?;No;No;No;
HAMMER;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;No;No;Yes;Yes;
LFS;Yes;Yes;Yes[bt];No;Yes;Yes;No;Yes;No;No;No;No;
ext;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;
Xiafs;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;
ext2;Yes;Yes;No;No;Yes;Yes;No;No;Yes[bu];No;No;No;
ext3;Yes;Yes;Yes (2001) [bv];Yes (2001);Yes;Yes;No;No;Yes;No;No;No;
ext4;Yes;Yes;Yes[bv];Yes;Yes;Yes;No;No;Yes;Yes, experimental [39];No;No;
NOVA;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;
F2FS;Yes;Yes;Yes[bt];No;Yes;Yes;No;No;No;Yes, experimental [40];No;No;
Lustre;Yes;Yes;Yes[bv];Yes;Yes;Yes;No;No;No;No;No;No;
NILFS;Yes;Yes;Yes[bt];No;Yes;Yes;No;Yes;No;No;No;Yes;
ReiserFS;Yes;Yes;Yes[bw];Yes;Yes;Yes;No;No;?;No;No;No;
Reiser4;Yes;Yes;Yes;No;Yes;Yes;No;?;?;Yes[bx];?;No;
OCFS;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;
OCFS2;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;
XFS;Yes;Yes;Yes;Yes;Yes[by];Yes;Yes;No;?;No;Yes, experimental [41];No;
JFS;Yes;Yes;Yes;Yes (1990);Yes[bz];Yes;No;?;?;No;?;No;
QFS;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;
BFS;Yes;Yes;No;Yes;Yes;Yes;?;No;No;No;No;No;
NSS;Yes;Yes;?;Yes;Yes[ca];Yes[ca];Yes[cb];Yes;No;Yes;?;No;
NWFS;Yes[cc];Yes[cc];No;No;Yes[ca];Yes[ca];Yes[cb];?;No;No;?;No;
ODS-2;Yes;Yes[cd];No;Yes;No;No;Yes;Yes;No;No;No;No;
ODS-5;Yes;Yes[cd];No;Yes;No;Yes;Yes;Yes;?;No;No;No;
UDF;Yes;Yes;Yes[bt];Yes[bt];Yes;Yes;No;No;Yes;No;No;No;
VxFS;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes[ce];?;No;Yes;No;
Fossil;No;No;No;No;Yes;Yes;Yes;Yes;No;No;Yes;No;
ZFS;Yes;Yes;Yes[cf];No[cf];Yes;Yes;No;Yes;No;Yes[cg];Yes;Yes;
Btrfs;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;?;No, planned, not being developed (Nov, 2015)[45];Yes;Yes;
Minix V1;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;
Minix V2;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;
Minix V3;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;
VMFS2;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;
VMFS3;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;
ReFS;No;Yes;?;?;Yes[bk];Yes;?;?;?;No;Yes;Yes;
ISO 9660;No;No;No;No;No;No;No;No;No;No;No[ch];No;
Rock Ridge;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No[ch];No;
Joliet ("CDFS");No;No;No;No;No;Yes;No;No;No;No;No[ch];No;
SquashFS;Yes;Yes;No;No;Yes;Yes;No;No;No;No;Yes;Yes;
File system;Hard links;Symbolic links;Block journaling;Metadata-only journaling;Case-sensitive;Case-preserving;File Change Log;Internal snapshotting / branching;XIP;Filesystem-level encryption;Data deduplication;Data checksums;
