Meaning;Spanish;Portuguese;Notes;
alibi;coartada < Lat. coarctare;álibi < Lat. alibi;;
Cheap;Barata;Barato;Barata in Portuguese meaning cockroach;
cockroach;cucaracha;Barata;;
store, shop;tienda < Late Lat. tendam (<  tendere);loja < Fr. loge < Frankish laubja;;
knee;rodilla < Lat. rotellam ('little wheel');joelho < Lat. genuculum;The learned word rótula ('kneecap' in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos 'kneeling' is from the same source as Port. joelho.;
home;hogar < Lat. e focus;Lar < Lat. Lar;
street;calle < Lat. callem;rua < Lat. [viam] r?gam;;
(legal) prosecutor;fiscal < Lat. fiscalis;procurador < Lat. procurator;
highway, road;carretera < carreta + ?era < carro < Lat. carrus < Gaulish carros;estrada < Lat. strata;;
retailer;minorista < Lat. minor + ista;retalhista < Late Lat. taliare + ista;;
sales;rebajas < Lat. prefix 're' + bassus;saldos, liquidação < Ita. saldo < soldo, Lat. liquidus;;
grocer;abarrotero Uncertain < Lat. or < Pre-Roman barra;merceeiro < Lat. merx + suffix eiro;;
organic food;comida orgánica < Lat. + Greek comeder+organ?cum < órganon;alimentação biológica, Bio < Lat. + Greek alere + ????+?????;In Brazil, the most common expression is the same as in Spanish, albeit written with an â instead of an á: comida orgânica.;
leather;piel < Lat. pellis;couro, coiro < Lat. c?r?um;Spanish also has cuero. Portuguese pele usually means 'skin' or 'fur', but it can also mean 'leather'.;
fight, brawl;pelea < Lat. pilus;briga < Ita. or Occitan briga;Portuguese also has peleja;
riff-raff, mob;chusma < Genoese ciüsma < Gr. ????????;canalha < Occitan canalha;;
police station;comisaría (de policía) < Lat. + Gr. comissarius + politia < ????????;esquadra, posto de polícia < Lat. + Gr. ex-quadrata, positus + politia < ????????;Brazilian Port. tends to use 'delegacia (de polícia)';
litter, rubbish;basura < Lat. vers?ra;lixo < Lat. l?x < l?cis;;
hole;agujero < Lat. + suffix acuc?la + ero;buraco < Proto-Germanic bur?, bur?n?[6];;
drill;taladro < Lat. taratrum;furadeira (Brazilian Portuguese) < Lat. forare + eira or berbequim (European Portuguese) < Fr. vilebrequin < Dutch wimmelkijn;;
demolition hammer;rompedor < Lat. rumpere + dor;martelo demolidor < Lat. martulus demolitio + dor;;
parsley;perejil;Salsa;;
Sauce;salsa;Molho;;
plane;cepilladora < Lat. cippus + dora;plaina < Lat. planea;;
camshaft, camshaft tree;árbol de levas < Lat. arb?s + levare;árvore de cames < Lat. + Germanic arb?s + kamm;;
gills;branquias < Lat. < Gr. branch?a < ???????;guelras < Proto-Germanic gelunaz;In zoology, Port. also uses brânquias (branchiae).;
goose;oca < Lat. auca;ganso < Gothic/Suebian gans;Spanish also has ganso.;
chicken;pollo < Lat. pullus;frango < Probably Fr. francolin < Ita. francolino, all of uncertain origin;;
lamp;lámpara < Lat. lamp?da;'candeeiro < Lat. candelae;Portuguese lâmpada usually means 'light bulb' (except in certain idioms, like lâmpada de Aladino, i.e., 'Aladdin's lamp');
meal;comida < Lat. comedere;refeição, repasto (arch.) < Lat. refectionis, re+pastus;Portuguese 'comida' means food;
owl;búho < Lat. bubo;coruja (*maybe from Lat. cunicularis) of uncertain origin;;
kennel;perrera < uncertain origin, perhaps Pre-Roman. perro + era;canil < Lat. canis + il;;
cattery;criadero < Lat. cre?re + era;gatil < Proto-Ger. kattuz + il;;
ground;suelo < Lat. solum;chão < Lat. planus;Port. also has solo.;
office;despacho < Lat. dispactus;gabinete, escritório < Occitan, Lat. cabana, script?rium;;
ground floor;planta baja < Lat. planta + bassus;rés-do-chão, rés-de-chão< Lat. r?sus + planus;Brazilian Port. tends to use térreo;
buoy;flotador < Fr. + Sp. suffix flotter + dor;boia < Old Fr. bouée < Frankish baukan;;
nappy, diaper (baby);pañal < Lat. pannus;fralda < Gothic falthan/faldan;;
performance;representación < Lat. representatio;performance < Eng 'performance' < Anglo-French performer < parfornir;;
preemptive;preventivo < Lat. praeventus;preemptivo < Eng 'preemptive' < Lat praeemptio;;
report;informe < Lat. informis;relatório < Lat. relatus + ório suffix < refferre;;
highlight;realce < Lat. + prefix re + altiare;destaque < Germanic stak;;
prison;cárcel < Lat. carcer;prisão< Lat. prehensionis;Span. also has prisión and Port. archaic cárcere.;
squirrel;ardilla < Pre-Roman harda or probably Berber a?árda;esquilo Lat. sc?r??lus < Gr. ????????;;
garret, mansard;zaquizamí,[7] buhardilla < Hisp-Ar. ??? ?? ?????? (saqf fassam?), < Lat. bufus < buharda;água-furtada, mansarda < Lat. aquam + furtus, < Fr. mansarde < François Mansart (architect);;
watercress;berro < Celtic b?r?ro;agrião < Gr. ??????;;
mint;menta < Lat. mentha < Gr. ?????;hortelã < Lat. hortus;Port. also has menta.;
sour cherry;cereza gordal < Lat. cerasium + gurdus;ginja < Frankish w?hsina;;
stepchild;hijastro(a) < Lat. filiaster;enteado(a) < Lat. ante + natum;;
step-brother;hermanastro(a) < Lat. + suffix germanus + astro;meio-irmã(o) < Lat. medius + germ?nus;;
stump, amputated limb;muñón < Pre-Roman/Basque muno;coto < Celtic-Goidelic cotach < cuid;;
baby changing (area);cambiador (infantil) < Lat + dor cambium;fraldário < Gothic + arius faldan;;
blade;hoja < Lat. folium;lâmina < Lat. lamm?na;;
butcher(s)(shop);carniceria < Lat. carniceus;talho < Lat. taleare;;
shoe polish;betún < Lat. bit?men;graxa < Lat. crassus;;
shaving;afeitar < Lat. affect?re;barbear < Lat. barba + ear;;
pocket knife;navaja < Lat. novac?la;canivete < Old Fr. canivet < Frankish 'knif'[8];Portuguese 'navalha' means razor.;
diving;buceo < Port. búzio < Lat. buc?na;mergulhar < Lat. merguli?re;;
bait;cebo < Lat. cibus;isca < Lat. escae;;
skirt;falda < Germanic faldan;saia < Lat. sagum < Celtic sagos, sag;;
glasses;gafas < Uncertain, maybe Arabic qafca[9];óculos < Lat. oculus;;
stiffness (muscular);agujetas < Lat. acus + suffix eta;dor muscular < Lat. dolor + mus +culus;;
operating theatre;quirófano < Gr. ???? + ?????;sala de operações, sala de cirurgia, bloco operatório < Ger + Lat. sal + operatio, < Ger + Gr. sal + ???????????, < Ger + Lat. bluk(k)an + operatio;;
stem cell research;investigación con células madre < Lat. vestigium + cum + cellula + mater;pesquisa de células estaminais < Lat. perquirere + de + cellula + staminis;;
stream, creek;arroyuelo < Pre-Roman arrugia;ribeira, ribeiro < Lat. riparius < ripae;;
stubborn;testarudo < Lat. testa + rudis;teimoso < Lat. thema, < Gr. théma;;
plateau;meseta < Lat. mensa + Sp. suffix eta;planalto < Lat. planus + altus;;
wave;ola < Uncertain origin;vaga < Gothic vega[10] or < Old Norse vágr,[11] both from Ancient Germanic 'vigan' to shake;Port. also has onda.;
broom;aulaga < Ar. algawláqa;vassoura, giesta, carqueja < Lat. verrere, < Lat. genista, < Maybe Lat. quercus;;
pants, knickers;bragas < Lat. braca < Celtic bracae;cuecas < Lat. culus + suffix 'ecas';;
(bed) sheet;sábana < Lat. sab?na;lençol < Lat. linteolum;;
basketball;baloncesto < Frankish balla + Lat. cista;basquetebol < Eng. basketball;;
reporter;periodista, periodicista < periódico+ suffix 'ista';repórter < Eng. reporter < Medieval Fr. reporteur;Spanish also has reportero;
ricochet;rebote < Frankish + Lat. prefix boter;ricochete < Fr. ricochet;;
riff-raff, mob;chusma < Genoese ciüsma < Gr. ????????;canalha < Occitan canalha;;
