Software;BibTeX;Endnote/Refer/BibIX;Medline;MODS XML;RIS;Other;
Aigaion;Yes;No;No;No;Yes;none;
Bebop;Yes;No;No;No;No;unAPI;
BibBase;Yes;No;No;No;No;none;
BibDesk;Yes;No;Yes;Yes;Yes;Endnote XML, user customizable;
BibSonomy;Yes;Yes;No;No;Yes;various [2];
Bibus;Yes;Yes;Yes;No;Yes;SQLite;
Bookends;Yes;Yes;Yes;No;Yes;various user-customizable;
Citavi;Yes;Yes;Yes;Yes;Yes;various;
CiteULike;Yes;No;No;No;Yes;COinS, Delicious;
colwiz;Yes;Yes;No;Yes;Yes;EndNote XML, CSL formatted HTML;
EndNote;Yes;Yes;Yes;No;Yes;various[16];
F1000Workspace;Yes;No;No;No;Yes;CSV;
JabRef;Yes;Yes;No;Yes;Yes;BibTeXML, DocBook, HTML, OpenDocument for OO.o, RTF, SQL database, user-customizable;
KBibTeX;Yes;Yes;No;Depends[17];Yes;PDF, PostScript, HTML, XML, RTF;
Mendeley;Yes;Yes;No;No;Yes;Endnote XML;
Paperpile;Yes;No;No;No;Yes;none;
Papers;Yes;Yes;No;No;Yes;Bookends, CSV, Endnote XML, PDF;
Pybliographer;Yes;Yes;Yes;No;No;Ovid;
ReadCube;Yes;Yes;No;No;Yes;none;
Qiqqa;Yes;No;No;No;No;none;
refbase;Yes;Yes;No;Yes;Yes;COinS, OpenDocument for OO.o, SRW XML via SRU, unAPI, Word XML;
RefDB;Yes;Yes;No;Yes;Yes;SRW XML via SRU web service, DocBook, TEI;
Reference Manager;No;No;No;No;Yes;MEDLARS, TSV, CSV, Reference Manager XML, user-customizable;
Referencer;Yes;No;No;No;No;none;
RefWorks;Yes;Yes;No;Yes;Yes;RIS, BibTeX, Tab delimited or XML metadata;
SciRef;No;No;No;No;Yes;Plain text, RTF;
Sente;Yes;Yes;No;No;Yes;user-customizable;
Wikindx;Yes;Yes;No;Yes;Yes;COinS, RTF, HTML, ADS, Word BIB;
WizFolio;No;No;No;No;Yes;No;
Zotero;Yes;Yes;as of version 4.0[18];Yes;Yes;COinS, CSV, Several RDF format standards, TEI, Wikipedia citation templates, Endnote XML, CSL JSON, Refer/BiblX, RefWorks tagged;
