Format;Languages;
split(/separator/, string«, limit»);Perl 5;
split(separator, string«, limit») string.split(separator, «limit»);Perl 6;
explode(separator, string«, limit»);PHP;
string.split(separator«, limit-1»);Python;
string.split(separator«, limit»);JavaScript, Java, Ruby;
string:tokens(string, sepchars);Erlang;
strings.Split(string, separator) strings.SplitN(string, separator, limit);Go;
(string-tokenize string« charset« start« end»»»);Scheme (SRFI 13);
Split(string, sepchars«, limit»);VB;
string.Split(sepchars«, limit«, options»»);VB .NET, C#, F#;
string -split separator«, limit«, options»»;Windows PowerShell;
Str.split (Str.regexp_string separator) string;OCaml;
std.string.split(string, separator);D;
[string componentsSeparatedByString:separator];Objective-C (NSString * only);
string.componentsSeparatedByString(separator);Swift (Foundation);
TStringList.Delimiter, TStringList.DelimitedText;Object Pascal;
StringSplit[string, separator«, limit»];Mathematica;
string.split«(sepchars«, limit«, options»»)»;Cobra;
split string separator;Tcl;
(separator?string)?string or separator(???)string in APL2 and Dyalog APL 16.0 respectively;APL;
