Product;Vendor;Edition;Last release;Java EE compatibility [4];Servlet;JSP;HTTP/2;License;
ColdFusion;Adobe Systems;2016.0.1;2016-05-01;7 partial platform;3.1;2.3;No;Proprietary, commercial;
Enhydra;Lutris;5.1.9;2005-03-23;No;;;No;Free, GPL;
Enterprise Server;Borland;6.7;2007-01;1.4;2.4;2.0;No;Proprietary, commercial;
Geronimo;ASF;3.0.1;2013-05-28;6 full platform;3.0;2.2;No;Free, Apache;
GlassFish;GlassFish Community;5.0.0;2017-09-21;8 full platform;4.0;2.3;No;Free, CDDL, GPL + classpath exception;
iPlanet Web Server;Oracle Corporation;7.0.21;2015-04;Yes[5];2.5;2.1;No;Proprietary, commercial;
JBoss Enterprise Application Platform;Red Hat;7.1.3;2018-06;7 full platform;3.1;2.3;Yes;Free, LGPL;
Jetty;Eclipse Foundation;9.4.10;2018-05-10;7 partial platform[6];3.1;2.3;Yes;Free, Apache 2.0, EPL;
JEUS;TmaxSoft;8;2013-08;7 full platform;3.0;2.2;No;Proprietary, commercial;
JOnAS;OW2 Consortium (formerly ObjectWeb);5.3;2013-10-04;6 Web Profile;3.0;2.2;No;Free, LGPL;
JRun;Adobe Systems;4 updater 7;2007-11-06;1.3;3.1;2.3;No;Proprietary, commercial;
Lucee (Formerly Railo);Lucee Association Switzerland;5.2.5.25;2017-12-22;7 partial platform;3.1;2.3;No;Free, CDDL, GPL + classpath exception;
NetWeaver Application Server;SAP AG;7.4;2013-01-11;5;2.5;2.1;No;Proprietary, commercial;
Oracle Containers for J2EE;Oracle Corporation;10.1.3.5.0;2009-08;1.4;2.4;2.0;No;Proprietary, commercial;
Orion Application Server;IronFlare;2.0.7;2006-03-09;1.3;2.3;1.2;No;Proprietary, commercial;
Payara;Payara;4.1.2.181;2018-02-12;7 full platform;3.1;2.3;No;Free, CDDL, GPL + classpath exception;
Resin Servlet Container (open source);Caucho Technology;4.0.57;2018-06-25;6 Web Profile[7];3.0;2.2;No;Free, GPL;
Resin Professional Application Server;Caucho Technology;4.0.57;2018-06-25;6 Web Profile;3.0;2.2;No;Proprietary, commercial;
Rupy;Rupy;1.2;2015-01-01;No;;;No;Free, LGPL;
Tomcat;ASF;9.0.8;2018-05-03;8 partial platform;4.0;2.3;Yes;Free, Apache v2;
TomEE;ASF;1.7.5;2017-10;6 Web Profile;3.0;2.2;No;Free, Apache;
WebLogic Server;Oracle Corporation (formerly BEA Systems);12.2.1.1;2016-06-21 [8];7 full platform;3.1;2.3;No;Proprietary, commercial;
WebObjects;Apple Inc.;5.4.3;2008-09-15;Partial[9];;;No;Proprietary, commercial;
IBM WebSphere Application Server;IBM;9.0;2016-06-24;8 full platform;3.1;2.3;No;Proprietary, commercial;
WebSphere AS Community Edition;IBM;3.0.0.4;2013-06-21;6 full platform;3.0;2.2;No;Proprietary, commercial;
WildFly (formerly JBoss AS);Red Hat (formerly JBoss);14.0.0.Final;2018-08-31;8 full platform;4.0;2.3;Yes;Free, LGPL;
