;Temporary table;Materialized view;
4th Dimension;Yes;No;
ADABAS;?;?;
Adaptive Server Enterprise;Yes1;Yes - see precomputed result sets;
Advantage Database Server;Yes;No (only common views);
Altibase;Yes;No (only common views);
Apache Derby;Yes;No;
ClustrixDB;Yes;No;
CUBRID;No;No;
DB2;Yes;Yes;
Empress Embedded Database;Yes;Yes;
EXASolution;Yes;No;
Firebird;Yes;No (only common views);
HSQLDB;Yes;No;
H2;Yes;No (only common views);
Informix Dynamic Server;Yes;No2;
Ingres;Yes;No;
InterBase;Yes;No;
Linter SQL RDBMS;Yes;Yes;
LucidDB;No;No;
MariaDB;Yes;No4;
MaxDB;Yes;No;
Microsoft Access (JET);No;No;
Microsoft Visual Foxpro;Yes;Yes;
Microsoft SQL Server;Yes;Yes;
Microsoft SQL Server Compact (Embedded Database);Yes;No;
Mimer SQL;No;No;
MonetDB;Yes;No;
MySQL;Yes;No4;
OpenBase SQL;Yes;Yes;
Oracle;Yes;Yes;
Oracle Rdb;Yes;Yes;
OpenLink Virtuoso;Yes;Yes;
Pervasive PSQL;Yes;No;
Polyhedra DBMS;No;No (only common views);
PostgreSQL;Yes;Yes5;
Raima Database Manager;Yes;No;
RDM Server;Yes;No;
SAP HANA;Yes;?;
solidDB;Yes;No (only common views);
SQL Anywhere;Yes;Yes;
SQLite;Yes;No;
Teradata;Yes;Yes;
UniData;Yes;No;
UniVerse;Yes;No;
;Temporary table;Materialized view;
