DVR;MPEG-1;MPEG-2;MPEG-4 ASP (MPEG-4 Part 2), i.e. DivX, XviD;H.264/MPEG-4 AVC (MPEG-4 Part 10);HEVC (H.265);VP8;VP9;WMV;AVI;ASF;QuickTime;MP4;RealVideo;MKV;
Beyond TV;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;Yes;Yes;Unknown;No;No;No;Unknown;
EyeTV;Yes;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;
WinTV;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Unknown;
GB-PVR;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Unknown;
Kodi (formerly XBMC);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
MediaPortal;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;Yes;Yes;Yes;No[v 1];Yes;No[v 1];Yes;
MediaPhoenix/ShowShifter;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
MythTV;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
SageTV;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;
Arcsoft TotalMedia Theatre;Yes;Yes;Yes;Yes;Unknown;No;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;
Windows Media Center;Yes;Yes;Yes;Yes[v 1][v 2];Unknown;Unknown;Unknown;Yes;Yes;Yes;Yes[v 1][v 2];Yes[v 1][v 2];No[v 1];Unknown;
VBox@TV;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;
