Software;Web-based;Hosted On-Premises;SaaS;License;Programming language;
2-plan;Yes[1];Yes;Yes;Proprietary, Open source[2];Java and PHP;
24SevenOffice;Yes;No;Yes;Proprietary;;
Actionspace;Yes;No;Yes;Proprietary;;
AnyChart (AnyGantt);Yes;Yes;Yes;Proprietary;JavaScript;
Apache Allura;Yes;Yes;;Apache License;Python;
Apache OFBiz;Yes;Yes;Yes;Apache License;Java, XML, FreeMarker, Groovy, JavaScript;
Apache Bloodhound;Yes;Yes;Yes;Apache License;Python;
Asana;Yes;No;Yes;Proprietary;;
Assembla;Yes;Yes;Yes;Proprietary;;
Axosoft;Yes;Yes;Yes;Proprietary;;
Basecamp;Yes[3];No[4];Yes;Proprietary;Ruby;
CEITON;Yes;Yes;Yes;Proprietary;ASP.NET, JavaScript;
Clarizen;Yes[5];No;Yes[5];Proprietary;;
Collabtive;Yes;Yes;Yes;Open source (core only);PHP;
Compuware Changepoint;Yes;Yes;Yes;Proprietary;;
ConceptDraw Project;No;Yes;No;Proprietary;;
ConceptDraw PLAN;Yes;No;Yes;Proprietary;PHP and Java;
Concerto Project Management;Yes;Yes;Yes;Proprietary;;
Calligra Plan;No;Unknown;Unknown;GPL;C++ and Java;
Copper Project;Yes;Yes;Yes;Proprietary;;
dotProject;Yes;Yes;Yes;GPL;PHP;
DynaRoad;No;Unknown;Unknown;Proprietary;;
Easy projects;Yes[6];Yes[6];Yes[6];Proprietary;ASP.NET;
Eclipse PPM software;Yes;No;Yes;Proprietary;;
Endeavour Software Project Management;Yes;Unknown;Unknown;GPL;Java;
eGroupWare;Yes;Unknown;Unknown;GPL;PHP;
enQuire;Yes;Unknown;Yes;Proprietary;Java;
FastTrack Schedule;No;Yes;No;Proprietary;;
Feng Office Community Edition;Yes;Yes;Yes;AGPLv3;PHP;
FinancialForce.com;Yes;Unknown;Yes;Proprietary;;
FogBugz;Yes;Yes;Yes;Proprietary;ASP.NET;
Fossil-scm;Yes[7];Yes[8];Yes[9];2-clause BSD license;SQLite and C;
Freedcamp;Yes;No;Yes;Proprietary;;
FusionForge;Yes;Yes;Unknown;GPL;PHP;
GanttProject;No;Yes;Unknown;GPL;Java;
Genius Project;Yes;Yes;Yes;Proprietary;;
Group-Office;Yes;Yes;Yes;Proprietary;;
Groupiful;Yes;No;Yes;Proprietary;PHP;
GroveSite;Yes;Unknown;Yes;Unknown;;
Hall.com;Yes;Unknown;Yes;Unknown;;
